# Distance [pm],  g1(r),  g2(r)
120.1250000,  0.000000000,  0.000000000
120.3750000,  0.000000000,  0.000000000
120.6250000,  0.000000000,  0.000000000
120.8750000,  0.000000000,  0.000000000
121.1250000,  0.000000000,  0.000000000
121.3750000,  0.000000000,  0.000000000
121.6250000,  0.000000000,  0.000000000
121.8750000,  0.000000000,  0.000000000
122.1250000,  0.000000000,  0.000000000
122.3750000,  0.000000000,  0.000000000
122.6250000,  0.000000000,  0.000000000
122.8750000,  0.000000000,  0.000000000
123.1250000,  0.000000000,  0.000000000
123.3750000,  0.000000000,  0.000000000
123.6250000,  0.000000000,  0.000000000
123.8750000,  0.000000000,  0.000000000
124.1250000,  0.000000000,  0.000000000
124.3750000,  0.000000000,  0.000000000
124.6250000,  0.000000000,  0.000000000
124.8750000,  0.000000000,  0.000000000
125.1250000,  0.000000000,  0.000000000
125.3750000,  0.000000000,  0.000000000
125.6250000,  0.000000000,  0.000000000
125.8750000,  0.000000000,  0.000000000
126.1250000,  0.000000000,  0.000000000
126.3750000,  0.000000000,  0.000000000
126.6250000,  0.000000000,  0.000000000
126.8750000,  0.000000000,  0.000000000
127.1250000,  0.000000000,  0.0002955982457
127.3750000,  0.000000000,  0.001586604119
127.6250000,  0.000000000,  0.000000000
127.8750000,  0.000000000,  0.0009407423877
128.1250000,  0.0002253517359,  0.002704123273
128.3750000,  0.002248941660,  0.0001195390697
128.6250000,  0.002507319313,  0.001158151091
128.8750000,  0.004132411492,  0.0007240512743
129.1250000,  0.002754815623,  0.005404892126
129.3750000,  0.002423487104,  0.002745706847
129.6250000,  0.005017684815,  0.006532318880
129.8750000,  0.01405325479,  0.01730707486
130.1250000,  0.008485782868,  0.01647050340
130.3750000,  0.01726929581,  0.02156304102
130.6250000,  0.03444197650,  0.02907124270
130.8750000,  0.04930817001,  0.04120010369
131.1250000,  0.07163867379,  0.06580458845
131.3750000,  0.1032214269,  0.1041994763
131.6250000,  0.1451263775,  0.1164382306
131.8750000,  0.1669886286,  0.1755530809
132.1250000,  0.2299205127,  0.2394369783
132.3750000,  0.2915784695,  0.3107517017
132.6250000,  0.4135810744,  0.4598823370
132.8750000,  0.5458718096,  0.5753548191
133.1250000,  0.7166098587,  0.7342610932
133.3750000,  0.9785703584,  0.9314429896
133.6250000,  1.219030424,  1.174747477
133.8750000,  1.510125447,  1.554446802
