# Distance [pm],  g(r),  g(r)
80.12500000,  0.000000000,  0.000000000
80.37500000,  0.000000000,  0.000000000
80.62500000,  0.000000000,  0.000000000
80.87500000,  0.000000000,  0.000000000
81.12500000,  0.000000000,  0.000000000
81.37500000,  0.000000000,  0.000000000
81.62500000,  0.000000000,  0.000000000
81.87500000,  0.000000000,  0.000000000
82.12500000,  0.000000000,  0.000000000
82.37500000,  0.000000000,  0.000000000
82.62500000,  0.000000000,  0.000000000
82.87500000,  0.000000000,  0.000000000
83.12500000,  0.000000000,  0.000000000
83.37500000,  0.000000000,  0.000000000
83.62500000,  0.000000000,  0.000000000
83.87500000,  0.0008824823075,  0.000000000
84.12500000,  7.744089866E-05,  0.0004694681320
84.37500000,  0.000000000,  0.0004904550741
84.62500000,  0.000000000,  0.000000000
84.87500000,  0.0007880571640,  8.114599603E-05
85.12500000,  0.0005644812203,  0.001617487743
85.37500000,  0.0008686669622,  0.0003472017196
85.62500000,  0.002929097666,  0.002575211547
85.87500000,  0.002618277992,  0.003281569223
86.12500000,  0.002715005921,  0.002531454704
86.37500000,  0.006289857545,  0.002645043900
86.62500000,  0.01099509671,  0.005414435465
86.87500000,  0.01522409518,  0.009953493556
87.12500000,  0.01646228992,  0.01455410780
87.37500000,  0.02731550865,  0.01819770652
87.62500000,  0.03779969287,  0.03297632080
87.87500000,  0.04304973654,  0.04285039328
88.12500000,  0.07090946705,  0.06316184254
88.37500000,  0.1050162329,  0.09938567683
88.62500000,  0.1402491852,  0.1573989194
88.87500000,  0.1985776969,  0.1819405238
89.12500000,  0.2757132748,  0.2747306652
89.37500000,  0.3611550978,  0.3390825685
89.62500000,  0.4814384520,  0.4823881592
89.87500000,  0.6250209601,  0.6257740787
90.12500000,  0.8565703560,  0.8001736290
90.37500000,  1.109872853,  1.116299851
90.62500000,  1.439998137,  1.458034932
90.87500000,  1.861145387,  1.936694646
91.12500000,  2.380760634,  2.495713135
91.37500000,  2.979168687,  3.123393745
91.62500000,  3.869055051,  3.915103887
91.87500000,  4.895948253,  4.854204841
92.12500000,  5.976336434,  5.911982878
92.37500000,  7.372130408,  7.436964398
92.62500000,  8.997075790,  9.039003420
92.87500000,  10.95845931,  11.01753556
93.12500000,  13.22668327,  13.43064369
93.37500000,  15.96401771,  16.05341426
93.62500000,  19.14464661,  19.20309120
93.87500000,  22.58575182,  22.59397017
94.12500000,  26.34733860,  26.37718825
94.37500000,  30.84291247,  30.77261376
94.62500000,  35.43605557,  35.80366029
94.87500000,  40.51213563,  40.93936973
95.12500000,  46.58222624,  46.60722128
95.37500000,  52.68192733,  52.56830290
95.62500000,  59.19693841,  59.08986938
95.87500000,  65.54478687,  66.08747952
96.12500000,  72.76500427,  72.76659072
96.37500000,  79.82645449,  79.50582337
96.62500000,  86.73209189,  86.98118608
96.87500000,  93.77865300,  94.20598492
97.12500000,  100.6338986,  101.3149346
97.37500000,  107.2940968,  107.6269936
97.62500000,  113.9209952,  113.7894027
97.87500000,  119.7447904,  120.2615911
98.12500000,  124.3336294,  124.5319324
98.37500000,  128.6873505,  128.6618445
98.62500000,  132.1886062,  131.8382524
98.87500000,  134.8177168,  134.5340378
99.12500000,  136.9501733,  136.1862400
99.37500000,  136.9981539,  136.8410809
99.62500000,  136.4316211,  136.3404786
99.87500000,  135.1644742,  134.9989073
100.1250000,  132.4971572,  131.9287616
100.3750000,  129.4449112,  129.4253838
100.6250000,  125.4528857,  125.5031731
100.8750000,  120.0541766,  120.2586097
101.1250000,  115.0837258,  114.9337070
101.3750000,  108.8400952,  108.7995726
101.6250000,  102.1862515,  101.9887374
101.8750000,  95.42236965,  95.28746120
102.1250000,  87.93472611,  88.45953032
102.3750000,  81.39900963,  81.52768508
102.6250000,  74.33428022,  74.52575915
102.8750000,  67.47171099,  67.70337469
103.1250000,  60.63146747,  60.69034778
103.3750000,  54.26123638,  54.17673718
103.6250000,  47.95485080,  47.80758950
103.8750000,  42.30014881,  42.25312072
104.1250000,  37.03985869,  36.83992869
104.3750000,  31.88203064,  32.07611860
104.6250000,  27.60806227,  27.28236551
104.8750000,  23.71757512,  23.38027589
105.1250000,  20.25379514,  19.97177276
105.3750000,  16.92092855,  16.88122315
105.6250000,  14.12764879,  14.04797868
105.8750000,  11.70958256,  11.44122190
106.1250000,  9.771037719,  9.597721353
106.3750000,  8.019188317,  7.767745415
106.6250000,  6.362907211,  6.325183946
106.8750000,  5.099002286,  5.167972518
107.1250000,  4.181944510,  4.165041681
107.3750000,  3.344868714,  3.309042848
107.6250000,  2.581415130,  2.541838551
107.8750000,  2.096512802,  2.030256261
108.1250000,  1.593247435,  1.610994671
108.3750000,  1.266140525,  1.198040948
108.6250000,  0.9910084193,  0.9507406014
108.8750000,  0.7010943431,  0.7361889852
109.1250000,  0.5138991684,  0.5590303341
109.3750000,  0.4062897616,  0.3992922611
109.6250000,  0.2944465211,  0.3054233492
109.8750000,  0.2181629400,  0.2172203404
110.1250000,  0.1622420880,  0.1461533293
110.3750000,  0.1139289075,  0.1091669432
110.6250000,  0.08730022927,  0.09033056675
110.8750000,  0.06207129681,  0.05995435376
111.1250000,  0.04150947934,  0.04004965490
111.3750000,  0.03813729808,  0.03745525677
111.6250000,  0.02757006785,  0.02471441900
111.8750000,  0.01654755994,  0.01162078692
112.1250000,  0.008947094105,  0.009424570975
112.3750000,  0.006896937088,  0.007923429899
112.6250000,  0.005372504193,  0.003603228762
112.8750000,  0.0006341259223,  0.004359085782
113.1250000,  0.000000000,  0.001136420163
113.3750000,  0.001424235797,  0.0006428829898
113.6250000,  0.001455533821,  0.0004080360746
113.8750000,  0.000000000,  0.001207905672
114.1250000,  0.000000000,  0.0006209448817
114.3750000,  0.000000000,  0.000000000
114.6250000,  0.000000000,  0.000000000
114.8750000,  0.000000000,  0.000000000
115.1250000,  0.000000000,  0.000000000
115.3750000,  0.000000000,  0.000000000
115.6250000,  0.000000000,  0.000000000
115.8750000,  0.000000000,  0.000000000
116.1250000,  0.000000000,  0.000000000
116.3750000,  0.000000000,  0.000000000
116.6250000,  0.000000000,  0.000000000
116.8750000,  0.000000000,  0.000000000
117.1250000,  0.000000000,  0.000000000
117.3750000,  0.000000000,  0.000000000
117.6250000,  0.000000000,  0.000000000
117.8750000,  0.000000000,  0.000000000
118.1250000,  0.000000000,  0.000000000
118.3750000,  0.000000000,  0.000000000
118.6250000,  0.000000000,  0.000000000
118.8750000,  0.000000000,  0.000000000
119.1250000,  0.000000000,  0.000000000
119.3750000,  0.000000000,  0.000000000
119.6250000,  0.000000000,  0.000000000
119.8750000,  0.000000000,  0.000000000
