# Dihedral Angle (Degree),  Occurrence1,  Occurrence2
1.000000000,  74.26586547,  73.27029956
3.000000000,  73.86901285,  73.48252608
5.000000000,  74.47811003,  74.03610689
7.000000000,  74.97204341,  74.48981663
9.000000000,  74.90664799,  73.99289236
11.00000000,  74.40301357,  74.83942131
13.00000000,  74.10689057,  75.07119046
15.00000000,  75.00000317,  76.34235213
17.00000000,  76.27620061,  77.18476073
19.00000000,  76.87672163,  77.07258414
21.00000000,  76.94162815,  78.54461500
23.00000000,  78.52061551,  80.70651762
25.00000000,  79.19457847,  80.97275044
27.00000000,  80.74808923,  83.30713322
29.00000000,  83.50879438,  85.39553895
31.00000000,  85.01545699,  87.12614400
33.00000000,  87.32850151,  89.78823445
35.00000000,  89.14389668,  91.78849852
37.00000000,  91.99220923,  95.02002105
39.00000000,  96.18637498,  97.94975416
41.00000000,  98.11301101,  101.2674180
43.00000000,  100.1994357,  102.8897897
45.00000000,  103.7945606,  106.5223932
47.00000000,  106.7372176,  110.1833776
49.00000000,  108.7496728,  112.9083677
51.00000000,  111.4881372,  113.6517310
53.00000000,  113.7281744,  116.4627203
55.00000000,  114.9535018,  117.8073691
57.00000000,  115.1950360,  120.1508477
59.00000000,  115.6872584,  120.7487399
61.00000000,  115.6124849,  121.8856589
63.00000000,  115.2580434,  121.0986901
65.00000000,  112.6712594,  120.7808809
67.00000000,  110.8139208,  118.5136918
69.00000000,  107.8033991,  116.4623704
71.00000000,  104.2089852,  112.4452140
73.00000000,  99.56285651,  108.5946657
75.00000000,  94.94234398,  104.2256017
77.00000000,  91.63236999,  99.24254759
79.00000000,  87.87146115,  95.31444067
81.00000000,  83.79642044,  91.18351994
83.00000000,  80.37796653,  88.09250070
85.00000000,  77.25779144,  83.72558966
87.00000000,  75.99248065,  81.96779007
89.00000000,  73.58819105,  79.79857716
91.00000000,  72.57603627,  79.69538949
93.00000000,  72.77760111,  79.80737217
95.00000000,  74.31274766,  80.57908765
97.00000000,  77.89048663,  83.51578821
99.00000000,  80.27394434,  85.95539461
101.0000000,  84.38010216,  90.71229336
103.0000000,  89.68639778,  95.47743405
105.0000000,  96.24091906,  101.8866485
107.0000000,  102.7096664,  107.8298439
109.0000000,  108.6726216,  113.4896234
111.0000000,  114.4499857,  118.9473540
113.0000000,  120.5845713,  123.5724541
115.0000000,  126.2194585,  129.7174758
117.0000000,  129.1425802,  132.7589860
119.0000000,  131.8843148,  136.2590317
121.0000000,  133.4339640,  136.8135084
123.0000000,  131.0323407,  135.5138433
125.0000000,  130.1225986,  133.7450382
127.0000000,  126.4553126,  131.1303420
129.0000000,  123.0388724,  127.0563330
131.0000000,  120.4262198,  122.6562119
133.0000000,  114.1556883,  118.4921533
135.0000000,  109.9417534,  113.1373382
137.0000000,  105.0824258,  107.8679563
139.0000000,  100.3273747,  103.4056167
141.0000000,  96.54063401,  98.36635803
143.0000000,  92.96838430,  93.95687145
145.0000000,  90.39294447,  91.38401486
147.0000000,  87.35008217,  88.85496391
149.0000000,  86.80001157,  86.87349116
151.0000000,  87.09233243,  86.20515323
153.0000000,  86.85562966,  86.50373862
155.0000000,  87.42163287,  86.51809135
157.0000000,  89.42129039,  86.99456616
159.0000000,  91.28099681,  89.10480595
161.0000000,  94.61793194,  92.02400779
163.0000000,  98.26540757,  94.79758823
165.0000000,  102.0516692,  97.75701545
167.0000000,  104.8317962,  100.5232313
169.0000000,  108.9386199,  103.2335932
171.0000000,  112.2591608,  107.0990611
173.0000000,  115.4861320,  109.1037456
175.0000000,  117.9826726,  110.5194739
177.0000000,  119.8795117,  111.6820519
179.0000000,  119.4628391,  112.4115585
181.0000000,  118.9981797,  112.0095714
183.0000000,  118.7840997,  111.5498473
185.0000000,  117.9349220,  110.3018377
187.0000000,  116.4507878,  109.4905370
189.0000000,  115.0706765,  106.5372412
191.0000000,  110.5019792,  104.9362455
193.0000000,  106.3179487,  100.1302248
195.0000000,  103.1041673,  97.63119540
197.0000000,  99.09809059,  93.28493078
199.0000000,  95.51691658,  91.43252471
201.0000000,  94.14184401,  89.69847305
203.0000000,  91.75784161,  87.02304924
205.0000000,  89.12090149,  85.07130001
207.0000000,  88.96291307,  85.45666772
209.0000000,  89.95112120,  84.79793265
211.0000000,  90.48570973,  86.16248093
213.0000000,  91.80854115,  87.63874305
215.0000000,  94.79904252,  90.38697990
217.0000000,  97.99706527,  93.93254191
219.0000000,  102.2731989,  96.77764074
221.0000000,  105.8634606,  102.3757505
223.0000000,  110.8351821,  106.7592907
225.0000000,  115.3106035,  111.7076493
227.0000000,  120.6076229,  117.3277623
229.0000000,  125.2625886,  121.1187111
231.0000000,  129.3229237,  126.6689100
233.0000000,  135.3301755,  129.3642702
235.0000000,  138.4532630,  131.6827963
237.0000000,  140.2720184,  133.5076646
239.0000000,  142.4751811,  133.6935158
241.0000000,  139.6764979,  133.2791660
243.0000000,  137.7546605,  130.2794612
245.0000000,  134.9484871,  127.5591712
247.0000000,  129.4553422,  122.7076201
249.0000000,  124.7293111,  117.9349967
251.0000000,  118.0864597,  112.3620018
253.0000000,  112.3880190,  106.0474547
255.0000000,  106.0984458,  99.46447191
