# Dihedral Angle (Degree),  Occurrence
1.000000000,  0.1740799368
3.000000000,  0.1805015640
5.000000000,  0.2080912371
7.000000000,  0.2743558308
9.000000000,  0.3341769273
11.00000000,  0.3128551659
13.00000000,  0.3875420876
15.00000000,  0.6349599614
17.00000000,  0.8401209202
19.00000000,  1.040076588
21.00000000,  1.358635489
23.00000000,  2.058967339
25.00000000,  3.021383451
27.00000000,  4.598742147
29.00000000,  6.469646433
31.00000000,  8.894256606
33.00000000,  13.26140270
35.00000000,  19.14461357
37.00000000,  27.58443334
39.00000000,  39.25020908
41.00000000,  55.71779807
43.00000000,  76.48003883
45.00000000,  104.0267903
47.00000000,  138.6799193
49.00000000,  181.1534672
51.00000000,  228.5795970
53.00000000,  284.1600454
55.00000000,  343.8754500
57.00000000,  406.0564448
59.00000000,  464.8913202
61.00000000,  515.9228847
63.00000000,  561.0246221
65.00000000,  588.3892063
67.00000000,  596.7797461
69.00000000,  591.6165674
71.00000000,  566.7459397
73.00000000,  527.0414221
75.00000000,  476.7309166
77.00000000,  419.0757836
79.00000000,  359.1470918
81.00000000,  297.2465635
83.00000000,  242.4089503
85.00000000,  193.8737757
87.00000000,  149.5638818
89.00000000,  115.0816105
91.00000000,  87.05842590
93.00000000,  64.00580496
95.00000000,  47.90928258
97.00000000,  35.31005972
99.00000000,  25.56184669
101.0000000,  18.37393532
103.0000000,  13.50878769
105.0000000,  10.32663993
107.0000000,  7.747881886
109.0000000,  5.591631248
111.0000000,  4.263031665
113.0000000,  3.472669772
115.0000000,  2.665259449
117.0000000,  2.209496222
119.0000000,  2.024127128
121.0000000,  1.731485805
123.0000000,  1.566745823
125.0000000,  1.438011138
127.0000000,  1.536431898
129.0000000,  1.439663671
131.0000000,  1.383752558
133.0000000,  1.403183256
135.0000000,  1.428109526
137.0000000,  1.554419511
139.0000000,  1.706580250
141.0000000,  1.943941671
143.0000000,  2.127368556
145.0000000,  2.381451215
147.0000000,  2.685064581
149.0000000,  3.303189406
151.0000000,  3.853133921
153.0000000,  4.341087519
155.0000000,  4.976588120
157.0000000,  5.962621452
159.0000000,  6.758651647
161.0000000,  7.624200566
163.0000000,  8.846656972
165.0000000,  9.702488944
167.0000000,  11.01633523
169.0000000,  12.22717275
171.0000000,  12.89343674
173.0000000,  13.34016604
175.0000000,  14.27315298
177.0000000,  15.10498917
179.0000000,  15.53720874
181.0000000,  15.43165288
183.0000000,  15.13770551
185.0000000,  14.60761683
187.0000000,  13.63964913
189.0000000,  12.58549741
191.0000000,  11.87876584
193.0000000,  11.07957717
195.0000000,  9.687462917
197.0000000,  8.479006056
199.0000000,  7.681655024
201.0000000,  6.742701934
203.0000000,  5.650595982
205.0000000,  4.870841631
207.0000000,  4.198609501
209.0000000,  3.698390517
211.0000000,  3.198068681
213.0000000,  2.674003342
215.0000000,  2.372182565
217.0000000,  1.925968158
219.0000000,  1.755528271
221.0000000,  1.574555751
223.0000000,  1.326388579
225.0000000,  1.293525802
227.0000000,  1.184118338
229.0000000,  1.273116356
231.0000000,  1.256697838
233.0000000,  1.160632848
235.0000000,  1.349435879
237.0000000,  1.428646905
239.0000000,  1.648667258
241.0000000,  1.951877489
243.0000000,  2.137634128
245.0000000,  2.643944561
247.0000000,  3.265957860
249.0000000,  4.213504772
251.0000000,  5.339447898
253.0000000,  7.028672463
255.0000000,  9.777976833
257.0000000,  12.98701011
259.0000000,  17.57752645
261.0000000,  25.00521142
263.0000000,  33.37426394
265.0000000,  45.79615364
267.0000000,  62.47592621
269.0000000,  84.90114235
271.0000000,  112.5737237
273.0000000,  146.5092049
275.0000000,  187.9978089
277.0000000,  237.1803048
279.0000000,  290.3441526
281.0000000,  350.2763084
283.0000000,  409.1198362
285.0000000,  467.3077163
287.0000000,  515.6004930
289.0000000,  553.7495805
291.0000000,  574.5242655
293.0000000,  581.6724959
295.0000000,  571.4361199
297.0000000,  547.0110802
299.0000000,  502.5321903
301.0000000,  453.1116470
303.0000000,  396.9037483
305.0000000,  335.4629666
307.0000000,  276.3580828
309.0000000,  220.0935735
311.0000000,  174.4353951
313.0000000,  133.5599316
315.0000000,  100.1785037
317.0000000,  73.85249565
319.0000000,  54.07232731
321.0000000,  37.90008608
323.0000000,  26.91878188
325.0000000,  18.56089458
327.0000000,  12.90969321
329.0000000,  8.812863292
331.0000000,  5.956842502
333.0000000,  4.266132491
335.0000000,  3.128713128
337.0000000,  2.067485320
339.0000000,  1.621335700
341.0000000,  1.058402573
343.0000000,  0.6666501524
345.0000000,  0.5955270027
347.0000000,  0.4941145729
349.0000000,  0.3278246554
351.0000000,  0.3116456208
353.0000000,  0.2532800356
355.0000000,  0.2126610854
357.0000000,  0.1788669656
359.0000000,  0.2116780187
