# Distance [pm],  g(r),  g(r)
80.12500000,  0.000000000,  0.000000000
80.37500000,  0.000000000,  0.000000000
80.62500000,  0.000000000,  0.000000000
80.87500000,  0.000000000,  0.000000000
81.12500000,  0.000000000,  0.000000000
81.37500000,  0.000000000,  0.000000000
81.62500000,  0.000000000,  0.000000000
81.87500000,  0.000000000,  0.000000000
82.12500000,  0.000000000,  0.000000000
82.37500000,  0.000000000,  0.000000000
82.62500000,  0.000000000,  0.000000000
82.87500000,  0.000000000,  0.000000000
83.12500000,  0.000000000,  0.000000000
83.37500000,  0.000000000,  0.0002811925075
83.62500000,  0.000000000,  0.001638653905
83.87500000,  0.000000000,  0.0007459036906
84.12500000,  0.000000000,  0.0005698358822
84.37500000,  0.000000000,  0.0007955495203
84.62500000,  0.000000000,  0.0007684805252
84.87500000,  0.000000000,  0.000000000
85.12500000,  4.438434439E-05,  0.0007515484348
85.37500000,  0.001627612238,  0.0005855489270
85.62500000,  0.004823085032,  0.005832108856
85.87500000,  0.003551750029,  0.003991013511
86.12500000,  0.005144303233,  0.005910059976
86.37500000,  0.009945046787,  0.007005004774
86.62500000,  0.01175925791,  0.01022100258
86.87500000,  0.02050389697,  0.01757729066
87.12500000,  0.02896650742,  0.02056604904
87.37500000,  0.02705610314,  0.03224572564
87.62500000,  0.05352090808,  0.05425092848
87.87500000,  0.06909556026,  0.06257944255
88.12500000,  0.09497629422,  0.08062956904
88.37500000,  0.1399806975,  0.1283503366
88.62500000,  0.1727395220,  0.1635803586
88.87500000,  0.2225770730,  0.2245082066
89.12500000,  0.3392886527,  0.3113030303
89.37500000,  0.4496342632,  0.4612417936
89.62500000,  0.5935274639,  0.5964984020
89.87500000,  0.7827666366,  0.8105770111
90.12500000,  1.037308057,  1.059245038
90.37500000,  1.312065202,  1.344966400
90.62500000,  1.692697411,  1.759366674
90.87500000,  2.227564832,  2.305256438
91.12500000,  2.889054987,  2.943670019
91.37500000,  3.588314738,  3.618330529
91.62500000,  4.442404555,  4.469626898
91.87500000,  5.588618472,  5.658482022
92.12500000,  7.016496945,  7.102273411
92.37500000,  8.563454141,  8.512718082
92.62500000,  10.30840864,  10.31956603
92.87500000,  12.61673601,  12.42891328
93.12500000,  14.92339316,  15.20932164
93.37500000,  17.85871526,  17.90828422
93.62500000,  21.23179484,  21.12794057
93.87500000,  24.81600577,  25.01027930
94.12500000,  29.21323222,  29.26364879
94.37500000,  33.81297459,  33.87307158
94.62500000,  38.83439529,  39.11923805
94.87500000,  44.53830920,  44.79699664
95.12500000,  50.30981917,  50.75962999
95.37500000,  56.84132838,  57.06311503
95.62500000,  63.45785455,  63.77518985
95.87500000,  70.51210650,  71.41878627
96.12500000,  77.82471235,  78.15568484
96.37500000,  85.06233647,  85.49819717
96.62500000,  92.76827206,  92.55016195
96.87500000,  100.0072931,  100.2351192
97.12500000,  107.4135749,  107.1018099
97.37500000,  114.2892133,  114.7224174
97.62500000,  121.2196654,  121.2457719
97.87500000,  127.6090083,  126.9050880
98.12500000,  132.6470904,  132.2092083
98.37500000,  136.9561863,  136.9917075
98.62500000,  140.9718981,  140.1795014
98.87500000,  142.8385340,  142.5682820
99.12500000,  144.3039400,  143.9719007
99.37500000,  143.2955860,  143.5104068
99.62500000,  141.6226744,  141.7436208
99.87500000,  138.7540227,  138.9893133
100.1250000,  134.8893112,  134.7668039
100.3750000,  129.8734621,  130.1741494
100.6250000,  123.9725576,  123.8559203
100.8750000,  117.8169605,  117.4185497
101.1250000,  110.4984835,  110.2411637
101.3750000,  102.6950728,  102.2427263
101.6250000,  94.89567541,  94.98800710
101.8750000,  87.28702539,  87.56880828
102.1250000,  79.59313935,  79.48396622
102.3750000,  72.06426605,  72.18351010
102.6250000,  64.91917122,  64.57731442
102.8750000,  57.89579321,  57.45990077
103.1250000,  51.07833671,  51.09592666
103.3750000,  45.00597662,  45.15164018
103.6250000,  39.55044151,  39.56628103
103.8750000,  34.59213319,  34.10282645
104.1250000,  29.72290940,  29.43849514
104.3750000,  25.31914730,  25.29541551
104.6250000,  21.58981336,  21.55577898
104.8750000,  18.16655819,  18.26785231
105.1250000,  15.21307860,  15.17428657
105.3750000,  12.66209947,  12.63576233
105.6250000,  10.47433928,  10.51378937
105.8750000,  8.689100161,  8.552550962
106.1250000,  6.982785978,  6.995451008
106.3750000,  5.713572279,  5.597314244
106.6250000,  4.548810369,  4.504929402
106.8750000,  3.679139848,  3.633218717
107.1250000,  2.899903189,  2.888564329
107.3750000,  2.232639468,  2.286244046
107.6250000,  1.702191893,  1.831307332
107.8750000,  1.336671861,  1.330206387
108.1250000,  1.018097038,  1.036853757
108.3750000,  0.8129782254,  0.8197789303
108.6250000,  0.6288394841,  0.5966403143
108.8750000,  0.4725747662,  0.4441982769
109.1250000,  0.3358486774,  0.3399923571
109.3750000,  0.2496505937,  0.2733536084
109.6250000,  0.1988327417,  0.1958368962
109.8750000,  0.1398777887,  0.1364367781
110.1250000,  0.09611192690,  0.1092091931
110.3750000,  0.06597539362,  0.07756877417
110.6250000,  0.04619111001,  0.05207213502
110.8750000,  0.03164327172,  0.04097726870
111.1250000,  0.02622869936,  0.02669253845
111.3750000,  0.02242772705,  0.01367119268
111.6250000,  0.01528285629,  0.006762932442
111.8750000,  0.009844981815,  0.007255289772
112.1250000,  0.005382332114,  0.005097749022
112.3750000,  0.004270522973,  0.002149736796
112.6250000,  0.002331870619,  0.002614269212
112.8750000,  0.003529366528,  0.003028596911
113.1250000,  0.001623155429,  0.0007134855730
113.3750000,  0.001508137589,  0.0004996160739
113.6250000,  0.001662392043,  0.0008234178788
113.8750000,  0.0001301968490,  0.000000000
114.1250000,  0.000000000,  0.000000000
114.3750000,  0.000000000,  0.000000000
114.6250000,  0.000000000,  0.000000000
114.8750000,  0.000000000,  0.000000000
115.1250000,  0.000000000,  0.000000000
115.3750000,  0.000000000,  0.000000000
115.6250000,  0.000000000,  0.000000000
115.8750000,  0.000000000,  0.000000000
116.1250000,  0.000000000,  0.000000000
116.3750000,  0.000000000,  0.000000000
116.6250000,  0.000000000,  0.000000000
116.8750000,  0.000000000,  0.000000000
117.1250000,  0.000000000,  0.000000000
117.3750000,  0.000000000,  0.000000000
117.6250000,  0.000000000,  0.000000000
117.8750000,  0.000000000,  0.000000000
118.1250000,  0.000000000,  0.000000000
118.3750000,  0.000000000,  0.000000000
118.6250000,  0.000000000,  0.000000000
118.8750000,  0.000000000,  0.000000000
119.1250000,  0.000000000,  0.000000000
119.3750000,  0.000000000,  0.000000000
119.6250000,  0.000000000,  0.000000000
119.8750000,  0.000000000,  0.000000000
