# Distance [pm],  g1(r),  g2(r)
120.1250000,  0.000000000,  0.000000000
120.3750000,  0.000000000,  0.000000000
120.6250000,  0.000000000,  0.000000000
120.8750000,  0.000000000,  0.000000000
121.1250000,  0.000000000,  0.000000000
121.3750000,  0.000000000,  0.000000000
121.6250000,  0.000000000,  0.000000000
121.8750000,  0.000000000,  0.000000000
122.1250000,  0.000000000,  0.000000000
122.3750000,  0.000000000,  0.000000000
122.6250000,  0.000000000,  0.000000000
122.8750000,  0.000000000,  0.000000000
123.1250000,  0.000000000,  0.000000000
123.3750000,  0.000000000,  0.000000000
123.6250000,  0.000000000,  0.000000000
123.8750000,  0.000000000,  0.000000000
124.1250000,  0.000000000,  0.000000000
124.3750000,  0.000000000,  0.000000000
124.6250000,  0.000000000,  0.000000000
124.8750000,  0.000000000,  0.000000000
125.1250000,  0.000000000,  0.000000000
125.3750000,  0.000000000,  0.000000000
125.6250000,  0.000000000,  0.000000000
125.8750000,  0.000000000,  0.000000000
126.1250000,  0.000000000,  0.000000000
126.3750000,  0.000000000,  0.000000000
126.6250000,  0.000000000,  0.000000000
126.8750000,  0.000000000,  0.000000000
127.1250000,  0.000000000,  0.000000000
127.3750000,  0.000000000,  0.000000000
127.6250000,  0.000000000,  0.000000000
127.8750000,  0.000000000,  0.000000000
128.1250000,  0.002445459552,  0.000000000
128.3750000,  0.001275173030,  0.000000000
128.6250000,  0.002615088611,  0.0009105538634
128.8750000,  0.002965860262,  0.001662853415
129.1250000,  0.002559215954,  0.004388976560
129.3750000,  0.007556670701,  0.008295061928
129.6250000,  0.003606025539,  0.008604266390
129.8750000,  0.009986536267,  0.01099531742
130.1250000,  0.02484782366,  0.01725563295
130.3750000,  0.02493707350,  0.02338045010
130.6250000,  0.05537908242,  0.03891626796
130.8750000,  0.04240043645,  0.03881173822
131.1250000,  0.05571606930,  0.07093438529
131.3750000,  0.09856451977,  0.1098453064
131.6250000,  0.1438914333,  0.1544937935
131.8750000,  0.1703805768,  0.1746802816
132.1250000,  0.2280442417,  0.2628607950
132.3750000,  0.3072502762,  0.3196430849
132.6250000,  0.4297530752,  0.4132187637
132.8750000,  0.5835336880,  0.5680315935
133.1250000,  0.7341779211,  0.8040744317
133.3750000,  0.9580202543,  0.9580655776
133.6250000,  1.243143966,  1.206929760
133.8750000,  1.643736608,  1.537742070
