# Distance [pm];  g(r)
130.1250000;  0.000000000
130.3750000;  0.000000000
130.6250000;  0.000000000
130.8750000;  0.000000000
131.1250000;  0.000000000
131.3750000;  0.000000000
131.6250000;  0.000000000
131.8750000;  0.000000000
132.1250000;  0.000000000
132.3750000;  0.000000000
132.6250000;  0.000000000
132.8750000;  0.000000000
133.1250000;  0.000000000
133.3750000;  0.000000000
133.6250000;  0.000000000
133.8750000;  0.000000000
134.1250000;  0.000000000
134.3750000;  0.000000000
134.6250000;  0.000000000
134.8750000;  0.000000000
135.1250000;  0.000000000
135.3750000;  0.000000000
135.6250000;  0.000000000
135.8750000;  0.000000000
136.1250000;  0.000000000
136.3750000;  0.000000000
136.6250000;  0.000000000
136.8750000;  0.000000000
137.1250000;  0.000000000
137.3750000;  0.000000000
137.6250000;  0.000000000
137.8750000;  0.000000000
138.1250000;  0.000000000
138.3750000;  0.000000000
138.6250000;  0.000000000
138.8750000;  0.000000000
139.1250000;  0.000000000
139.3750000;  0.001383241310
139.6250000;  0.001935143714
139.8750000;  0.0005213078007
140.1250000;  0.002481062456
140.3750000;  0.006165428952
140.6250000;  0.006700503954
140.8750000;  0.007368974222
141.1250000;  0.01098177762
141.3750000;  0.01318691102
141.6250000;  0.02162227697
141.8750000;  0.03217574680
142.1250000;  0.04458703828
142.3750000;  0.05909267229
142.6250000;  0.09161374842
142.8750000;  0.1172167599
143.1250000;  0.1805127730
143.3750000;  0.2319249256
143.6250000;  0.3036651603
143.8750000;  0.4036352110
144.1250000;  0.5027898159
144.3750000;  0.6635148546
144.6250000;  0.8647074907
144.8750000;  1.125247968
145.1250000;  1.456389394
145.3750000;  1.810691749
145.6250000;  2.262962190
145.8750000;  2.802652585
146.1250000;  3.626016954
146.3750000;  4.583187571
146.6250000;  5.460527777
146.8750000;  6.709995283
147.1250000;  8.230921900
147.3750000;  9.770323137
147.6250000;  11.81974158
147.8750000;  13.98909118
148.1250000;  16.47784664
148.3750000;  19.47334500
148.6250000;  22.51725746
148.8750000;  26.01019061
149.1250000;  29.98958938
149.3750000;  34.54862639
149.6250000;  39.11579908
149.8750000;  44.21285750
150.1250000;  49.69231000
150.3750000;  55.32703980
150.6250000;  61.16718717
150.8750000;  67.13291700
151.1250000;  73.38697074
151.3750000;  79.77923304
151.6250000;  85.79851752
151.8750000;  92.47134514
152.1250000;  98.13967452
152.3750000;  103.5675584
152.6250000;  109.3043242
152.8750000;  113.9540580
153.1250000;  118.1593554
153.3750000;  121.4191192
153.6250000;  124.8132535
153.8750000;  126.6873922
154.1250000;  127.8459461
154.3750000;  128.6484119
154.6250000;  128.0832983
154.8750000;  126.6930222
155.1250000;  125.6499184
155.3750000;  122.9978529
155.6250000;  119.2597334
155.8750000;  114.9047059
156.1250000;  110.3272008
156.3750000;  105.0823456
156.6250000;  99.61062048
156.8750000;  93.64788673
157.1250000;  87.54033456
157.3750000;  81.21644511
157.6250000;  74.76547285
157.8750000;  69.03654684
158.1250000;  62.96776606
158.3750000;  56.66267965
158.6250000;  51.14738142
158.8750000;  45.51350942
159.1250000;  40.56063954
159.3750000;  35.65258822
159.6250000;  31.10134416
159.8750000;  27.36674947
160.1250000;  23.75626902
160.3750000;  20.42110051
160.6250000;  17.20087582
160.8750000;  14.71253567
161.1250000;  12.27921343
161.3750000;  10.38340891
161.6250000;  8.501188764
161.8750000;  7.065838973
162.1250000;  5.862976055
162.3750000;  4.770027060
162.6250000;  3.841737874
162.8750000;  3.152133171
163.1250000;  2.506179558
163.3750000;  1.998385809
163.6250000;  1.570670462
163.8750000;  1.209607434
164.1250000;  0.9891355932
164.3750000;  0.7917570958
164.6250000;  0.5619800252
164.8750000;  0.4409508347
165.1250000;  0.3525366550
165.3750000;  0.2579156015
165.6250000;  0.1900199038
165.8750000;  0.1417090262
166.1250000;  0.1061055197
166.3750000;  0.08451552481
166.6250000;  0.06088664583
166.8750000;  0.04003467307
167.1250000;  0.03205728281
167.3750000;  0.02440157491
167.6250000;  0.01595688462
167.8750000;  0.008864680854
168.1250000;  0.007722997741
168.3750000;  0.004582421436
168.6250000;  0.005257550359
168.8750000;  0.002595263978
169.1250000;  0.003139696441
169.3750000;  0.0008882800737
169.6250000;  0.001133906476
169.8750000;  3.887500536E-06
170.1250000;  0.000000000
170.3750000;  0.000000000
170.6250000;  0.000000000
170.8750000;  0.000000000
171.1250000;  0.000000000
171.3750000;  0.000000000
171.6250000;  0.000000000
171.8750000;  0.000000000
172.1250000;  0.000000000
172.3750000;  0.000000000
172.6250000;  0.000000000
172.8750000;  0.000000000
173.1250000;  0.000000000
173.3750000;  0.000000000
173.6250000;  0.000000000
173.8750000;  0.000000000
174.1250000;  0.000000000
174.3750000;  0.000000000
174.6250000;  0.000000000
174.8750000;  0.000000000
175.1250000;  0.000000000
175.3750000;  0.000000000
175.6250000;  0.000000000
175.8750000;  0.000000000
176.1250000;  0.000000000
176.3750000;  0.000000000
176.6250000;  0.000000000
176.8750000;  0.000000000
177.1250000;  0.000000000
177.3750000;  0.000000000
177.6250000;  0.000000000
177.8750000;  0.000000000
178.1250000;  0.000000000
178.3750000;  0.000000000
178.6250000;  0.000000000
178.8750000;  0.000000000
179.1250000;  0.000000000
179.3750000;  0.000000000
179.6250000;  0.000000000
179.8750000;  0.000000000
