# Dihedral Angle (Degree),  Occurrence1,  Occurrence2
1.000000000,  73.46891413,  76.18630504
3.000000000,  74.25508472,  75.61131840
5.000000000,  73.75428142,  76.22656083
7.000000000,  73.83948915,  76.45672449
9.000000000,  74.74137382,  76.65474117
11.00000000,  75.16457395,  77.05340322
13.00000000,  74.93346722,  76.99023557
15.00000000,  74.85032421,  77.13444723
17.00000000,  76.20171319,  77.70830466
19.00000000,  76.68758278,  78.93924309
21.00000000,  77.57967059,  79.36315739
23.00000000,  79.72870623,  81.22057190
25.00000000,  80.99202265,  83.28029956
27.00000000,  82.49861796,  85.05138536
29.00000000,  84.41856658,  86.23622756
31.00000000,  87.63702190,  88.37160651
33.00000000,  89.31701099,  90.21804592
35.00000000,  91.08147446,  92.64726875
37.00000000,  95.26976404,  96.06165529
39.00000000,  98.45912848,  99.62787476
41.00000000,  100.8620541,  102.4774181
43.00000000,  103.2467643,  105.7388592
45.00000000,  106.7514323,  108.6446445
47.00000000,  110.3982372,  110.9026482
49.00000000,  113.2954998,  114.5535058
51.00000000,  114.3407516,  116.7905419
53.00000000,  117.6913389,  119.1392282
55.00000000,  120.7986505,  121.1422952
57.00000000,  120.6925408,  122.4376557
59.00000000,  121.8022764,  122.7087289
61.00000000,  121.5460817,  123.2702162
63.00000000,  121.2865609,  122.0860088
65.00000000,  119.0116466,  121.0368832
67.00000000,  117.4155597,  118.2775024
69.00000000,  114.2095290,  115.6097792
71.00000000,  110.2276448,  111.7598876
73.00000000,  106.1040408,  108.2584019
75.00000000,  102.1361358,  104.0824248
77.00000000,  97.47187051,  99.64009444
79.00000000,  93.68768020,  94.66648371
81.00000000,  89.60105659,  90.31271825
83.00000000,  85.37919812,  86.53707821
85.00000000,  81.75907283,  83.30351011
87.00000000,  78.61833398,  80.37273015
89.00000000,  78.54685350,  79.06623739
91.00000000,  77.59432551,  78.25302336
93.00000000,  77.23286193,  77.44397430
95.00000000,  78.22636149,  78.99270719
97.00000000,  79.07026581,  81.48832116
99.00000000,  82.54755561,  85.35172416
101.0000000,  86.86366587,  89.07986263
103.0000000,  91.99926243,  93.59931208
105.0000000,  97.23673449,  99.16090799
107.0000000,  103.5494823,  105.0742903
