# Distance [pm],  g(r)
130.1250000,  0.000000000
130.3750000,  0.000000000
130.6250000,  0.000000000
130.8750000,  0.000000000
131.1250000,  0.000000000
131.3750000,  0.000000000
131.6250000,  0.000000000
131.8750000,  0.000000000
132.1250000,  0.000000000
132.3750000,  0.000000000
132.6250000,  0.000000000
132.8750000,  0.000000000
133.1250000,  0.000000000
133.3750000,  0.000000000
133.6250000,  0.000000000
133.8750000,  0.000000000
134.1250000,  0.000000000
134.3750000,  0.000000000
134.6250000,  0.000000000
134.8750000,  0.000000000
135.1250000,  0.000000000
135.3750000,  0.000000000
135.6250000,  0.000000000
135.8750000,  0.000000000
136.1250000,  0.000000000
136.3750000,  0.000000000
136.6250000,  0.0003435908957
136.8750000,  0.0006163323105
137.1250000,  0.000000000
137.3750000,  0.000000000
137.6250000,  0.000000000
137.8750000,  0.000000000
138.1250000,  0.000000000
138.3750000,  0.000000000
138.6250000,  0.0007907435891
138.8750000,  0.0001691796170
139.1250000,  0.000000000
139.3750000,  0.000000000
139.6250000,  0.001169301128
139.8750000,  0.004133168658
140.1250000,  0.003640261911
140.3750000,  0.004578210934
140.6250000,  0.006587982009
140.8750000,  0.009004760265
141.1250000,  0.01352149731
141.3750000,  0.02060737139
141.6250000,  0.02706323460
141.8750000,  0.03638002033
142.1250000,  0.05887047152
142.3750000,  0.08018954614
142.6250000,  0.09128051865
142.8750000,  0.1449898253
143.1250000,  0.1859589237
143.3750000,  0.2362097275
143.6250000,  0.3237799851
143.8750000,  0.4132079027
144.1250000,  0.5406199751
144.3750000,  0.7071629035
144.6250000,  0.9479238909
144.8750000,  1.177562673
145.1250000,  1.525501593
145.3750000,  1.882241652
145.6250000,  2.359114502
145.8750000,  2.942435386
146.1250000,  3.711749574
146.3750000,  4.545554607
146.6250000,  5.452713425
146.8750000,  6.716739234
147.1250000,  8.268214638
147.3750000,  9.975375266
147.6250000,  11.72101920
147.8750000,  14.12307878
148.1250000,  16.62860620
148.3750000,  19.46925139
148.6250000,  22.72772995
148.8750000,  26.48461754
149.1250000,  30.30738894
149.3750000,  34.60696877
149.6250000,  39.24149341
149.8750000,  44.11413681
150.1250000,  49.79553369
150.3750000,  55.49892134
150.6250000,  61.22837099
150.8750000,  67.33530304
151.1250000,  73.34713584
151.3750000,  78.96557628
151.6250000,  85.71121128
151.8750000,  91.92332699
152.1250000,  97.83756821
152.3750000,  103.0128806
152.6250000,  108.5711497
152.8750000,  113.3644787
153.1250000,  117.6945271
153.3750000,  121.1141110
153.6250000,  123.8722572
153.8750000,  126.2096590
154.1250000,  127.6104315
154.3750000,  127.6817003
154.6250000,  127.7013214
154.8750000,  126.4848705
155.1250000,  125.0103415
155.3750000,  122.0357347
155.6250000,  118.9749526
155.8750000,  114.9672635
156.1250000,  110.4015411
156.3750000,  105.3331651
156.6250000,  99.71509946
156.8750000,  93.55260652
157.1250000,  87.72419973
157.3750000,  81.50345794
157.6250000,  75.20316076
157.8750000,  69.18272325
158.1250000,  62.81264226
158.3750000,  56.97897742
158.6250000,  51.64394150
158.8750000,  45.68079163
159.1250000,  40.64958317
159.3750000,  35.95711137
159.6250000,  31.56047382
159.8750000,  27.72212006
160.1250000,  23.98326743
160.3750000,  20.57957370
160.6250000,  17.56505266
160.8750000,  14.98023489
161.1250000,  12.62603014
161.3750000,  10.70628019
161.6250000,  8.820817762
161.8750000,  7.273253997
162.1250000,  6.016913581
162.3750000,  4.910287664
162.6250000,  3.986599738
162.8750000,  3.278449019
163.1250000,  2.621301826
163.3750000,  1.956855892
163.6250000,  1.651004548
163.8750000,  1.282311439
164.1250000,  1.054276946
164.3750000,  0.8069835339
164.6250000,  0.6201518073
164.8750000,  0.4842939110
165.1250000,  0.3728425869
165.3750000,  0.2613853507
165.6250000,  0.1880976870
165.8750000,  0.1555897941
166.1250000,  0.1049241179
166.3750000,  0.08150341394
166.6250000,  0.05007402029
166.8750000,  0.05216482778
167.1250000,  0.03326587670
167.3750000,  0.01704478659
167.6250000,  0.01701135506
167.8750000,  0.01696962359
168.1250000,  0.01062605508
168.3750000,  0.005463619078
168.6250000,  0.005245009874
168.8750000,  0.007992398501
169.1250000,  0.001930178962
169.3750000,  0.001493741993
169.6250000,  5.338295597E-05
169.8750000,  0.001043516539
170.1250000,  0.0008229469171
170.3750000,  0.000000000
170.6250000,  0.000000000
170.8750000,  0.000000000
171.1250000,  0.000000000
171.3750000,  0.000000000
171.6250000,  0.000000000
171.8750000,  0.000000000
172.1250000,  0.000000000
172.3750000,  0.000000000
172.6250000,  0.000000000
172.8750000,  0.000000000
173.1250000,  0.000000000
173.3750000,  0.000000000
173.6250000,  0.000000000
173.8750000,  0.000000000
174.1250000,  0.000000000
174.3750000,  0.000000000
174.6250000,  0.000000000
174.8750000,  0.000000000
175.1250000,  0.000000000
175.3750000,  0.000000000
175.6250000,  0.000000000
175.8750000,  0.000000000
176.1250000,  0.000000000
176.3750000,  0.000000000
176.6250000,  0.000000000
176.8750000,  0.000000000
177.1250000,  0.000000000
177.3750000,  0.000000000
177.6250000,  0.000000000
177.8750000,  0.000000000
178.1250000,  0.000000000
178.3750000,  0.000000000
178.6250000,  0.000000000
178.8750000,  0.000000000
179.1250000,  0.000000000
179.3750000,  0.000000000
179.6250000,  0.000000000
179.8750000,  0.000000000
