# Distance [pm],  g1(r),  g2(r)
80.12500000,  0.000000000,  0.000000000
80.37500000,  0.000000000,  0.000000000
80.62500000,  0.000000000,  0.000000000
80.87500000,  0.000000000,  0.000000000
81.12500000,  0.000000000,  0.000000000
81.37500000,  0.000000000,  0.000000000
81.62500000,  0.000000000,  0.000000000
81.87500000,  0.000000000,  0.000000000
82.12500000,  0.000000000,  0.000000000
82.37500000,  0.000000000,  0.000000000
82.62500000,  0.000000000,  0.000000000
82.87500000,  0.000000000,  0.000000000
83.12500000,  0.000000000,  0.000000000
83.37500000,  0.000000000,  0.000000000
83.62500000,  0.0006076343836,  0.000000000
83.87500000,  0.0003522888225,  0.0002012471910
84.12500000,  0.000000000,  0.0007586760151
84.37500000,  0.000000000,  0.001532957927
84.62500000,  0.0002661439688,  0.001011340370
84.87500000,  0.002398106497,  0.002232948534
85.12500000,  0.001711355474,  0.001319390449
85.37500000,  0.002996634114,  0.004785801444
85.62500000,  0.002619657863,  0.002420637063
85.87500000,  0.006168780690,  0.006192331975
86.12500000,  0.009798250514,  0.006934712250
86.37500000,  0.01179860639,  0.01166121296
86.62500000,  0.01681844629,  0.01743931684
86.87500000,  0.02529395003,  0.02552231047
87.12500000,  0.04056025122,  0.03642996955
87.37500000,  0.05853319326,  0.04930302458
87.62500000,  0.06923533942,  0.07237611771
87.87500000,  0.1084440020,  0.09278873697
88.12500000,  0.1529190596,  0.1346476228
88.37500000,  0.1899645059,  0.1603259124
88.62500000,  0.2606133596,  0.2571551903
88.87500000,  0.3381170138,  0.3464875753
89.12500000,  0.4438488194,  0.4501394134
89.37500000,  0.5658471572,  0.5793457565
89.62500000,  0.8143071318,  0.8185557433
89.87500000,  1.033960589,  1.043660144
90.12500000,  1.295654613,  1.304830247
90.37500000,  1.644974783,  1.683218769
90.62500000,  2.138665900,  2.126394857
90.87500000,  2.865359586,  2.728218540
91.12500000,  3.541471941,  3.528582631
91.37500000,  4.396266964,  4.353160778
91.62500000,  5.512870318,  5.326722424
91.87500000,  6.806054737,  6.666515369
92.12500000,  8.272803799,  8.256996655
92.37500000,  9.955140183,  9.963851680
92.62500000,  12.13722509,  12.01331736
92.87500000,  14.39532305,  14.41898565
93.12500000,  17.13502335,  17.31175992
93.37500000,  20.05915614,  20.20113213
93.62500000,  23.69105471,  23.63295332
93.87500000,  27.45098669,  27.61835664
94.12500000,  31.93077363,  31.47807669
94.37500000,  36.59412666,  36.02479643
94.62500000,  41.66209199,  41.41262743
94.87500000,  47.29897056,  46.91001339
95.12500000,  52.96034169,  52.50150006
95.37500000,  59.29790803,  58.75106574
95.62500000,  65.57234884,  65.46305810
95.87500000,  72.04062909,  72.04930211
96.12500000,  78.85683897,  78.77613687
96.37500000,  85.64872134,  85.32999537
96.62500000,  92.66120494,  92.29051741
96.87500000,  99.13995670,  98.87088819
97.12500000,  105.4348554,  105.4948075
97.37500000,  111.3777583,  111.8611213
97.62500000,  117.3532112,  117.3471553
97.87500000,  123.0411735,  122.7633606
98.12500000,  127.4107294,  127.4750590
98.37500000,  130.9486759,  131.2830551
98.62500000,  133.3273778,  133.6867347
98.87500000,  136.0367170,  135.9098297
99.12500000,  137.1767040,  137.3021113
99.37500000,  136.7357649,  137.0355043
99.62500000,  135.7777225,  135.6934658
99.87500000,  133.2824581,  133.6212693
100.1250000,  130.0042759,  130.4416738
100.3750000,  125.3976219,  125.6563100
100.6250000,  120.3038273,  120.9825709
100.8750000,  114.7750750,  114.6777863
101.1250000,  108.3586986,  108.5904552
101.3750000,  101.2110321,  101.3351101
101.6250000,  94.38083496,  94.32321343
101.8750000,  87.49052120,  87.39132802
102.1250000,  80.03490445,  80.42974392
102.3750000,  73.03287677,  73.35491467
102.6250000,  66.01604486,  66.02658271
102.8750000,  59.57089511,  59.72988275
103.1250000,  53.60700246,  53.18760777
103.3750000,  47.54405136,  47.70452031
103.6250000,  42.06525504,  42.14540672
103.8750000,  36.98820464,  37.02842415
104.1250000,  32.22971203,  32.26606838
104.3750000,  27.78625045,  27.94369719
104.6250000,  24.13120226,  23.94537774
104.8750000,  20.84336940,  20.58754392
105.1250000,  17.50277020,  17.50009610
105.3750000,  14.65716662,  14.83106858
105.6250000,  12.42825173,  12.36677885
105.8750000,  10.25257491,  10.25161507
106.1250000,  8.387873822,  8.506156731
106.3750000,  6.830113787,  7.116569057
106.6250000,  5.626371755,  5.645904926
106.8750000,  4.589356958,  4.548957417
107.1250000,  3.796085337,  3.656679891
107.3750000,  2.935441591,  2.959463500
107.6250000,  2.332079337,  2.328028992
107.8750000,  1.816867993,  1.831463423
108.1250000,  1.405187184,  1.467122258
108.3750000,  1.147646223,  1.184408398
108.6250000,  0.8581380780,  0.8646387814
108.8750000,  0.6731020480,  0.6720085126
109.1250000,  0.5055581709,  0.5254338561
109.3750000,  0.3913531217,  0.3803419774
109.6250000,  0.2799005902,  0.2859402086
109.8750000,  0.2073387506,  0.2129811254
110.1250000,  0.1506890162,  0.1532895197
110.3750000,  0.1232925066,  0.1089097845
110.6250000,  0.1002637319,  0.08153625403
110.8750000,  0.06155236068,  0.05069040570
111.1250000,  0.03822666970,  0.03232186756
111.3750000,  0.02947809516,  0.02821349550
111.6250000,  0.02539830745,  0.02671491376
111.8750000,  0.01400288274,  0.01644277217
112.1250000,  0.01077111776,  0.009191475454
112.3750000,  0.008461966059,  0.007876610397
112.6250000,  0.006107531587,  0.005304565960
112.8750000,  0.002220138154,  0.001650174791
113.1250000,  0.004041854771,  0.002939508352
113.3750000,  0.004816693767,  0.001136429169
113.6250000,  0.002610693561,  0.0002298480199
113.8750000,  0.0006797217335,  0.000000000
114.1250000,  0.0002802014727,  0.000000000
114.3750000,  0.000000000,  0.000000000
114.6250000,  0.000000000,  0.000000000
114.8750000,  0.000000000,  0.000000000
115.1250000,  0.000000000,  0.000000000
115.3750000,  0.000000000,  0.000000000
115.6250000,  0.000000000,  0.000000000
115.8750000,  0.000000000,  0.000000000
116.1250000,  0.000000000,  0.000000000
116.3750000,  0.000000000,  0.000000000
116.6250000,  0.000000000,  0.000000000
116.8750000,  0.000000000,  0.000000000
117.1250000,  0.000000000,  0.000000000
117.3750000,  0.000000000,  0.000000000
117.6250000,  0.000000000,  0.000000000
117.8750000,  0.000000000,  0.000000000
118.1250000,  0.000000000,  0.000000000
118.3750000,  0.000000000,  0.000000000
118.6250000,  0.000000000,  0.000000000
118.8750000,  0.000000000,  0.000000000
119.1250000,  0.000000000,  0.000000000
119.3750000,  0.000000000,  0.000000000
119.6250000,  0.000000000,  0.000000000
119.8750000,  0.000000000,  0.000000000
