# Distance [pm],  g(r),  g(r)
120.1250000,  0.000000000,  0.000000000
120.3750000,  0.000000000,  0.000000000
120.6250000,  0.000000000,  0.000000000
120.8750000,  0.000000000,  0.000000000
121.1250000,  0.000000000,  0.000000000
121.3750000,  0.000000000,  0.000000000
121.6250000,  0.000000000,  0.000000000
121.8750000,  0.000000000,  0.000000000
122.1250000,  0.000000000,  0.000000000
122.3750000,  0.000000000,  0.000000000
122.6250000,  0.000000000,  0.000000000
122.8750000,  0.000000000,  0.000000000
123.1250000,  0.000000000,  0.000000000
123.3750000,  0.000000000,  0.000000000
123.6250000,  0.000000000,  0.000000000
123.8750000,  0.000000000,  0.000000000
124.1250000,  0.000000000,  0.000000000
124.3750000,  0.000000000,  0.000000000
124.6250000,  0.000000000,  0.000000000
124.8750000,  0.000000000,  0.000000000
125.1250000,  0.000000000,  0.000000000
125.3750000,  0.000000000,  0.000000000
125.6250000,  0.000000000,  0.000000000
125.8750000,  0.000000000,  0.000000000
126.1250000,  0.000000000,  0.000000000
126.3750000,  0.000000000,  0.0005215910195
126.6250000,  0.000000000,  0.001324415146
126.8750000,  0.000000000,  0.000000000
127.1250000,  0.000000000,  0.000000000
127.3750000,  0.000000000,  9.314673386E-05
127.6250000,  0.0005955502459,  0.001752859432
127.8750000,  0.001250455920,  0.001318889906
128.1250000,  0.000000000,  0.0005271162598
128.3750000,  0.000000000,  0.001086643733
128.6250000,  0.000000000,  0.002864669208
128.8750000,  0.004538692558,  0.008832042158
129.1250000,  0.007179391521,  0.004106997093
129.3750000,  0.005446577223,  0.003622927420
129.6250000,  0.01355985175,  0.007790371170
129.8750000,  0.01711402564,  0.01385319280
130.1250000,  0.02627856334,  0.01890568456
130.3750000,  0.03214663535,  0.03003346796
130.6250000,  0.04303797108,  0.04123139427
130.8750000,  0.05325529925,  0.05350525879
131.1250000,  0.07668522201,  0.08597323164
131.3750000,  0.08774089457,  0.1014395339
131.6250000,  0.1316930183,  0.1397232519
131.8750000,  0.1493032458,  0.1932571296
132.1250000,  0.2485700813,  0.2518707540
132.3750000,  0.3455387372,  0.3365657826
132.6250000,  0.4539457533,  0.4644302875
132.8750000,  0.5525156571,  0.5981583844
133.1250000,  0.7789531229,  0.8001536744
133.3750000,  0.9877885387,  1.015449426
133.6250000,  1.210336127,  1.311901800
133.8750000,  1.641929893,  1.644544581
