# Dihedral Angle (Degree),  Occurrence
1.000000000,  0.1993315463
3.000000000,  0.2133064082
5.000000000,  0.1852037180
7.000000000,  0.2488081130
9.000000000,  0.2587345746
11.00000000,  0.3316637800
13.00000000,  0.3732442978
15.00000000,  0.5089641613
17.00000000,  0.6696902526
19.00000000,  1.008875786
21.00000000,  1.309330109
23.00000000,  1.914831772
25.00000000,  2.784585899
27.00000000,  3.885538307
29.00000000,  6.175075661
31.00000000,  8.416268184
33.00000000,  12.46953124
35.00000000,  18.32582130
37.00000000,  26.66439117
39.00000000,  37.38605519
41.00000000,  53.48409248
43.00000000,  75.05661764
45.00000000,  101.9703994
47.00000000,  136.3832283
49.00000000,  177.8362680
51.00000000,  227.6329867
53.00000000,  283.7692830
55.00000000,  343.5594409
57.00000000,  409.4534036
59.00000000,  470.8187917
61.00000000,  521.9591000
63.00000000,  563.7039349
65.00000000,  591.7712438
67.00000000,  604.2194169
69.00000000,  597.2977342
71.00000000,  570.3933066
73.00000000,  530.6585221
75.00000000,  478.0752771
77.00000000,  417.6270313
79.00000000,  357.4275422
81.00000000,  296.8356641
83.00000000,  240.6016119
85.00000000,  189.3278452
87.00000000,  146.4634589
89.00000000,  111.8251951
91.00000000,  82.76574256
93.00000000,  62.23927142
95.00000000,  45.24936214
97.00000000,  32.35003072
99.00000000,  23.56925688
101.0000000,  16.99720498
103.0000000,  12.45107188
105.0000000,  9.091242560
107.0000000,  6.760762559
109.0000000,  5.041161147
111.0000000,  3.917361007
113.0000000,  2.905891519
115.0000000,  2.323087511
117.0000000,  2.007508724
119.0000000,  1.678800322
121.0000000,  1.394422831
123.0000000,  1.366846940
125.0000000,  1.221390563
127.0000000,  1.118496095
129.0000000,  1.031840940
131.0000000,  1.033162808
133.0000000,  1.045217622
135.0000000,  1.195482570
137.0000000,  1.234795705
139.0000000,  1.361791687
141.0000000,  1.444567715
143.0000000,  1.679362626
145.0000000,  1.892576166
147.0000000,  2.160905395
149.0000000,  2.512923534
151.0000000,  2.779482117
153.0000000,  3.339016353
155.0000000,  4.078025384
157.0000000,  4.726292985
159.0000000,  5.471546952
161.0000000,  6.382955393
163.0000000,  7.332483948
165.0000000,  7.748751125
167.0000000,  8.918544304
169.0000000,  9.434793641
171.0000000,  9.968075708
173.0000000,  10.63445069
175.0000000,  11.47570186
177.0000000,  11.77997188
179.0000000,  11.72211803
181.0000000,  11.64875402
183.0000000,  11.56432724
185.0000000,  11.23689992
187.0000000,  10.79893627
189.0000000,  10.42722292
191.0000000,  9.671356739
193.0000000,  8.540305491
195.0000000,  7.772689195
197.0000000,  7.162121228
199.0000000,  6.053640488
201.0000000,  5.122616212
203.0000000,  4.718189995
205.0000000,  4.009726134
207.0000000,  3.356665474
209.0000000,  3.056330846
211.0000000,  2.484786830
213.0000000,  2.144235142
215.0000000,  1.913296585
217.0000000,  1.619774976
219.0000000,  1.470804612
221.0000000,  1.307835434
223.0000000,  1.320882537
225.0000000,  1.211533489
227.0000000,  1.121536929
229.0000000,  1.067467892
231.0000000,  0.9739420716
233.0000000,  0.9600440023
235.0000000,  1.122351915
237.0000000,  1.195108292
239.0000000,  1.374499566
241.0000000,  1.559772788
243.0000000,  1.876137241
245.0000000,  2.489761707
247.0000000,  3.037007061
249.0000000,  3.827704138
251.0000000,  5.040574102
253.0000000,  6.405755369
255.0000000,  8.899375302
257.0000000,  12.24919075
259.0000000,  16.86454026
261.0000000,  22.89962178
263.0000000,  31.54311100
265.0000000,  43.46091103
267.0000000,  59.72225212
269.0000000,  81.02611654
271.0000000,  108.2915807
273.0000000,  142.6830747
275.0000000,  185.9055762
277.0000000,  233.1872182
279.0000000,  290.4254055
281.0000000,  348.8264544
283.0000000,  408.8033248
285.0000000,  468.7630419
287.0000000,  521.6259503
289.0000000,  563.3353232
291.0000000,  589.2307639
293.0000000,  593.6095720
295.0000000,  586.7712925
297.0000000,  559.5317196
299.0000000,  516.7067667
301.0000000,  462.3896570
303.0000000,  403.4244312
305.0000000,  343.5195746
307.0000000,  282.2374238
309.0000000,  226.6781335
311.0000000,  174.7220596
313.0000000,  134.1120907
315.0000000,  100.7165867
317.0000000,  73.52473935
319.0000000,  52.92628968
321.0000000,  37.38147466
323.0000000,  26.09311199
325.0000000,  17.81414827
327.0000000,  12.52222019
329.0000000,  8.520484646
331.0000000,  5.886657041
333.0000000,  4.076001557
335.0000000,  2.850111255
337.0000000,  1.985638989
339.0000000,  1.499621032
341.0000000,  0.9219012672
343.0000000,  0.6080718689
345.0000000,  0.4876532221
347.0000000,  0.4224812016
349.0000000,  0.3010345250
351.0000000,  0.2243974134
353.0000000,  0.2436675949
355.0000000,  0.2165582742
357.0000000,  0.1838847826
359.0000000,  0.1687186491
