# Dihedral Angle (Degree),  Occurrence1,  Occurrence2
1.000000000,  75.78613678,  75.00791970
3.000000000,  76.69334184,  75.48594580
5.000000000,  76.50150125,  75.69992660
7.000000000,  76.74257368,  75.94491360
9.000000000,  77.01588810,  76.74624785
11.00000000,  77.19440387,  76.70491255
13.00000000,  77.89201278,  77.94613364
15.00000000,  77.44745533,  78.35709098
17.00000000,  78.64140881,  78.60512184
19.00000000,  78.80066723,  80.10833677
21.00000000,  79.87090755,  80.56874097
23.00000000,  81.57126408,  83.24134971
25.00000000,  83.45836066,  84.45178687
27.00000000,  84.88569319,  85.87655222
29.00000000,  86.15807442,  88.32433507
31.00000000,  87.99080246,  90.94828548
33.00000000,  90.99619480,  93.56341358
35.00000000,  93.04751858,  95.99180948
37.00000000,  96.65337484,  98.70239255
39.00000000,  99.39602291,  101.7982182
41.00000000,  102.6360369,  105.8626351
43.00000000,  106.2763405,  108.8885385
45.00000000,  107.9566199,  111.0607791
47.00000000,  111.3792278,  113.6032448
49.00000000,  114.0760574,  117.2099613
51.00000000,  116.4336310,  119.4960563
53.00000000,  119.0882618,  121.3315182
55.00000000,  121.7931787,  123.3086574
57.00000000,  123.7976733,  125.3358262
59.00000000,  124.6451080,  125.8252103
61.00000000,  124.2820817,  125.0591897
63.00000000,  123.9718360,  124.7152732
65.00000000,  123.7697391,  124.7212374
67.00000000,  120.2356636,  123.2442734
69.00000000,  116.9167155,  119.4615972
71.00000000,  113.4334802,  114.2177713
73.00000000,  110.0497576,  110.8912041
75.00000000,  105.0508121,  104.9608407
77.00000000,  100.3325922,  101.4309236
79.00000000,  96.56267471,  97.43116695
81.00000000,  92.32004409,  93.53017082
83.00000000,  86.90478818,  89.71380874
85.00000000,  83.54647924,  86.12066458
87.00000000,  82.88819824,  82.54329759
89.00000000,  79.82563552,  80.79802533
91.00000000,  79.68222117,  80.01893550
93.00000000,  79.26973070,  79.40580247
95.00000000,  80.55815286,  80.38303753
97.00000000,  83.62410388,  82.63177749
99.00000000,  86.34757063,  84.78275216
101.0000000,  89.85484598,  88.38424180
103.0000000,  94.72877455,  92.68381559
105.0000000,  101.5298270,  97.67281665
107.0000000,  107.4709922,  102.9665592
109.0000000,  113.8082179,  107.4511431
111.0000000,  118.6118923,  113.3796475
113.0000000,  123.6345926,  117.4115833
115.0000000,  126.9875504,  120.5301656
117.0000000,  131.6050337,  123.0203521
119.0000000,  134.2178589,  124.2343053
121.0000000,  134.3990576,  125.6741050
123.0000000,  134.4033516,  125.0938831
125.0000000,  132.3653833,  122.1065800
127.0000000,  128.6102929,  119.5189387
129.0000000,  126.3340014,  115.6220407
131.0000000,  121.8781126,  110.4395859
133.0000000,  117.1551629,  106.0366757
135.0000000,  111.7532564,  101.3962232
137.0000000,  108.0352662,  96.14910483
139.0000000,  102.0946470,  93.62381349
141.0000000,  98.59998873,  89.84278308
143.0000000,  96.31971395,  86.15785049
145.0000000,  93.10834662,  83.70368429
147.0000000,  90.41448329,  82.53140256
149.0000000,  88.99378647,  81.34274291
151.0000000,  87.69809453,  80.88323941
153.0000000,  88.93141076,  81.00635238
155.0000000,  89.01828535,  81.65408604
157.0000000,  89.28166918,  83.73588220
159.0000000,  92.06681480,  85.77711317
161.0000000,  94.12522252,  88.60688566
163.0000000,  97.33097293,  92.69911197
165.0000000,  100.4512416,  95.55291898
167.0000000,  103.2945289,  100.0142797
169.0000000,  107.3092621,  103.2687962
171.0000000,  108.5526236,  105.6291366
173.0000000,  112.5761917,  108.6333370
175.0000000,  115.0185992,  110.4425289
177.0000000,  115.7959951,  112.5230741
179.0000000,  115.1620376,  113.2925745
181.0000000,  114.2854922,  114.2085621
183.0000000,  114.4543778,  111.9990699
185.0000000,  114.2713409,  111.0336293
187.0000000,  112.0926050,  109.1864021
189.0000000,  109.1146151,  107.1004550
191.0000000,  105.6779572,  103.2730732
193.0000000,  101.9993622,  100.7483132
195.0000000,  98.70576306,  97.57695210
197.0000000,  95.41360794,  94.71656167
199.0000000,  92.93277498,  91.61391242
201.0000000,  90.44225326,  89.99651810
203.0000000,  89.01927425,  87.39453590
205.0000000,  87.05934722,  85.80664245
207.0000000,  85.86109662,  86.33276432
209.0000000,  86.30256523,  86.55966527
211.0000000,  86.88833866,  87.89836641
213.0000000,  88.43517447,  90.12316992
215.0000000,  90.89658923,  92.45118199
217.0000000,  93.28438064,  96.61686338
219.0000000,  95.56919427,  101.8967784
221.0000000,  99.59994837,  105.6228359
223.0000000,  104.7995903,  109.8653581
225.0000000,  110.4202375,  116.8722831
227.0000000,  114.3683950,  121.9837834
229.0000000,  117.3265303,  128.2015890
231.0000000,  121.2241636,  133.2158312
233.0000000,  125.0765459,  137.8346002
235.0000000,  127.8920551,  140.9139819
