# Distance [pm],  g(r),  g(r)
120.1250000,  0.000000000,  0.000000000
120.3750000,  0.000000000,  0.000000000
120.6250000,  0.000000000,  0.000000000
120.8750000,  0.000000000,  0.000000000
121.1250000,  0.000000000,  0.000000000
121.3750000,  0.000000000,  0.000000000
121.6250000,  0.000000000,  0.000000000
121.8750000,  0.000000000,  0.000000000
122.1250000,  0.000000000,  0.000000000
122.3750000,  0.000000000,  0.000000000
122.6250000,  0.000000000,  0.000000000
122.8750000,  0.000000000,  0.000000000
123.1250000,  0.000000000,  0.000000000
123.3750000,  0.000000000,  0.000000000
123.6250000,  0.000000000,  0.000000000
123.8750000,  0.000000000,  0.000000000
124.1250000,  0.000000000,  0.000000000
124.3750000,  0.000000000,  0.000000000
124.6250000,  0.000000000,  0.000000000
124.8750000,  0.000000000,  0.000000000
125.1250000,  0.000000000,  0.000000000
125.3750000,  0.000000000,  0.000000000
125.6250000,  0.000000000,  0.000000000
125.8750000,  0.000000000,  0.000000000
126.1250000,  0.000000000,  0.000000000
126.3750000,  0.000000000,  0.000000000
126.6250000,  0.000000000,  0.000000000
126.8750000,  0.000000000,  0.000000000
127.1250000,  0.000000000,  0.000000000
127.3750000,  0.000000000,  0.000000000
127.6250000,  0.000000000,  0.000000000
127.8750000,  0.000000000,  0.000000000
128.1250000,  0.000000000,  0.000000000
128.3750000,  0.000000000,  0.000000000
128.6250000,  0.000000000,  0.002373420573
128.8750000,  0.000000000,  0.002978838724
129.1250000,  0.004903378105,  0.002852212550
129.3750000,  0.01210520974,  0.0003744174756
129.6250000,  0.01447185594,  0.01572276974
129.8750000,  0.02221221103,  0.01317951589
130.1250000,  0.02423227907,  0.02988683767
130.3750000,  0.03677039417,  0.03099905761
130.6250000,  0.03505165806,  0.02727085389
130.8750000,  0.04847217232,  0.03301254316
131.1250000,  0.1051969606,  0.05476797130
131.3750000,  0.1049632615,  0.08927052445
131.6250000,  0.1397304473,  0.09286573320
131.8750000,  0.2079684659,  0.1997435871
132.1250000,  0.2306741143,  0.2795612483
132.3750000,  0.2866341187,  0.3242248787
132.6250000,  0.3926460240,  0.3962188434
132.8750000,  0.6050302434,  0.4824970078
133.1250000,  0.8150675466,  0.6779015057
133.3750000,  1.111541614,  1.112017505
133.6250000,  1.281839323,  1.258349625
133.8750000,  1.580157845,  1.560953052
134.1250000,  2.161254435,  2.155178847
