# Distance [pm],  g(r),  g(r)
80.12500000,  0.000000000,  0.000000000
80.37500000,  0.000000000,  0.000000000
80.62500000,  0.000000000,  0.000000000
80.87500000,  0.000000000,  0.000000000
81.12500000,  0.000000000,  0.000000000
81.37500000,  0.000000000,  0.000000000
81.62500000,  0.000000000,  0.000000000
81.87500000,  0.000000000,  0.000000000
82.12500000,  0.000000000,  0.000000000
82.37500000,  0.000000000,  0.000000000
82.62500000,  0.000000000,  0.000000000
82.87500000,  0.000000000,  0.000000000
83.12500000,  0.000000000,  0.000000000
83.37500000,  0.000000000,  0.000000000
83.62500000,  0.0006219653124,  0.000000000
83.87500000,  0.0003379578938,  0.0009572937557
84.12500000,  0.000000000,  0.0009625526566
84.37500000,  0.000000000,  0.000000000
84.62500000,  0.0008485634056,  0.000000000
84.87500000,  0.0004725722731,  0.000000000
85.12500000,  0.001335542971,  0.0002220358628
85.37500000,  0.001420259942,  0.0007378873434
85.62500000,  0.002214835453,  0.001147769283
85.87500000,  0.003695482492,  0.001602542761
86.12500000,  0.002626654137,  0.001771846570
86.37500000,  0.008296193643,  0.004103236868
86.62500000,  0.009487911838,  0.01008912234
86.87500000,  0.01154867692,  0.01712696136
87.12500000,  0.01171331334,  0.01899511508
87.37500000,  0.02445084505,  0.02679647107
87.62500000,  0.03420443692,  0.03382135197
87.87500000,  0.05685288934,  0.05592591438
88.12500000,  0.06939433760,  0.07573920870
88.37500000,  0.09857788254,  0.09407585912
88.62500000,  0.1422911302,  0.1145907397
88.87500000,  0.1792151480,  0.1543747309
89.12500000,  0.2467335478,  0.2420188710
89.37500000,  0.3350010294,  0.3539887680
89.62500000,  0.4586260615,  0.4662011324
89.87500000,  0.5818973976,  0.5909013599
90.12500000,  0.7418374553,  0.8320549382
90.37500000,  1.025076403,  1.037893798
90.62500000,  1.395480765,  1.410191098
90.87500000,  1.759728257,  1.803702155
91.12500000,  2.230143683,  2.393164550
91.37500000,  2.834030775,  2.921269465
91.62500000,  3.694178023,  3.704892400
91.87500000,  4.738541376,  4.611234888
92.12500000,  5.779186359,  5.902544903
92.37500000,  7.244833162,  7.365810789
92.62500000,  8.980422716,  8.940720906
92.87500000,  10.93536513,  10.79179471
93.12500000,  13.07372058,  13.18132572
93.37500000,  15.71470476,  15.92403423
93.62500000,  18.35245623,  19.11258957
93.87500000,  21.86412221,  22.46068157
94.12500000,  25.80852632,  26.49534943
94.37500000,  30.21065168,  30.60052551
94.62500000,  35.12615597,  35.36930595
94.87500000,  40.78870855,  40.78213361
95.12500000,  46.21407973,  46.34320768
95.37500000,  52.34809055,  52.75450008
95.62500000,  58.70661261,  58.70297759
95.87500000,  65.58275499,  65.60695923
96.12500000,  72.44929991,  72.82043080
96.37500000,  80.03944333,  79.85738873
96.62500000,  86.86850696,  87.13455958
96.87500000,  93.90724464,  93.98094616
97.12500000,  101.0276796,  101.0913897
97.37500000,  107.6722447,  107.9173264
97.62500000,  113.6678423,  114.0739877
97.87500000,  119.7582295,  119.9545118
98.12500000,  124.5938883,  125.0515786
98.37500000,  129.0936046,  128.8823664
98.62500000,  133.1574085,  132.0479063
98.87500000,  135.5852235,  135.9152348
99.12500000,  137.0399713,  136.7231888
99.37500000,  137.4414052,  137.3002219
99.62500000,  137.4516452,  137.2255070
99.87500000,  136.0405670,  136.2261757
100.1250000,  133.7389474,  133.1990109
100.3750000,  130.2552699,  130.0897734
100.6250000,  125.6222689,  125.9016747
100.8750000,  120.9726799,  121.0209757
101.1250000,  115.8153158,  115.3764515
101.3750000,  109.4505172,  109.4607230
101.6250000,  102.8220247,  102.9300771
101.8750000,  96.00615932,  95.74268020
102.1250000,  88.86085341,  88.42449428
102.3750000,  81.56978214,  81.01823531
102.6250000,  73.87685404,  74.03131783
102.8750000,  67.39725922,  66.59763330
103.1250000,  60.33006030,  60.25497812
103.3750000,  54.03177062,  53.82174145
103.6250000,  47.80716197,  47.91970430
103.8750000,  41.92630421,  41.89820488
104.1250000,  36.64989011,  36.38801779
104.3750000,  31.66871669,  31.40270851
104.6250000,  27.28741794,  27.23272370
104.8750000,  23.14402903,  23.25650301
105.1250000,  19.67581741,  19.58758595
105.3750000,  16.73740307,  16.52362779
105.6250000,  13.80144290,  13.74847183
105.8750000,  11.37887457,  11.35764724
106.1250000,  9.452353769,  9.211806372
106.3750000,  7.660116831,  7.585460694
106.6250000,  6.251053218,  6.051055986
106.8750000,  5.075326802,  4.903787973
107.1250000,  3.954395346,  3.989101094
107.3750000,  3.128470800,  3.175269608
107.6250000,  2.494572445,  2.466631024
107.8750000,  1.936780544,  1.981136588
108.1250000,  1.513813534,  1.487684874
108.3750000,  1.109657375,  1.168695202
108.6250000,  0.8586478483,  0.8457738230
108.8750000,  0.6739143250,  0.6287839169
109.1250000,  0.5096589407,  0.4908663503
109.3750000,  0.3511262606,  0.3491160749
109.6250000,  0.2902948397,  0.2592996452
109.8750000,  0.1893590790,  0.1878572259
110.1250000,  0.1265053542,  0.1465733998
110.3750000,  0.1026947452,  0.1120350512
110.6250000,  0.08261940572,  0.06765291043
110.8750000,  0.05201757733,  0.04972769474
111.1250000,  0.04277199927,  0.04428338417
111.3750000,  0.03085820389,  0.03550491602
111.6250000,  0.03092195563,  0.02214775105
111.8750000,  0.01046450881,  0.01595616823
112.1250000,  0.006388050158,  0.008921823058
112.3750000,  0.004974139630,  0.003247016455
112.6250000,  0.002928753204,  0.002628953534
112.8750000,  0.002135047120,  0.002648363937
113.1250000,  0.000000000,  0.0007685425754
113.3750000,  0.0003122128433,  0.000000000
113.6250000,  0.0006477103629,  0.0007788153016
113.8750000,  0.000000000,  0.001141031111
114.1250000,  0.0006901212791,  0.000000000
114.3750000,  0.0002698019271,  0.0007731754942
114.6250000,  0.0005879195530,  0.0001867477119
114.8750000,  0.0003720036531,  0.000000000
115.1250000,  0.000000000,  0.000000000
115.3750000,  0.000000000,  0.000000000
115.6250000,  0.000000000,  0.000000000
115.8750000,  0.000000000,  0.000000000
116.1250000,  0.000000000,  0.000000000
116.3750000,  0.000000000,  0.000000000
116.6250000,  0.000000000,  0.000000000
116.8750000,  0.000000000,  0.000000000
117.1250000,  0.000000000,  0.000000000
117.3750000,  0.000000000,  0.000000000
117.6250000,  0.000000000,  0.000000000
117.8750000,  0.000000000,  0.000000000
118.1250000,  0.000000000,  0.000000000
118.3750000,  0.000000000,  0.000000000
118.6250000,  0.000000000,  0.000000000
118.8750000,  0.000000000,  0.000000000
119.1250000,  0.000000000,  0.000000000
119.3750000,  0.000000000,  0.000000000
119.6250000,  0.000000000,  0.000000000
119.8750000,  0.000000000,  0.000000000
