Distance [pm],  g(O-O),  g(O-H),  g(H-H)
2.000000000,  0.000000000,  0.000000000,  0.000000000
6.000000000,  0.000000000,  0.000000000,  0.000000000
10.00000000,  0.000000000,  0.000000000,  0.000000000
14.00000000,  0.000000000,  0.000000000,  0.000000000
18.00000000,  0.000000000,  0.000000000,  0.000000000
22.00000000,  0.000000000,  0.000000000,  0.000000000
26.00000000,  0.000000000,  0.000000000,  0.000000000
30.00000000,  0.000000000,  0.000000000,  0.000000000
34.00000000,  0.000000000,  0.000000000,  0.000000000
38.00000000,  0.000000000,  0.000000000,  0.000000000
42.00000000,  0.000000000,  0.000000000,  0.000000000
46.00000000,  0.000000000,  0.000000000,  0.000000000
50.00000000,  0.000000000,  0.000000000,  0.000000000
54.00000000,  0.000000000,  0.000000000,  0.000000000
58.00000000,  0.000000000,  0.000000000,  0.000000000
62.00000000,  0.000000000,  0.000000000,  0.000000000
66.00000000,  0.000000000,  0.000000000,  0.000000000
70.00000000,  0.000000000,  0.000000000,  0.000000000
74.00000000,  0.000000000,  0.000000000,  0.000000000
78.00000000,  0.000000000,  0.000000000,  0.000000000
82.00000000,  0.000000000,  0.000000000,  0.000000000
86.00000000,  0.000000000,  0.000000000,  0.000000000
90.00000000,  0.000000000,  0.000000000,  0.000000000
94.00000000,  0.000000000,  0.000000000,  0.000000000
98.00000000,  0.000000000,  0.000000000,  0.000000000
102.0000000,  0.000000000,  0.000000000,  0.000000000
106.0000000,  0.000000000,  0.000000000,  0.000000000
110.0000000,  0.000000000,  0.000000000,  0.000000000
114.0000000,  0.000000000,  0.000000000,  0.000000000
118.0000000,  0.000000000,  0.000000000,  0.000000000
122.0000000,  0.000000000,  0.000000000,  0.000000000
126.0000000,  0.000000000,  0.000000000,  0.000000000
130.0000000,  0.000000000,  0.000000000,  0.000000000
134.0000000,  0.000000000,  8.693011179E-06,  2.363532820E-05
138.0000000,  0.000000000,  0.0002418060107,  2.799516408E-05
142.0000000,  0.000000000,  0.002012316482,  0.0001331110106
146.0000000,  0.000000000,  0.01179532025,  0.0004259187408
150.0000000,  0.000000000,  0.04662500772,  0.001068978356
154.0000000,  0.000000000,  0.1410042543,  0.002280426036
158.0000000,  0.000000000,  0.3333019623,  0.004760204116
162.0000000,  0.000000000,  0.6396130492,  0.009199984891
166.0000000,  0.000000000,  1.025268453,  0.01760833622
170.0000000,  0.000000000,  1.421525392,  0.03110184405
174.0000000,  0.000000000,  1.739594976,  0.05039200299
178.0000000,  0.000000000,  1.924401750,  0.07790271165
182.0000000,  0.000000000,  1.980163782,  0.1132365065
186.0000000,  0.000000000,  1.908590137,  0.1597913346
190.0000000,  0.000000000,  1.752229844,  0.2171257788
194.0000000,  0.000000000,  1.562011267,  0.2835827703
198.0000000,  0.000000000,  1.358117658,  0.3650117619
