# Dihedral Angle (Degree),  Occurrence,  Occurrence
0.5000000000,  74.99025947,  76.50272695
1.500000000,  75.74330397,  75.34784031
2.500000000,  75.93444657,  75.95695105
3.500000000,  75.38409090,  75.04449128
4.500000000,  75.05090353,  75.96467513
5.500000000,  76.24600284,  76.58236646
6.500000000,  75.09435771,  75.03655745
7.500000000,  75.80346116,  74.79619086
8.500000000,  75.67815413,  76.22940814
9.500000000,  75.98164187,  76.06469172
10.50000000,  76.43356697,  76.55491816
11.50000000,  77.39939525,  76.54041946
12.50000000,  76.69373841,  77.44935816
13.50000000,  76.14425789,  77.47038847
14.50000000,  77.07100425,  77.06448761
15.50000000,  77.77814945,  78.21311094
16.50000000,  78.21301676,  76.77179956
17.50000000,  78.76861120,  78.30927119
18.50000000,  77.85184285,  79.42282906
19.50000000,  79.27477630,  79.39534655
20.50000000,  78.67009372,  81.14994146
21.50000000,  80.38370642,  82.08765206
22.50000000,  81.05918852,  82.16612542
23.50000000,  82.34427278,  85.13073881
24.50000000,  82.87707283,  83.60340314
25.50000000,  83.99430294,  85.51390107
26.50000000,  84.80228546,  85.68192170
27.50000000,  83.87885345,  87.47808941
28.50000000,  85.79112796,  88.61934699
29.50000000,  86.83887977,  90.05701237
30.50000000,  88.61651116,  90.67082749
31.50000000,  88.82298306,  93.10173416
32.50000000,  88.66940057,  95.38000195
33.50000000,  91.30895998,  97.46229584
34.50000000,  92.70570070,  99.19960701
35.50000000,  94.24845593,  99.64263360
36.50000000,  95.13675400,  100.6336774
37.50000000,  96.88552050,  102.6323216
38.50000000,  97.11827288,  105.6209783
39.50000000,  98.60140227,  107.4148475
40.50000000,  100.4262078,  108.1725443
41.50000000,  102.7367526,  109.9168028
42.50000000,  105.2459655,  111.5218446
43.50000000,  107.2060933,  112.0920846
44.50000000,  108.8610162,  114.9999036
45.50000000,  110.2630946,  116.0077523
46.50000000,  110.6374437,  118.2276514
47.50000000,  113.0458060,  119.8912526
48.50000000,  115.2488978,  121.1307539
49.50000000,  115.2976935,  123.7780687
50.50000000,  116.6308433,  123.2476712
51.50000000,  119.2119562,  124.5078862
52.50000000,  121.4112198,  126.7222477
53.50000000,  121.0110523,  127.7242590
54.50000000,  121.7693460,  128.0238886
55.50000000,  123.7107200,  129.7775863
56.50000000,  122.7393792,  129.8603127
57.50000000,  123.9489627,  130.6953085
58.50000000,  125.0176867,  129.9320239
59.50000000,  127.4807223,  131.3202018
60.50000000,  125.5407308,  132.1594089
61.50000000,  126.1343628,  129.7886527
62.50000000,  125.9551433,  128.2748234
63.50000000,  123.5345759,  129.7932747
64.50000000,  123.6546675,  129.2112506
65.50000000,  123.2578559,  127.9220311
66.50000000,  121.9696122,  126.5410538
67.50000000,  122.2517790,  125.8302547
68.50000000,  120.2903030,  122.8889593
69.50000000,  119.0880820,  120.8173699
70.50000000,  116.3947794,  118.5931100
71.50000000,  116.9570077,  115.5756203
72.50000000,  113.1685522,  114.6786643
73.50000000,  109.8007748,  111.9637633
74.50000000,  109.0767144,  109.3739174
75.50000000,  105.4040036,  107.5059298
76.50000000,  103.2686522,  105.0734718
77.50000000,  102.2687376,  102.6085359
78.50000000,  98.83794420,  99.38568708
79.50000000,  97.16053328,  97.01083087
80.50000000,  94.51320992,  95.35712625
81.50000000,  92.71586172,  92.29739588
82.50000000,  91.40685200,  90.20127174
83.50000000,  89.91674717,  88.13016440
84.50000000,  87.78319048,  84.99349427
85.50000000,  85.64214675,  84.03845176
86.50000000,  85.91750636,  81.70786056
87.50000000,  84.98885475,  81.80240827
88.50000000,  82.72928500,  79.94010401
89.50000000,  81.84506644,  79.86050119
90.50000000,  81.16908874,  79.84033269
91.50000000,  80.98720033,  79.59954790
92.50000000,  80.60334248,  78.56404643
93.50000000,  78.73822217,  78.64851505
94.50000000,  80.42479614,  79.43063937
95.50000000,  81.51671590,  80.07404589
96.50000000,  81.79683976,  80.71956012
97.50000000,  84.40063175,  82.47769185
98.50000000,  84.61329902,  85.28390768
99.50000000,  86.86643930,  85.70070871
100.5000000,  87.79478141,  87.55747116
101.5000000,  90.03892715,  89.20230714
102.5000000,  90.64200910,  91.73921674
103.5000000,  93.83670923,  95.13543488
104.5000000,  96.50445708,  97.39992593
105.5000000,  98.58693044,  99.92466636
106.5000000,  101.5991575,  104.0317756
107.5000000,  104.4440947,  105.8699060
108.5000000,  106.8131592,  108.2983660
109.5000000,  109.4219108,  112.5384570
110.5000000,  110.6968466,  115.4252311
111.5000000,  113.3495426,  120.1472254
112.5000000,  117.1264859,  123.2997279
113.5000000,  118.2905388,  124.2872616
114.5000000,  119.4417359,  124.7327298
115.5000000,  119.6726374,  126.5748577
116.5000000,  120.8892972,  130.6334485
117.5000000,  123.2944010,  130.7371875
118.5000000,  124.2425997,  132.1638101
119.5000000,  126.7912370,  130.7154844
120.5000000,  124.9082354,  131.4693831
121.5000000,  125.5353223,  131.6901271
122.5000000,  125.2413611,  130.9419104
123.5000000,  124.6787585,  129.3565709
124.5000000,  123.0602197,  129.7647766
125.5000000,  122.5093958,  128.4057460
126.5000000,  120.5733534,  127.6844602
127.5000000,  118.9525980,  126.4643667
128.5000000,  117.9018664,  125.3836167
129.5000000,  115.5523198,  121.8313256
130.5000000,  115.5505964,  119.4871449
131.5000000,  111.1679989,  115.8221386
132.5000000,  109.0584861,  113.6485751
133.5000000,  108.0254736,  111.9339502
134.5000000,  104.5125228,  109.2527413
135.5000000,  103.7108332,  107.0125859
136.5000000,  101.5976131,  104.1602435
137.5000000,  98.49205319,  101.9419696
138.5000000,  96.07361154,  99.37713247
139.5000000,  94.83310389,  97.71345726
140.5000000,  92.52013067,  95.36508843
141.5000000,  90.50960454,  93.09504202
142.5000000,  90.43775865,  92.41904770
143.5000000,  89.21674695,  89.87221702
144.5000000,  88.71458981,  88.73255444
145.5000000,  88.49376927,  86.68659102
146.5000000,  86.86827265,  85.48351474
147.5000000,  86.28247028,  83.87649218
148.5000000,  85.36260385,  83.95480959
149.5000000,  84.24062819,  84.11149541
150.5000000,  85.03415605,  83.31741879
151.5000000,  85.04973102,  83.75925426
152.5000000,  86.23083470,  82.69352173
153.5000000,  86.76640332,  82.32360082
154.5000000,  85.65798247,  82.83470707
155.5000000,  87.65790478,  83.77934518
156.5000000,  87.85400492,  85.65350090
157.5000000,  89.82024703,  87.13879148
158.5000000,  90.25711060,  87.00033376
159.5000000,  91.40026727,  86.85243173
160.5000000,  92.99060342,  88.14391541
161.5000000,  94.39160457,  89.88500423
162.5000000,  96.66565018,  92.34364520
163.5000000,  97.42748796,  92.93970610
164.5000000,  99.61476273,  93.40750785
165.5000000,  100.7736480,  94.73369722
166.5000000,  100.5647234,  96.04225652
167.5000000,  103.2726127,  98.22805930
168.5000000,  107.1888036,  100.1358775
