# Distance [pm],  g(r),  g(r)
120.1250000,  0.000000000,  0.000000000
120.3750000,  0.000000000,  0.000000000
120.6250000,  0.000000000,  0.000000000
120.8750000,  0.000000000,  0.000000000
121.1250000,  0.000000000,  0.000000000
121.3750000,  0.000000000,  0.000000000
121.6250000,  0.000000000,  0.000000000
121.8750000,  0.000000000,  0.000000000
122.1250000,  0.000000000,  0.000000000
122.3750000,  0.000000000,  0.000000000
122.6250000,  0.000000000,  0.000000000
122.8750000,  0.000000000,  0.000000000
123.1250000,  0.000000000,  0.000000000
123.3750000,  0.000000000,  0.000000000
123.6250000,  0.000000000,  0.000000000
123.8750000,  0.000000000,  0.000000000
124.1250000,  0.000000000,  0.000000000
124.3750000,  0.000000000,  0.000000000
124.6250000,  0.000000000,  0.000000000
124.8750000,  0.000000000,  0.000000000
125.1250000,  0.000000000,  0.000000000
125.3750000,  0.000000000,  0.000000000
125.6250000,  0.000000000,  0.000000000
125.8750000,  0.000000000,  0.000000000
126.1250000,  0.000000000,  0.000000000
126.3750000,  0.000000000,  0.000000000
126.6250000,  0.000000000,  0.000000000
126.8750000,  0.000000000,  0.000000000
127.1250000,  0.000000000,  0.000000000
127.3750000,  0.000000000,  0.004114416583
127.6250000,  0.000000000,  0.0002488707178
127.8750000,  0.000000000,  0.0003656997712
128.1250000,  0.0007794892308,  0.005137211119
128.3750000,  0.006384849199,  0.003223663711
128.6250000,  0.001562236171,  0.000000000
128.8750000,  0.003962056696,  0.000000000
129.1250000,  0.009456389112,  0.002908264047
129.3750000,  0.01069674869,  0.009249769503
129.6250000,  0.002892623470,  0.005516015422
129.8750000,  0.01866191425,  0.01127741388
130.1250000,  0.02705074466,  0.01609941765
130.3750000,  0.03086271528,  0.02724224139
130.6250000,  0.04100010276,  0.04448020753
130.8750000,  0.04499789146,  0.06213036635
131.1250000,  0.08554859914,  0.08004924842
131.3750000,  0.1229528143,  0.09287591777
131.6250000,  0.1262588892,  0.1406492438
131.8750000,  0.1941683768,  0.2075045518
132.1250000,  0.2625316328,  0.2531266370
132.3750000,  0.3441003679,  0.3322962386
132.6250000,  0.4064041262,  0.4326105874
132.8750000,  0.5894283265,  0.5991433132
133.1250000,  0.7327457890,  0.7697048368
133.3750000,  0.9551359409,  0.9665424120
133.6250000,  1.298654255,  1.259461974
133.8750000,  1.555047656,  1.563855579
