# Dihedral Angle (Degree);  Occurrence
0.5000000000;  0.1917856837
1.500000000;  0.2113186115
2.500000000;  0.2432996238
3.500000000;  0.2587240647
4.500000000;  0.2558247294
5.500000000;  0.2497964836
6.500000000;  0.3060446458
7.500000000;  0.2733603991
8.500000000;  0.3081983641
9.500000000;  0.3596978216
10.50000000;  0.3798341395
11.50000000;  0.3629000330
12.50000000;  0.4171648789
13.50000000;  0.5753212900
14.50000000;  0.5283930334
15.50000000;  0.5514738716
16.50000000;  0.7545411293
17.50000000;  0.8993501770
18.50000000;  0.9021022100
19.50000000;  1.201343461
20.50000000;  1.311028679
21.50000000;  1.468953587
22.50000000;  1.928319116
23.50000000;  2.184256676
24.50000000;  2.654947507
25.50000000;  3.149773872
26.50000000;  3.903742444
27.50000000;  4.706527611
28.50000000;  5.456690598
29.50000000;  7.302645862
30.50000000;  8.056129683
31.50000000;  9.901440310
32.50000000;  11.77048324
33.50000000;  13.96379338
34.50000000;  17.44453827
35.50000000;  20.73662390
36.50000000;  25.25758624
37.50000000;  30.20827280
38.50000000;  35.15949692
39.50000000;  41.89970863
40.50000000;  50.26963479
41.50000000;  59.92853092
42.50000000;  69.67281709
43.50000000;  81.39811712
44.50000000;  94.95900178
45.50000000;  109.0785679
46.50000000;  125.3991313
47.50000000;  144.8032417
48.50000000;  165.9257990
49.50000000;  190.1454871
50.50000000;  213.0988127
51.50000000;  238.6365695
52.50000000;  267.2128411
53.50000000;  298.0877896
54.50000000;  326.8900683
55.50000000;  356.2293849
56.50000000;  385.4418339
57.50000000;  415.4761938
58.50000000;  447.9983916
59.50000000;  477.8318931
60.50000000;  505.5002785
61.50000000;  526.5902975
62.50000000;  550.1383934
63.50000000;  564.0768108
64.50000000;  575.2654219
65.50000000;  589.6213858
66.50000000;  590.4901715
67.50000000;  595.3916171
68.50000000;  592.5078345
69.50000000;  580.4845392
70.50000000;  569.8659657
71.50000000;  554.6919301
72.50000000;  535.1806728
73.50000000;  509.3145675
74.50000000;  485.8468642
75.50000000;  460.2569909
76.50000000;  431.2988883
77.50000000;  397.3819834
78.50000000;  365.9952003
79.50000000;  339.9181932
80.50000000;  307.5186119
81.50000000;  280.7263312
82.50000000;  251.8557399
83.50000000;  225.2286933
84.50000000;  199.6578543
85.50000000;  178.1872719
86.50000000;  156.9151572
87.50000000;  135.5921556
88.50000000;  118.7235775
89.50000000;  104.4007077
90.50000000;  89.37290292
91.50000000;  78.62923390
92.50000000;  67.46878414
93.50000000;  57.29112395
94.50000000;  49.95672836
95.50000000;  41.58964447
96.50000000;  35.93952693
97.50000000;  31.05289320
98.50000000;  25.26479558
99.50000000;  21.72221307
100.5000000;  19.22821271
101.5000000;  16.16465296
102.5000000;  13.94928537
103.5000000;  11.36756719
104.5000000;  9.724962110
105.5000000;  8.116106899
106.5000000;  7.460160030
107.5000000;  6.429144893
108.5000000;  5.441751449
109.5000000;  4.802029107
110.5000000;  4.306306553
111.5000000;  3.696545454
112.5000000;  3.268022692
113.5000000;  2.807160778
114.5000000;  2.453325461
115.5000000;  2.320658166
116.5000000;  2.118764328
117.5000000;  2.015240028
118.5000000;  1.729567877
119.5000000;  1.671707440
120.5000000;  1.464401181
121.5000000;  1.530573816
122.5000000;  1.278463782
123.5000000;  1.433773196
124.5000000;  1.195018278
125.5000000;  1.094317052
126.5000000;  1.073346603
127.5000000;  1.192249219
128.5000000;  1.185635207
129.5000000;  1.206040976
130.5000000;  1.259308192
131.5000000;  1.108288869
132.5000000;  1.086378705
133.5000000;  1.063167918
134.5000000;  1.194082428
135.5000000;  1.148135458
136.5000000;  1.172215206
137.5000000;  1.319962689
138.5000000;  1.376124168
139.5000000;  1.322803501
140.5000000;  1.432420604
141.5000000;  1.612377761
142.5000000;  1.722780155
143.5000000;  1.757903968
144.5000000;  2.028960404
145.5000000;  2.031959247
146.5000000;  2.019074781
147.5000000;  2.273044978
148.5000000;  2.472698868
