# Distance [pm],  g(r),  g(r)
80.12500000,  0.000000000,  0.000000000
80.37500000,  0.000000000,  0.000000000
80.62500000,  0.000000000,  0.000000000
80.87500000,  0.000000000,  0.000000000
81.12500000,  0.000000000,  0.000000000
81.37500000,  0.000000000,  0.000000000
81.62500000,  0.000000000,  0.000000000
81.87500000,  0.000000000,  0.000000000
82.12500000,  0.000000000,  0.000000000
82.37500000,  0.000000000,  0.000000000
82.62500000,  0.000000000,  0.000000000
82.87500000,  0.000000000,  0.000000000
83.12500000,  0.0008498884933,  0.000000000
83.37500000,  0.0001100347128,  0.000000000
83.62500000,  0.000000000,  0.000000000
83.87500000,  0.000000000,  0.000000000
84.12500000,  0.0008139936417,  0.000000000
84.37500000,  0.0001459295644,  0.000000000
84.62500000,  0.000000000,  0.0006371030117
84.87500000,  0.000000000,  0.0004594814988
85.12500000,  0.000000000,  0.0008232619017
85.37500000,  0.0008690079230,  0.0003552514092
85.62500000,  0.002679872943,  0.0006046717969
85.87500000,  0.003178061624,  0.001811428210
86.12500000,  0.003249403283,  0.004530091091
86.37500000,  0.004509908222,  0.006913602802
86.62500000,  0.007218576294,  0.006708607585
86.87500000,  0.01134799564,  0.01177696539
87.12500000,  0.01089284370,  0.01703377168
87.37500000,  0.02220075874,  0.02012192342
87.62500000,  0.03889703555,  0.03733618846
87.87500000,  0.04596234230,  0.04543325558
88.12500000,  0.07394618735,  0.08144670158
88.37500000,  0.1110043654,  0.1269608526
88.62500000,  0.1495694103,  0.1478316087
88.87500000,  0.1990364642,  0.2055807477
89.12500000,  0.2621012233,  0.2837376551
89.37500000,  0.3641853631,  0.3538217854
89.62500000,  0.4851702034,  0.4452594187
89.87500000,  0.6543285407,  0.6520338971
90.12500000,  0.8487748097,  0.8863201510
90.37500000,  1.105110229,  1.123724457
90.62500000,  1.384679169,  1.459057858
90.87500000,  1.846552984,  1.859936508
91.12500000,  2.308713391,  2.437175353
91.37500000,  3.057612677,  3.065966246
91.62500000,  3.833921622,  3.841164141
91.87500000,  4.761878730,  4.794746714
92.12500000,  5.908410208,  6.034938944
92.37500000,  7.383525177,  7.616615688
92.62500000,  9.009119424,  9.194555263
92.87500000,  11.12936642,  11.25984413
93.12500000,  13.33160827,  13.46360775
93.37500000,  16.06404703,  16.11078428
93.62500000,  19.09551981,  19.29985644
93.87500000,  22.64541944,  22.89840532
94.12500000,  26.25322700,  26.71628922
94.37500000,  30.61682348,  31.17748338
94.62500000,  35.51538829,  35.79015777
94.87500000,  40.59892916,  40.95901100
95.12500000,  46.22740803,  46.53678174
95.37500000,  52.32101166,  52.62925242
95.62500000,  59.14378738,  59.23582427
95.87500000,  65.70784078,  65.90830978
96.12500000,  72.76995387,  72.88272672
96.37500000,  79.84532209,  80.06836683
96.62500000,  86.48009224,  87.28466138
96.87500000,  93.71729265,  94.20458401
97.12500000,  100.7241282,  100.6124171
97.37500000,  107.9607478,  107.2309988
97.62500000,  113.5642784,  113.9629899
97.87500000,  119.1405129,  119.2334281
98.12500000,  124.1819710,  124.4181328
98.37500000,  128.8321999,  128.8993421
98.62500000,  131.7499603,  132.1449240
98.87500000,  133.9192745,  134.7213265
99.12500000,  135.7178736,  136.3587630
99.37500000,  137.0092066,  137.0605950
99.62500000,  136.8383693,  136.8435728
99.87500000,  135.4163634,  134.7887767
100.1250000,  133.1051265,  132.7058586
100.3750000,  129.4123442,  129.3105829
100.6250000,  124.7813631,  125.0388612
100.8750000,  120.1873231,  120.7329600
101.1250000,  114.9086202,  114.7514549
101.3750000,  109.4977200,  108.3079891
101.6250000,  102.9461866,  101.8431372
101.8750000,  95.80178756,  95.17021127
102.1250000,  88.20164474,  88.22180893
102.3750000,  81.49185646,  81.54728455
102.6250000,  74.31892717,  74.45247862
102.8750000,  67.30582700,  67.08009473
103.1250000,  60.54175622,  60.38235199
103.3750000,  54.30236925,  53.91050885
103.6250000,  48.26742810,  47.78933241
103.8750000,  42.49579802,  41.80569533
104.1250000,  36.95004880,  36.84685718
104.3750000,  32.13086644,  32.06785125
104.6250000,  27.69036018,  27.35409884
104.8750000,  23.66449471,  23.28482355
105.1250000,  20.11909057,  20.01425537
105.3750000,  17.00085750,  16.90589019
105.6250000,  14.21103029,  14.04429064
105.8750000,  11.90726247,  11.57865802
106.1250000,  9.854806290,  9.566805314
106.3750000,  8.090606094,  7.877189068
106.6250000,  6.455084445,  6.327682871
106.8750000,  5.183973734,  5.093454561
107.1250000,  4.122289277,  4.203305775
107.3750000,  3.331284621,  3.252619334
107.6250000,  2.648683733,  2.570552004
107.8750000,  2.024053892,  2.030496218
108.1250000,  1.618082057,  1.609250363
108.3750000,  1.274867657,  1.244867092
108.6250000,  0.9570015963,  0.9278077928
108.8750000,  0.6951090909,  0.6812913713
109.1250000,  0.5326402052,  0.5099519921
109.3750000,  0.4238394334,  0.3993176423
109.6250000,  0.3147230819,  0.3112946778
109.8750000,  0.2286578742,  0.2303824936
110.1250000,  0.1708785651,  0.1586571002
110.3750000,  0.1292463506,  0.1220147640
110.6250000,  0.09549660620,  0.07771826734
110.8750000,  0.06044114258,  0.05551301912
111.1250000,  0.03943502114,  0.04308840409
111.3750000,  0.02559494069,  0.01900792875
111.6250000,  0.02121389080,  0.01761316927
111.8750000,  0.01533352188,  0.01348158438
112.1250000,  0.01272847022,  0.009948929916
112.3750000,  0.006221741696,  0.009937754767
112.6250000,  0.003702334791,  0.01121207230
112.8750000,  0.001873205021,  0.005003828682
113.1250000,  0.001043314828,  0.002591329652
113.3750000,  0.001022161504,  0.001095078298
113.6250000,  0.0005271263788,  0.0006645083803
113.8750000,  9.284755281E-05,  0.0002954148259
114.1250000,  0.0008670756533,  0.000000000
114.3750000,  0.000000000,  0.000000000
114.6250000,  0.000000000,  3.839734609E-05
114.8750000,  0.000000000,  0.001156517905
115.1250000,  0.000000000,  0.0007249311615
115.3750000,  0.000000000,  0.000000000
115.6250000,  0.000000000,  0.000000000
115.8750000,  0.000000000,  0.000000000
116.1250000,  0.000000000,  0.000000000
116.3750000,  0.000000000,  0.000000000
116.6250000,  0.000000000,  0.000000000
116.8750000,  0.000000000,  0.000000000
117.1250000,  0.000000000,  0.000000000
117.3750000,  0.000000000,  0.000000000
117.6250000,  0.000000000,  0.000000000
117.8750000,  0.000000000,  0.000000000
118.1250000,  0.000000000,  0.000000000
118.3750000,  0.000000000,  0.000000000
118.6250000,  0.000000000,  0.000000000
118.8750000,  0.000000000,  0.000000000
119.1250000,  0.000000000,  0.000000000
119.3750000,  0.000000000,  0.000000000
119.6250000,  0.000000000,  0.000000000
119.8750000,  0.000000000,  0.000000000
