# Distance [pm],  g(r)
130.1250000,  0.000000000
130.3750000,  0.000000000
130.6250000,  0.000000000
130.8750000,  0.000000000
131.1250000,  0.000000000
131.3750000,  0.000000000
131.6250000,  0.000000000
131.8750000,  0.000000000
132.1250000,  0.000000000
132.3750000,  0.000000000
132.6250000,  0.000000000
132.8750000,  0.000000000
133.1250000,  0.000000000
133.3750000,  0.000000000
133.6250000,  0.000000000
133.8750000,  0.000000000
134.1250000,  0.000000000
134.3750000,  0.000000000
134.6250000,  0.000000000
134.8750000,  0.000000000
135.1250000,  0.000000000
135.3750000,  0.000000000
135.6250000,  0.000000000
135.8750000,  0.000000000
136.1250000,  0.000000000
136.3750000,  0.000000000
136.6250000,  0.000000000
136.8750000,  0.000000000
137.1250000,  0.000000000
137.3750000,  0.000000000
137.6250000,  0.000000000
137.8750000,  0.0006400133208
138.1250000,  0.0003199098853
138.3750000,  0.000000000
138.6250000,  0.000000000
138.8750000,  0.0007982622817
139.1250000,  0.001121584131
139.3750000,  0.0007065858271
139.6250000,  0.001317421332
139.8750000,  0.001141940238
140.1250000,  0.003596161846
140.3750000,  0.006878778519
140.6250000,  0.009232435419
140.8750000,  0.008377000975
141.1250000,  0.01383007704
141.3750000,  0.01963038794
141.6250000,  0.02497645371
141.8750000,  0.03724250827
142.1250000,  0.04916051506
142.3750000,  0.06877056536
142.6250000,  0.1030627944
142.8750000,  0.1358233718
143.1250000,  0.1661882333
143.3750000,  0.2082476047
143.6250000,  0.2770197083
143.8750000,  0.3896999123
144.1250000,  0.5157593890
144.3750000,  0.6733790008
144.6250000,  0.9043536741
144.8750000,  1.179973775
145.1250000,  1.501438901
145.3750000,  1.874899820
145.6250000,  2.285747014
145.8750000,  2.925567827
146.1250000,  3.699895155
146.3750000,  4.498783572
146.6250000,  5.501267407
146.8750000,  6.709672623
147.1250000,  8.140083166
147.3750000,  9.771794219
147.6250000,  11.58451293
147.8750000,  14.03705990
148.1250000,  16.66916415
148.3750000,  19.38840409
148.6250000,  22.53442113
148.8750000,  26.33144935
149.1250000,  30.29474273
149.3750000,  34.65306526
149.6250000,  39.12912562
149.8750000,  44.15255137
150.1250000,  49.49002216
150.3750000,  54.81703892
150.6250000,  61.21494692
150.8750000,  67.11707443
151.1250000,  73.43291611
151.3750000,  79.49874533
151.6250000,  85.41708484
151.8750000,  91.97748016
152.1250000,  98.13932147
152.3750000,  103.4278575
152.6250000,  108.9252873
152.8750000,  113.8751025
153.1250000,  117.7023735
153.3750000,  121.7308770
153.6250000,  124.2059384
153.8750000,  127.0090132
154.1250000,  127.8793471
154.3750000,  128.5610283
154.6250000,  128.4537296
154.8750000,  127.1638686
155.1250000,  125.5893557
155.3750000,  122.5490213
155.6250000,  118.7549618
155.8750000,  114.8462007
156.1250000,  110.5141357
156.3750000,  104.7851289
156.6250000,  99.49648902
156.8750000,  94.10855214
157.1250000,  88.02296805
157.3750000,  81.01578190
157.6250000,  75.12439714
157.8750000,  69.04678620
158.1250000,  62.91597694
158.3750000,  56.81019889
158.6250000,  51.21282211
158.8750000,  45.56148845
159.1250000,  40.63606558
159.3750000,  35.92440471
159.6250000,  31.33009982
159.8750000,  27.27443828
160.1250000,  23.71056016
160.3750000,  20.39354747
160.6250000,  17.24268672
160.8750000,  14.70094944
161.1250000,  12.38432664
161.3750000,  10.41501193
161.6250000,  8.666697454
161.8750000,  7.158063047
162.1250000,  5.882243005
162.3750000,  4.825400693
162.6250000,  3.953279268
162.8750000,  3.169836035
163.1250000,  2.511563916
163.3750000,  2.036217526
163.6250000,  1.631692282
163.8750000,  1.213702244
164.1250000,  0.9494232207
164.3750000,  0.7405732586
164.6250000,  0.5932024751
164.8750000,  0.4601635162
165.1250000,  0.3436275950
165.3750000,  0.2591052459
165.6250000,  0.1891627581
165.8750000,  0.1396478526
166.1250000,  0.1065730370
166.3750000,  0.07328975426
166.6250000,  0.06075673150
166.8750000,  0.03640638625
167.1250000,  0.02140694492
167.3750000,  0.02286272847
167.6250000,  0.02468686203
167.8750000,  0.01388237095
168.1250000,  0.01072930743
168.3750000,  0.005624349603
168.6250000,  0.005393921471
168.8750000,  0.002501924986
169.1250000,  6.103744312E-05
169.3750000,  0.0003029905490
169.6250000,  0.0006569326571
169.8750000,  0.0003990947761
170.1250000,  0.0005608284300
170.3750000,  0.000000000
170.6250000,  0.000000000
170.8750000,  0.000000000
171.1250000,  0.000000000
171.3750000,  0.000000000
171.6250000,  0.000000000
171.8750000,  0.000000000
172.1250000,  0.000000000
172.3750000,  0.000000000
172.6250000,  0.000000000
172.8750000,  0.000000000
173.1250000,  0.000000000
173.3750000,  0.000000000
173.6250000,  0.000000000
173.8750000,  0.000000000
174.1250000,  0.000000000
174.3750000,  0.000000000
174.6250000,  0.000000000
174.8750000,  0.000000000
175.1250000,  0.000000000
175.3750000,  0.000000000
175.6250000,  0.000000000
175.8750000,  0.000000000
176.1250000,  0.000000000
176.3750000,  0.000000000
176.6250000,  0.000000000
176.8750000,  0.000000000
177.1250000,  0.000000000
177.3750000,  0.000000000
177.6250000,  0.000000000
177.8750000,  0.000000000
178.1250000,  0.000000000
178.3750000,  0.000000000
178.6250000,  0.000000000
178.8750000,  0.000000000
179.1250000,  0.000000000
179.3750000,  0.000000000
179.6250000,  0.000000000
179.8750000,  0.000000000
