# Dihedral Angle (Degree),  Occurrence
1.000000000,  0.2011029782
3.000000000,  0.1787326930
5.000000000,  0.2317231681
7.000000000,  0.2997169348
9.000000000,  0.2724519295
11.00000000,  0.3420712745
13.00000000,  0.4065633391
15.00000000,  0.5335295751
17.00000000,  0.7079531489
19.00000000,  1.008146733
21.00000000,  1.326165967
23.00000000,  2.042414117
25.00000000,  2.838044033
27.00000000,  3.950552988
29.00000000,  5.879472644
31.00000000,  8.751199983
33.00000000,  12.95216822
35.00000000,  18.85346057
37.00000000,  26.67300269
39.00000000,  38.27090135
41.00000000,  53.49639038
43.00000000,  73.97277889
45.00000000,  100.5406829
47.00000000,  132.7097553
49.00000000,  173.9450591
51.00000000,  222.0179040
53.00000000,  277.4566308
55.00000000,  337.0126655
57.00000000,  395.3861020
59.00000000,  452.0410879
61.00000000,  503.7789254
63.00000000,  546.2583223
65.00000000,  572.4485182
67.00000000,  581.6665356
69.00000000,  576.2458928
71.00000000,  551.6045821
73.00000000,  514.2228927
75.00000000,  465.7178026
77.00000000,  409.3048982
79.00000000,  348.2538443
81.00000000,  290.4419944
83.00000000,  236.5350800
85.00000000,  189.7230704
87.00000000,  147.9798276
89.00000000,  112.5952079
91.00000000,  85.29637110
93.00000000,  63.34551355
95.00000000,  46.75891563
97.00000000,  34.09916801
99.00000000,  25.11593554
101.0000000,  17.90187277
103.0000000,  13.69116636
105.0000000,  10.15568623
107.0000000,  7.491036197
109.0000000,  5.525139681
111.0000000,  4.503405718
113.0000000,  3.515422452
115.0000000,  2.722342108
117.0000000,  2.260749323
119.0000000,  1.898658796
121.0000000,  1.635451596
123.0000000,  1.507615915
125.0000000,  1.315775094
127.0000000,  1.288140119
129.0000000,  1.356516942
131.0000000,  1.239678766
133.0000000,  1.248442428
135.0000000,  1.381837363
137.0000000,  1.462160819
139.0000000,  1.635149011
141.0000000,  1.738762440
143.0000000,  1.938197325
145.0000000,  2.291570319
147.0000000,  2.515048956
149.0000000,  2.800049381
151.0000000,  3.310625034
153.0000000,  3.856625602
155.0000000,  4.501248620
157.0000000,  5.050070973
159.0000000,  5.710684656
161.0000000,  6.912341883
163.0000000,  7.694210439
165.0000000,  8.533136109
167.0000000,  9.611371141
169.0000000,  10.60420533
171.0000000,  11.51083734
173.0000000,  12.64748185
175.0000000,  13.20556246
177.0000000,  13.60691768
179.0000000,  14.31750373
181.0000000,  14.00455041
183.0000000,  14.16657276
185.0000000,  13.83025418
187.0000000,  13.51919842
189.0000000,  12.38686325
191.0000000,  11.60330116
193.0000000,  10.75534088
195.0000000,  10.00242812
197.0000000,  8.928849017
199.0000000,  8.024712403
201.0000000,  6.921101880
203.0000000,  6.140513958
205.0000000,  5.121840999
207.0000000,  4.504647870
209.0000000,  4.065536657
211.0000000,  3.410204402
213.0000000,  2.915702589
215.0000000,  2.431533050
217.0000000,  2.197483398
219.0000000,  2.031017186
221.0000000,  1.756547251
223.0000000,  1.497670018
225.0000000,  1.589981534
227.0000000,  1.488083087
229.0000000,  1.405396196
231.0000000,  1.349803106
233.0000000,  1.320013824
235.0000000,  1.408836837
237.0000000,  1.441689205
239.0000000,  1.607404289
241.0000000,  1.995109591
243.0000000,  2.397275346
245.0000000,  2.723685520
247.0000000,  3.350660737
249.0000000,  4.244661047
251.0000000,  5.702555577
253.0000000,  7.682083557
255.0000000,  10.18384004
257.0000000,  13.92741989
259.0000000,  18.70500126
261.0000000,  25.58535632
263.0000000,  35.39382826
265.0000000,  48.20787032
267.0000000,  65.29605893
269.0000000,  87.89302951
271.0000000,  118.3458373
273.0000000,  152.4416283
275.0000000,  195.0589483
277.0000000,  244.7096850
279.0000000,  302.1454019
281.0000000,  361.2672226
283.0000000,  421.8332147
285.0000000,  478.9102698
287.0000000,  527.7736906
289.0000000,  567.8971482
291.0000000,  591.6293493
293.0000000,  596.3118732
295.0000000,  586.0556533
297.0000000,  559.1064581
299.0000000,  515.7583474
301.0000000,  463.9631011
303.0000000,  405.8687206
305.0000000,  345.3061482
307.0000000,  284.5663095
309.0000000,  227.3308835
311.0000000,  178.7176803
313.0000000,  136.3872670
315.0000000,  102.5597427
317.0000000,  75.51017611
319.0000000,  55.01307731
321.0000000,  38.54740088
323.0000000,  27.28649621
325.0000000,  19.20010313
327.0000000,  13.10600824
329.0000000,  9.081765663
331.0000000,  6.242873868
333.0000000,  4.123165301
335.0000000,  2.933100992
337.0000000,  2.164114574
339.0000000,  1.553384066
341.0000000,  1.141367855
343.0000000,  0.7866756694
345.0000000,  0.5673093800
347.0000000,  0.3946158852
349.0000000,  0.3467840373
351.0000000,  0.3174800977
353.0000000,  0.2632971885
355.0000000,  0.2037592166
357.0000000,  0.2056051669
359.0000000,  0.1669164697
