# Distance [pm],  g1(r),  g2(r)
80.12500000,  0.000000000,  0.000000000
80.37500000,  0.000000000,  0.000000000
80.62500000,  0.000000000,  0.000000000
80.87500000,  0.000000000,  0.000000000
81.12500000,  0.000000000,  0.000000000
81.37500000,  0.000000000,  0.000000000
81.62500000,  0.000000000,  0.000000000
81.87500000,  0.000000000,  0.000000000
82.12500000,  0.000000000,  0.000000000
82.37500000,  0.000000000,  0.000000000
82.62500000,  0.000000000,  0.000000000
82.87500000,  0.000000000,  0.000000000
83.12500000,  0.000000000,  0.000000000
83.37500000,  0.000000000,  0.000000000
83.62500000,  0.000000000,  0.000000000
83.87500000,  0.000000000,  0.0003785913582
84.12500000,  0.000000000,  0.0008021917431
84.37500000,  0.0008855958481,  0.0007390633110
84.62500000,  7.432735801E-05,  0.000000000
84.87500000,  0.000000000,  0.000000000
85.12500000,  0.002133651698,  8.182152870E-05
85.37500000,  0.0008541469285,  0.001397976992
85.62500000,  0.002934863259,  0.002596798971
85.87500000,  0.002583922591,  0.002503638956
86.12500000,  0.002849079526,  0.001478843790
86.37500000,  0.005532910081,  0.005580359980
86.62500000,  0.008144895356,  0.008008386955
86.87500000,  0.01266963934,  0.008711813841
87.12500000,  0.01621904077,  0.01047855164
87.37500000,  0.01958349084,  0.02400360129
87.62500000,  0.03247435068,  0.02973850867
87.87500000,  0.04987152960,  0.05658472607
88.12500000,  0.05954948162,  0.07064879588
88.37500000,  0.09788439207,  0.09481882185
88.62500000,  0.1341978887,  0.1315708464
88.87500000,  0.1910188603,  0.1980048494
89.12500000,  0.2722736312,  0.2332131888
89.37500000,  0.3295030773,  0.3322285853
89.62500000,  0.4389581380,  0.4760734603
89.87500000,  0.5880247446,  0.6382115009
90.12500000,  0.8096321772,  0.8240020602
90.37500000,  1.095777730,  1.071727704
90.62500000,  1.422269874,  1.444899731
90.87500000,  1.754844486,  1.781496178
91.12500000,  2.337224491,  2.296198796
91.37500000,  2.927092123,  3.003936303
91.62500000,  3.735076488,  3.662466876
91.87500000,  4.705140065,  4.679745342
92.12500000,  5.841751694,  5.784491373
92.37500000,  7.264561733,  7.266257913
92.62500000,  8.897323487,  8.840472702
92.87500000,  10.89419133,  10.80858919
93.12500000,  13.11135448,  13.20316933
93.37500000,  15.98138988,  15.59910392
93.62500000,  18.95903556,  18.56905542
93.87500000,  22.29907395,  22.26625648
94.12500000,  26.10787434,  25.84850567
94.37500000,  30.48607342,  30.08473179
94.62500000,  35.02560039,  35.01690809
94.87500000,  40.74556460,  40.25095302
95.12500000,  46.49413143,  46.09267920
95.37500000,  52.58784817,  52.32302435
95.62500000,  58.72454309,  58.61700741
95.87500000,  65.46002010,  65.34283309
96.12500000,  72.80404182,  72.37566526
96.37500000,  79.78607072,  79.75045461
96.62500000,  86.98709517,  86.80031015
96.87500000,  94.14047702,  93.67142125
97.12500000,  101.1500277,  100.9861857
97.37500000,  108.0254795,  107.6076447
97.62500000,  114.2017349,  114.1773821
97.87500000,  119.5061558,  119.5450328
98.12500000,  124.6031560,  124.6126218
98.37500000,  128.9836445,  128.7589260
98.62500000,  132.5630372,  132.9228551
98.87500000,  135.3645906,  135.7080945
99.12500000,  136.6974632,  137.0425717
99.37500000,  137.1695366,  137.7397380
99.62500000,  137.0234143,  137.6726028
99.87500000,  135.9802426,  135.9702642
100.1250000,  134.0419545,  133.8030173
100.3750000,  130.1819040,  130.2351488
100.6250000,  126.3742369,  125.7886534
100.8750000,  121.1761139,  121.1275310
101.1250000,  115.3181151,  115.8885088
101.3750000,  109.1452341,  109.5322842
101.6250000,  102.9477110,  102.6636611
101.8750000,  95.41784915,  96.11259814
102.1250000,  88.23538429,  89.10120805
102.3750000,  81.25524871,  81.78131825
102.6250000,  74.13978439,  74.30136760
102.8750000,  67.09883197,  67.26678111
103.1250000,  60.21523229,  60.37036260
103.3750000,  53.65280000,  54.11678427
103.6250000,  47.87040398,  47.73518352
103.8750000,  42.08827649,  42.20174893
104.1250000,  36.67413358,  36.45100518
104.3750000,  31.55111248,  31.26266597
104.6250000,  27.20220461,  27.27463491
104.8750000,  23.08698448,  23.29743236
105.1250000,  19.69790844,  19.65366937
105.3750000,  16.63516919,  16.62656223
105.6250000,  13.81735872,  13.83873581
105.8750000,  11.37931496,  11.34920912
106.1250000,  9.391535017,  9.431593787
106.3750000,  7.694004996,  7.704421953
106.6250000,  6.296697971,  6.199993126
106.8750000,  4.954732420,  5.062484516
107.1250000,  3.927387142,  3.990905346
107.3750000,  3.178103264,  3.191603757
107.6250000,  2.490578948,  2.435131572
107.8750000,  1.886790516,  1.912956141
108.1250000,  1.491736551,  1.473151688
108.3750000,  1.177460137,  1.136750581
108.6250000,  0.8905302330,  0.8475296083
108.8750000,  0.6697587070,  0.6742383065
109.1250000,  0.4936427612,  0.5134706079
109.3750000,  0.3869968658,  0.3329757340
109.6250000,  0.2807999645,  0.2701848003
109.8750000,  0.1927707514,  0.1960686192
110.1250000,  0.1446959508,  0.1494203440
110.3750000,  0.09944695320,  0.08933634434
110.6250000,  0.06583246075,  0.06983470986
110.8750000,  0.05416129532,  0.05710697409
111.1250000,  0.02866425880,  0.04654216307
111.3750000,  0.02376099474,  0.02818819293
111.6250000,  0.01587581452,  0.01618789371
111.8750000,  0.01349282032,  0.01014869281
112.1250000,  0.006616969484,  0.01027270132
112.3750000,  0.003754163227,  0.006717903625
112.6250000,  0.001681473547,  0.006155157251
112.8750000,  0.001526706491,  0.003830587304
113.1250000,  0.006595621811,  0.002750158159
113.3750000,  0.002120287214,  0.001611017757
113.6250000,  0.001323891005,  0.0002276901205
113.8750000,  0.0009124951590,  0.000000000
114.1250000,  0.000000000,  0.000000000
114.3750000,  0.000000000,  0.000000000
114.6250000,  0.0007893654428,  0.000000000
114.8750000,  0.0001705577634,  0.000000000
115.1250000,  0.000000000,  0.000000000
115.3750000,  0.000000000,  0.000000000
115.6250000,  0.000000000,  0.000000000
115.8750000,  0.000000000,  0.000000000
116.1250000,  0.000000000,  0.000000000
116.3750000,  0.000000000,  0.000000000
116.6250000,  0.000000000,  0.000000000
116.8750000,  0.000000000,  0.000000000
117.1250000,  0.000000000,  0.000000000
117.3750000,  0.000000000,  0.000000000
117.6250000,  0.000000000,  0.000000000
117.8750000,  0.000000000,  0.000000000
118.1250000,  0.000000000,  0.000000000
118.3750000,  0.000000000,  0.000000000
118.6250000,  0.000000000,  0.000000000
118.8750000,  0.000000000,  0.000000000
119.1250000,  0.000000000,  0.000000000
119.3750000,  0.000000000,  0.000000000
119.6250000,  0.000000000,  0.000000000
119.8750000,  0.000000000,  0.000000000
