# Dihedral Angle (Degree),  Occurrence,  Occurrence
0.5000000000,  77.67647286,  71.76632242
1.500000000,  77.59460819,  70.87526292
2.500000000,  78.05805069,  70.72811371
3.500000000,  76.83194466,  70.77801676
4.500000000,  76.96794861,  70.93243163
5.500000000,  77.56527557,  71.14119369
6.500000000,  79.53503457,  71.98592464
7.500000000,  78.25704204,  71.90631749
8.500000000,  78.55731678,  71.20875082
9.500000000,  77.79407533,  73.75802351
10.50000000,  79.18604662,  73.82016034
11.50000000,  79.70233599,  72.71119061
12.50000000,  79.40979560,  73.33407413
13.50000000,  77.85673300,  74.83088822
14.50000000,  77.78668052,  74.68428393
15.50000000,  77.46946913,  75.16914138
16.50000000,  78.82734598,  74.61457504
17.50000000,  79.99645424,  75.17525234
18.50000000,  79.75620977,  76.39828390
19.50000000,  80.54498611,  77.57259633
20.50000000,  80.93900774,  77.05146573
21.50000000,  81.90918164,  79.12374783
22.50000000,  83.43949199,  80.14532408
23.50000000,  83.41684387,  80.94845949
24.50000000,  83.28711750,  81.30174965
25.50000000,  84.48639264,  82.72149249
26.50000000,  86.69095314,  84.01702515
27.50000000,  87.02325634,  84.82028117
28.50000000,  87.92526081,  85.75004880
29.50000000,  87.47058303,  87.47730015
30.50000000,  89.65484559,  89.20854509
31.50000000,  89.05160985,  90.03147650
32.50000000,  90.24294285,  90.88975461
33.50000000,  91.96607564,  93.39818971
34.50000000,  93.94620948,  95.82222822
35.50000000,  96.61031326,  96.25948880
36.50000000,  97.67098565,  98.65492908
37.50000000,  98.85292760,  101.5192954
38.50000000,  99.88330047,  102.5552096
39.50000000,  100.4010041,  103.5993871
40.50000000,  102.8207126,  105.2668612
41.50000000,  105.6602153,  105.9927632
42.50000000,  106.3343988,  108.2132844
43.50000000,  107.2686352,  109.4795071
44.50000000,  111.1185679,  112.1459598
45.50000000,  110.0608711,  115.0536370
46.50000000,  112.2594773,  115.7469656
47.50000000,  114.4831625,  118.2276132
48.50000000,  116.2874741,  119.7849139
49.50000000,  118.2264772,  120.4809877
50.50000000,  118.7143089,  122.1081689
51.50000000,  119.0323036,  123.7512349
52.50000000,  119.7385613,  124.4742131
53.50000000,  121.5302869,  125.6438868
54.50000000,  121.2794298,  125.4319877
55.50000000,  124.5119926,  127.1816759
56.50000000,  124.5229010,  127.7729249
57.50000000,  124.4377875,  129.0232912
58.50000000,  124.8689649,  129.3636414
59.50000000,  124.5857161,  128.2641643
60.50000000,  123.9506418,  129.2717532
61.50000000,  124.4396807,  128.1515976
62.50000000,  124.8397780,  128.1816109
63.50000000,  122.6211939,  128.7567223
64.50000000,  123.5152213,  126.8112110
65.50000000,  122.8081032,  125.0436333
66.50000000,  123.0353225,  126.2424445
67.50000000,  120.5338089,  124.5303777
68.50000000,  118.6774003,  122.7907596
69.50000000,  117.4388540,  120.5831813
70.50000000,  114.7476694,  117.9635075
71.50000000,  115.3887672,  117.2012263
72.50000000,  110.6761436,  113.4259910
73.50000000,  109.0377222,  112.3993214
74.50000000,  107.4926227,  109.3476855
75.50000000,  105.4272725,  106.9944362
76.50000000,  104.1032477,  105.0360366
77.50000000,  101.1031456,  102.9097830
78.50000000,  98.74120609,  99.99938720
79.50000000,  97.42957167,  97.79247927
80.50000000,  94.09501437,  94.68456897
81.50000000,  92.48654983,  92.87285501
82.50000000,  89.02496881,  89.95827718
83.50000000,  87.33200384,  88.76504962
84.50000000,  86.19891531,  86.15774706
85.50000000,  84.60772296,  85.62143648
86.50000000,  83.95881229,  83.47971975
87.50000000,  83.12611841,  81.61284549
88.50000000,  81.35910820,  81.11875046
89.50000000,  79.77503435,  79.99790070
90.50000000,  79.19717692,  79.64465253
