# Distance [pm];  g(r)
130.1250000;  0.000000000
130.3750000;  0.000000000
130.6250000;  0.000000000
130.8750000;  0.000000000
131.1250000;  0.000000000
131.3750000;  0.000000000
131.6250000;  0.000000000
131.8750000;  0.000000000
132.1250000;  0.000000000
132.3750000;  0.000000000
132.6250000;  0.000000000
132.8750000;  0.000000000
133.1250000;  0.000000000
133.3750000;  0.000000000
133.6250000;  0.000000000
133.8750000;  0.000000000
134.1250000;  0.000000000
134.3750000;  0.000000000
134.6250000;  0.000000000
134.8750000;  0.000000000
135.1250000;  0.000000000
135.3750000;  0.000000000
135.6250000;  0.000000000
135.8750000;  0.000000000
136.1250000;  0.000000000
136.3750000;  0.000000000
136.6250000;  0.000000000
136.8750000;  0.000000000
137.1250000;  0.000000000
137.3750000;  0.000000000
137.6250000;  0.000000000
137.8750000;  0.000000000
138.1250000;  0.000000000
138.3750000;  0.0004667659232
138.6250000;  0.001453080489
138.8750000;  0.001429560179
139.1250000;  0.0004902862332
139.3750000;  0.001260617484
139.6250000;  0.001016004908
139.8750000;  0.002365429677
140.1250000;  0.002409008288
140.3750000;  0.004485505050
140.6250000;  0.006230392399
140.8750000;  0.009234439907
141.1250000;  0.006225296246
141.3750000;  0.01482788047
141.6250000;  0.02507234172
141.8750000;  0.03566178936
142.1250000;  0.04459749776
142.3750000;  0.06122578200
142.6250000;  0.09565262076
142.8750000;  0.1568681072
143.1250000;  0.2238836703
143.3750000;  0.2240523590
143.6250000;  0.3164481307
143.8750000;  0.4026489018
144.1250000;  0.5230845745
144.3750000;  0.6860068866
144.6250000;  0.8433429438
144.8750000;  1.050423901
145.1250000;  1.454571691
145.3750000;  1.769712653
145.6250000;  2.234957633
145.8750000;  2.897417550
146.1250000;  3.610582415
146.3750000;  4.430492930
146.6250000;  5.393033799
146.8750000;  6.696844854
147.1250000;  8.354524811
147.3750000;  9.962532776
147.6250000;  11.72955125
147.8750000;  13.99397486
148.1250000;  16.53148505
148.3750000;  19.41275634
148.6250000;  22.60394710
148.8750000;  26.46905260
149.1250000;  30.32336437
149.3750000;  34.64777699
149.6250000;  38.96071772
149.8750000;  44.21170918
150.1250000;  49.20866230
150.3750000;  55.03414628
150.6250000;  61.23578693
150.8750000;  66.81480635
151.1250000;  73.14142860
151.3750000;  79.09779468
151.6250000;  85.69562105
151.8750000;  91.97082282
152.1250000;  98.26318269
152.3750000;  103.6324571
152.6250000;  109.0197681
152.8750000;  113.5959022
153.1250000;  118.4644280
153.3750000;  121.5225554
153.6250000;  124.8046042
153.8750000;  126.6878212
154.1250000;  128.0187655
154.3750000;  129.0031092
154.6250000;  128.1847480
154.8750000;  127.0567558
155.1250000;  124.8245956
155.3750000;  123.0009434
155.6250000;  119.3183743
155.8750000;  115.5120569
156.1250000;  110.4337882
156.3750000;  104.2862385
156.6250000;  99.35598760
156.8750000;  93.92128208
157.1250000;  87.39085527
157.3750000;  80.95931887
157.6250000;  74.65059598
157.8750000;  68.63781036
158.1250000;  62.72204183
158.3750000;  56.66431565
158.6250000;  50.99655724
158.8750000;  45.60087175
159.1250000;  40.69766889
159.3750000;  36.09665797
159.6250000;  31.60711800
159.8750000;  27.54631903
160.1250000;  23.95841474
160.3750000;  20.41151960
160.6250000;  17.54454856
160.8750000;  14.80425193
161.1250000;  12.38803222
161.3750000;  10.48270663
161.6250000;  8.728856457
161.8750000;  7.292162602
162.1250000;  5.989512411
162.3750000;  4.819516204
162.6250000;  3.960121582
162.8750000;  3.112583976
163.1250000;  2.513164905
163.3750000;  1.964556603
163.6250000;  1.601942732
163.8750000;  1.302599396
164.1250000;  1.032105823
164.3750000;  0.7101225023
164.6250000;  0.5701418294
164.8750000;  0.4639573480
165.1250000;  0.3101390813
165.3750000;  0.2269327022
165.6250000;  0.2095859515
165.8750000;  0.1625081437
166.1250000;  0.09048846754
166.3750000;  0.06924970890
166.6250000;  0.04555771394
166.8750000;  0.02158365074
167.1250000;  0.02443297794
167.3750000;  0.02034318932
167.6250000;  0.01952436448
167.8750000;  0.01227830973
168.1250000;  0.01051662259
168.3750000;  0.008745846133
168.6250000;  0.001261645554
168.8750000;  0.001869310673
169.1250000;  5.053573926E-05
169.3750000;  0.0008342297379
169.6250000;  0.002090112747
169.8750000;  0.002693273716
170.1250000;  0.0001419230359
170.3750000;  0.000000000
170.6250000;  0.001839619260
170.8750000;  8.022715192E-05
171.1250000;  0.000000000
171.3750000;  0.000000000
171.6250000;  0.000000000
171.8750000;  0.000000000
172.1250000;  0.000000000
172.3750000;  0.000000000
172.6250000;  0.000000000
172.8750000;  0.000000000
173.1250000;  0.000000000
173.3750000;  0.000000000
173.6250000;  0.000000000
173.8750000;  0.000000000
174.1250000;  0.000000000
174.3750000;  0.000000000
174.6250000;  0.000000000
174.8750000;  0.000000000
175.1250000;  0.000000000
175.3750000;  0.000000000
175.6250000;  0.000000000
175.8750000;  0.000000000
176.1250000;  0.000000000
176.3750000;  0.000000000
176.6250000;  0.000000000
176.8750000;  0.000000000
177.1250000;  0.000000000
177.3750000;  0.000000000
177.6250000;  0.000000000
177.8750000;  0.000000000
178.1250000;  0.000000000
178.3750000;  0.000000000
178.6250000;  0.000000000
178.8750000;  0.000000000
179.1250000;  0.000000000
179.3750000;  0.000000000
179.6250000;  0.000000000
179.8750000;  0.000000000
