# Dihedral Angle (Degree);  Occurrence
0.5000000000;  0.1876248151
1.500000000;  0.1666506454
2.500000000;  0.2033825810
3.500000000;  0.2340682075
4.500000000;  0.2707769333
5.500000000;  0.2591483949
6.500000000;  0.2690790908
7.500000000;  0.4179812685
8.500000000;  0.2948876297
9.500000000;  0.2818202554
10.50000000;  0.2655618561
11.50000000;  0.3916893175
12.50000000;  0.4825560620
13.50000000;  0.5200717379
14.50000000;  0.4509778264
15.50000000;  0.5172996304
16.50000000;  0.7014887480
17.50000000;  0.8601374545
18.50000000;  1.082168715
19.50000000;  1.320157249
20.50000000;  1.418966139
21.50000000;  1.594984152
22.50000000;  1.793492970
23.50000000;  2.152598167
24.50000000;  2.893322245
25.50000000;  3.314678472
26.50000000;  3.950194889
27.50000000;  5.013455741
28.50000000;  5.915695276
29.50000000;  7.414409812
30.50000000;  8.412831985
31.50000000;  9.767509838
32.50000000;  12.51798549
33.50000000;  15.08040818
34.50000000;  17.74226511
35.50000000;  21.33203733
36.50000000;  26.30267791
37.50000000;  31.25640379
38.50000000;  37.11380984
39.50000000;  42.95926852
40.50000000;  52.25251602
41.50000000;  61.56161582
42.50000000;  73.09026933
43.50000000;  86.06984235
44.50000000;  100.9555912
45.50000000;  115.4527037
46.50000000;  132.4795777
47.50000000;  152.9054116
48.50000000;  176.3464938
49.50000000;  199.7459357
50.50000000;  224.9870066
51.50000000;  254.4287281
52.50000000;  283.8905060
53.50000000;  313.4970110
54.50000000;  345.2974205
55.50000000;  376.1984885
56.50000000;  407.0450345
57.50000000;  443.4669477
58.50000000;  477.0907915
59.50000000;  505.7920189
60.50000000;  534.6897601
61.50000000;  557.8895021
62.50000000;  578.6840532
63.50000000;  599.9268845
64.50000000;  612.0499926
65.50000000;  622.4660672
66.50000000;  630.8477284
67.50000000;  628.7889829
68.50000000;  624.4443775
69.50000000;  620.9946655
70.50000000;  604.3963233
71.50000000;  584.8202677
72.50000000;  563.7188234
73.50000000;  539.9178328
74.50000000;  514.7888675
75.50000000;  484.9617605
76.50000000;  455.2352555
77.50000000;  423.1318317
78.50000000;  391.6813866
79.50000000;  359.4634244
80.50000000;  325.5023315
81.50000000;  295.4970377
82.50000000;  265.6368864
83.50000000;  239.0712458
84.50000000;  213.4026534
85.50000000;  190.4208072
86.50000000;  165.7566917
87.50000000;  145.4818511
88.50000000;  126.6362744
