# Dihedral Angle (Degree);  Occurrence
0.5000000000;  0.1845032354
1.500000000;  0.2069062961
2.500000000;  0.1474999757
3.500000000;  0.2061705491
4.500000000;  0.2738506564
5.500000000;  0.1908476214
6.500000000;  0.2286075518
7.500000000;  0.2480781921
8.500000000;  0.2714835452
9.500000000;  0.3340824979
10.50000000;  0.2814574986
11.50000000;  0.4891128366
12.50000000;  0.4299294223
13.50000000;  0.4585359826
14.50000000;  0.5632026786
15.50000000;  0.6861270540
16.50000000;  0.7975041201
17.50000000;  0.9188370409
18.50000000;  1.007910948
19.50000000;  1.004523203
20.50000000;  1.364622872
21.50000000;  1.670864618
22.50000000;  1.812047393
23.50000000;  2.364802450
24.50000000;  2.820635213
25.50000000;  3.201551459
26.50000000;  3.847275989
27.50000000;  4.723560017
28.50000000;  5.742310338
29.50000000;  6.748545910
30.50000000;  8.439193508
31.50000000;  10.49520650
32.50000000;  12.36466714
33.50000000;  14.48340246
34.50000000;  17.67901372
35.50000000;  20.98544837
36.50000000;  25.80240944
37.50000000;  29.53761908
38.50000000;  35.85384233
39.50000000;  42.18341952
40.50000000;  49.97036503
41.50000000;  59.21527278
42.50000000;  69.77838517
43.50000000;  81.73600460
44.50000000;  96.52174650
45.50000000;  111.3469448
46.50000000;  126.6176875
47.50000000;  146.8047987
48.50000000;  168.4957724
49.50000000;  188.4125807
50.50000000;  214.0218720
51.50000000;  239.7085098
52.50000000;  267.2530267
53.50000000;  294.5714921
54.50000000;  325.4402645
55.50000000;  356.0199635
56.50000000;  387.0128035
57.50000000;  415.8027566
58.50000000;  445.2302687
59.50000000;  473.5309010
60.50000000;  498.8033823
61.50000000;  524.2827837
62.50000000;  543.0420149
63.50000000;  557.1668188
64.50000000;  571.1911983
65.50000000;  582.0115861
66.50000000;  585.4720113
67.50000000;  587.9641242
68.50000000;  585.5331871
69.50000000;  576.9062676
70.50000000;  564.1504443
71.50000000;  548.5911201
72.50000000;  527.9798830
73.50000000;  508.4721555
74.50000000;  484.9254713
75.50000000;  455.5730053
76.50000000;  428.5229179
77.50000000;  397.2583147
78.50000000;  368.6575352
79.50000000;  336.7587336
80.50000000;  306.2083580
81.50000000;  275.9828328
82.50000000;  251.0234134
83.50000000;  224.2374577
84.50000000;  199.4615067
85.50000000;  176.9197795
86.50000000;  155.0889086
87.50000000;  136.0419350
88.50000000;  118.3174016
89.50000000;  104.0219536
90.50000000;  90.88138166
91.50000000;  78.13193984
92.50000000;  67.32961516
93.50000000;  58.53291517
94.50000000;  48.89568102
95.50000000;  42.57426442
96.50000000;  37.30364893
97.50000000;  31.67050621
98.50000000;  25.81034561
99.50000000;  22.38176239
100.5000000;  19.35258754
101.5000000;  16.28551576
102.5000000;  14.27085839
103.5000000;  12.35367482
104.5000000;  10.58306657
105.5000000;  9.079660205
106.5000000;  7.405507461
107.5000000;  6.718358092
108.5000000;  5.639291204
109.5000000;  5.021182139
110.5000000;  4.159240758
111.5000000;  3.791450069
112.5000000;  3.697304993
113.5000000;  3.081780358
114.5000000;  3.193535314
115.5000000;  2.514459232
116.5000000;  2.523403295
117.5000000;  1.972149206
118.5000000;  1.827393970
119.5000000;  1.716626523
120.5000000;  1.688562182
121.5000000;  1.670729344
122.5000000;  1.554245889
123.5000000;  1.406777577
124.5000000;  1.235482373
125.5000000;  1.306564158
126.5000000;  1.160523133
127.5000000;  1.203000508
128.5000000;  1.192477016
129.5000000;  1.220153709
130.5000000;  1.189995615
131.5000000;  1.208762962
132.5000000;  1.099556533
133.5000000;  1.331171484
134.5000000;  1.376775129
135.5000000;  1.402437059
136.5000000;  1.361885226
137.5000000;  1.221947336
138.5000000;  1.449828102
139.5000000;  1.578714389
140.5000000;  1.577022802
141.5000000;  1.754228236
142.5000000;  1.806534368
143.5000000;  1.958989760
144.5000000;  2.225627761
145.5000000;  2.100640749
146.5000000;  2.433911963
147.5000000;  2.333144436
148.5000000;  2.567455262
149.5000000;  2.959529853
150.5000000;  3.085888873
151.5000000;  3.537726444
152.5000000;  3.636050913
153.5000000;  3.972928729
154.5000000;  4.388384905
155.5000000;  4.377178038
156.5000000;  5.275674950
157.5000000;  5.260353193
158.5000000;  5.601392027
159.5000000;  5.840146992
160.5000000;  6.248249973
161.5000000;  6.752837683
162.5000000;  7.183743068
163.5000000;  7.643476538
164.5000000;  8.328382514
165.5000000;  7.956193179
166.5000000;  8.872521768
167.5000000;  8.890130456
168.5000000;  9.573401017
169.5000000;  10.16065363
170.5000000;  10.38948320
171.5000000;  11.08289418
172.5000000;  11.12298141
173.5000000;  11.31549972
174.5000000;  11.91939461
175.5000000;  11.87815700
176.5000000;  12.42807939
177.5000000;  12.04220966
178.5000000;  12.25473186
179.5000000;  12.28712007
180.5000000;  12.12193379
181.5000000;  11.64424624
182.5000000;  12.29009170
183.5000000;  12.21637904
184.5000000;  11.82774982
185.5000000;  11.39247270
186.5000000;  11.23579729
187.5000000;  10.89090549
188.5000000;  10.59747108
189.5000000;  10.50797992
190.5000000;  9.775677459
191.5000000;  9.228982800
192.5000000;  9.211250753
193.5000000;  8.543612486
194.5000000;  7.829564490
195.5000000;  7.754506833
196.5000000;  7.406671797
197.5000000;  7.015408039
198.5000000;  6.717517612
199.5000000;  6.226263972
200.5000000;  5.802459366
201.5000000;  5.199541592
202.5000000;  4.973596436
203.5000000;  4.694472344
204.5000000;  4.443049463
205.5000000;  4.040397708
206.5000000;  3.661037661
207.5000000;  3.641614175
208.5000000;  3.475794755
209.5000000;  3.072446618
210.5000000;  2.613784277
211.5000000;  2.405498859
212.5000000;  2.397990919
213.5000000;  2.277010636
214.5000000;  1.881741380
215.5000000;  2.132393610
216.5000000;  2.027310015
217.5000000;  1.899858752
218.5000000;  1.768915132
219.5000000;  1.682301389
220.5000000;  1.457858026
221.5000000;  1.558972525
222.5000000;  1.406543515
223.5000000;  1.265813591
224.5000000;  1.204617058
225.5000000;  1.193258307
226.5000000;  1.295752671
227.5000000;  1.198994636
228.5000000;  1.113085528
229.5000000;  1.067807365
230.5000000;  1.220357895
231.5000000;  1.205086248
232.5000000;  1.241006471
233.5000000;  1.323322291
234.5000000;  1.333417231
235.5000000;  1.281892232
236.5000000;  1.280671510
237.5000000;  1.427024610
238.5000000;  1.722409419
239.5000000;  1.654722248
240.5000000;  1.741578555
241.5000000;  1.906418589
242.5000000;  2.047590677
243.5000000;  2.240718156
244.5000000;  2.541027393
245.5000000;  2.566908218
246.5000000;  3.067532888
247.5000000;  3.579173207
248.5000000;  3.962661506
249.5000000;  4.274827866
250.5000000;  5.139969897
251.5000000;  5.975325103
252.5000000;  6.705752731
253.5000000;  8.005942886
254.5000000;  8.903095274
255.5000000;  10.31216568
256.5000000;  11.74201402
257.5000000;  13.77971303
258.5000000;  16.48371226
259.5000000;  19.47552020
260.5000000;  22.98312582
261.5000000;  26.97050019
262.5000000;  31.33984576
263.5000000;  36.89201648
264.5000000;  43.22314933
265.5000000;  49.75292093
266.5000000;  59.02650736
267.5000000;  68.33466821
268.5000000;  78.60575559
269.5000000;  91.62274496
270.5000000;  106.4529366
271.5000000;  122.2428217
272.5000000;  138.6117605
273.5000000;  158.6680077
274.5000000;  180.5769009
275.5000000;  202.5853908
276.5000000;  227.0558415
277.5000000;  253.5894589
278.5000000;  280.9794121
279.5000000;  310.5766554
280.5000000;  339.8706500
281.5000000;  369.4126777
282.5000000;  403.8580555
283.5000000;  432.6782746
284.5000000;  458.6426746
285.5000000;  490.4044605
286.5000000;  516.1393039
287.5000000;  533.1823186
288.5000000;  552.2869384
289.5000000;  573.2683190
290.5000000;  582.7641705
291.5000000;  595.7782060
292.5000000;  599.7128258
293.5000000;  595.0510967
294.5000000;  593.9205590
295.5000000;  580.3413713
296.5000000;  569.6347973
297.5000000;  551.5568139
298.5000000;  531.0308905
299.5000000;  507.1053884
300.5000000;  480.5740824
301.5000000;  451.9535390
302.5000000;  420.5557329
303.5000000;  390.0357616
304.5000000;  359.4303678
305.5000000;  328.4476833
306.5000000;  299.2537796
307.5000000;  271.0317925
308.5000000;  242.8716304
309.5000000;  213.6878735
310.5000000;  189.7377993
311.5000000;  169.5342851
312.5000000;  148.2118592
313.5000000;  129.2793524
314.5000000;  111.7279121
315.5000000;  96.49192697
316.5000000;  82.28263078
317.5000000;  69.75598528
318.5000000;  58.89833444
319.5000000;  50.30473979
320.5000000;  42.98435621
321.5000000;  35.77051789
322.5000000;  30.24910661
323.5000000;  24.78499385
324.5000000;  20.98814804
325.5000000;  16.93395992
326.5000000;  14.52359695
327.5000000;  12.32733400
328.5000000;  10.22266312
329.5000000;  8.289481533
330.5000000;  6.746903768
331.5000000;  5.607834520
332.5000000;  4.575626777
333.5000000;  3.871450724
334.5000000;  3.041412777
335.5000000;  2.565250206
336.5000000;  2.404631716
337.5000000;  2.014133618
338.5000000;  1.805509837
339.5000000;  1.422654213
340.5000000;  1.251706997
341.5000000;  0.9665091146
342.5000000;  0.8384759098
343.5000000;  0.7262139076
344.5000000;  0.6251791875
345.5000000;  0.6308933848
346.5000000;  0.5812040692
347.5000000;  0.4990376328
348.5000000;  0.4648762090
349.5000000;  0.2766965386
350.5000000;  0.2635677806
351.5000000;  0.2279408298
352.5000000;  0.1906951599
353.5000000;  0.1814680243
354.5000000;  0.1976727349
355.5000000;  0.2264428688
356.5000000;  0.1942668905
357.5000000;  0.1718989657
358.5000000;  0.2204332853
359.5000000;  0.2188379734
