# Distance [pm],  g(r),  g(r)
80.12500000,  0.000000000,  0.000000000
80.37500000,  0.000000000,  0.000000000
80.62500000,  0.000000000,  0.000000000
80.87500000,  0.000000000,  0.000000000
81.12500000,  0.000000000,  0.000000000
81.37500000,  0.000000000,  0.000000000
81.62500000,  0.000000000,  0.000000000
81.87500000,  0.000000000,  0.000000000
82.12500000,  0.000000000,  0.000000000
82.37500000,  0.000000000,  0.000000000
82.62500000,  0.000000000,  0.000000000
82.87500000,  0.000000000,  0.000000000
83.12500000,  0.000000000,  0.000000000
83.37500000,  0.000000000,  0.000000000
83.62500000,  0.000000000,  0.000000000
83.87500000,  0.000000000,  0.000000000
84.12500000,  0.0006211085129,  0.000000000
84.37500000,  0.0003388146932,  0.000000000
84.62500000,  0.000000000,  0.001356850416
84.87500000,  0.000000000,  0.001522919203
85.12500000,  0.0006143964741,  0.000000000
85.37500000,  0.0003872407743,  0.0007205110560
85.62500000,  0.0009182091639,  0.001214088439
85.87500000,  0.002015177103,  0.002174425221
86.12500000,  0.005363787292,  0.002645052384
86.37500000,  0.006345484523,  0.004789885742
86.62500000,  0.006087658626,  0.004851352560
86.87500000,  0.007779007326,  0.01256880469
87.12500000,  0.01672160919,  0.02122345126
87.37500000,  0.02580732368,  0.03145335521
87.62500000,  0.03882751681,  0.03488716587
87.87500000,  0.05377380997,  0.05350517789
88.12500000,  0.06399552793,  0.06815935848
88.37500000,  0.09507312302,  0.09870437470
88.62500000,  0.1498222046,  0.1506336979
88.87500000,  0.1899477081,  0.1800092817
89.12500000,  0.2789396544,  0.2569841836
89.37500000,  0.3859882010,  0.3719460384
89.62500000,  0.4825614658,  0.4784877692
89.87500000,  0.6220316949,  0.6413658560
90.12500000,  0.8155159549,  0.8167973710
90.37500000,  1.108567179,  1.089847696
90.62500000,  1.403779637,  1.447048041
90.87500000,  1.893579061,  1.815312288
91.12500000,  2.366638002,  2.419734902
91.37500000,  3.048095220,  3.090249072
91.62500000,  3.924960962,  3.858579058
91.87500000,  4.883645859,  4.827439810
92.12500000,  6.006952994,  6.083226776
92.37500000,  7.419664824,  7.380941251
92.62500000,  9.177952976,  9.097802831
92.87500000,  11.09573634,  11.24409325
93.12500000,  13.54728510,  13.54777323
93.37500000,  16.24580784,  16.27791640
93.62500000,  19.19772840,  19.22012255
93.87500000,  22.60122476,  22.69781743
94.12500000,  26.76849024,  26.66060278
94.37500000,  30.97483469,  31.13927110
94.62500000,  35.75086708,  35.79164678
94.87500000,  41.16437975,  41.16686337
95.12500000,  47.01304407,  46.98077186
95.37500000,  52.75433373,  53.29808663
95.62500000,  59.36323133,  59.49172118
95.87500000,  66.21460991,  65.97422153
96.12500000,  73.04129597,  72.87581557
96.37500000,  80.39478907,  80.13530070
96.62500000,  87.98947683,  87.63576263
96.87500000,  94.67120827,  95.17108410
97.12500000,  101.6828809,  101.5515022
97.37500000,  108.5801805,  108.4094539
97.62500000,  114.4206494,  114.5249733
97.87500000,  119.9660718,  120.1875334
98.12500000,  124.6006620,  125.2309990
98.37500000,  129.3483302,  129.1977741
98.62500000,  132.8500954,  132.4308260
98.87500000,  135.3387804,  135.0391109
99.12500000,  136.7732351,  136.9642531
99.37500000,  137.8213883,  136.9648067
99.62500000,  137.2100523,  136.8627215
99.87500000,  135.3310194,  135.6900437
100.1250000,  132.6241028,  133.6039805
100.3750000,  129.7757540,  129.6047254
100.6250000,  125.2043923,  125.5517596
100.8750000,  120.1397909,  120.0752468
101.1250000,  114.6923014,  114.2473936
101.3750000,  108.6530806,  108.1364890
101.6250000,  102.0633972,  101.7327420
101.8750000,  95.01915379,  94.96779642
102.1250000,  88.15266569,  87.92329157
102.3750000,  80.36866353,  80.90241052
102.6250000,  73.16072713,  73.44476876
102.8750000,  66.20516010,  66.31548864
103.1250000,  60.05108608,  59.56285353
103.3750000,  53.17283685,  53.02731261
103.6250000,  46.83685115,  46.95601782
103.8750000,  41.47038202,  41.74680714
104.1250000,  36.30568942,  36.45051592
104.3750000,  31.51688094,  31.32834788
104.6250000,  26.93268710,  26.92354039
104.8750000,  23.02701173,  23.17007393
105.1250000,  19.51564304,  19.44764270
105.3750000,  16.48914210,  16.49468484
105.6250000,  13.73496912,  13.73417490
105.8750000,  11.45276842,  11.50184683
106.1250000,  9.427155963,  9.380685873
106.3750000,  7.618688140,  7.670071431
106.6250000,  6.202836568,  6.274249467
106.8750000,  5.040620516,  5.041076881
107.1250000,  3.979600175,  3.979502185
107.3750000,  3.131397006,  3.229030647
107.6250000,  2.522421103,  2.539369849
107.8750000,  2.018911977,  1.982950392
108.1250000,  1.572103483,  1.558145625
108.3750000,  1.169374773,  1.228076844
108.6250000,  0.8901873493,  0.8961773547
108.8750000,  0.6660219493,  0.6522297449
109.1250000,  0.5092996210,  0.5333621639
109.3750000,  0.3946817453,  0.4130865324
109.6250000,  0.3272610537,  0.2942748129
109.8750000,  0.2117400939,  0.2119621939
110.1250000,  0.1561974078,  0.1597909691
110.3750000,  0.1312735745,  0.1151970787
110.6250000,  0.07999657418,  0.08887910577
110.8750000,  0.05366255467,  0.05964887695
111.1250000,  0.04429421321,  0.03164729592
111.3750000,  0.02896876187,  0.03061316197
111.6250000,  0.02114877014,  0.01772203291
111.8750000,  0.01641663824,  0.01676290953
112.1250000,  0.009596481552,  0.01131630112
112.3750000,  0.005436237802,  0.009186325860
112.6250000,  0.004923638579,  0.007753091072
112.8750000,  0.001866335480,  0.003497281177
113.1250000,  0.001857310519,  0.002099082467
113.3750000,  0.001447994353,  0.0007519415574
113.6250000,  0.0004718520594,  0.0006733494061
113.8750000,  0.000000000,  0.0002865738001
114.1250000,  0.000000000,  0.000000000
114.3750000,  0.000000000,  0.000000000
114.6250000,  0.000000000,  0.0008488084824
114.8750000,  0.000000000,  0.0001111147237
115.1250000,  0.000000000,  0.000000000
115.3750000,  0.000000000,  0.000000000
115.6250000,  0.000000000,  0.000000000
115.8750000,  0.000000000,  0.000000000
116.1250000,  0.000000000,  0.000000000
116.3750000,  0.000000000,  0.000000000
116.6250000,  0.000000000,  0.000000000
116.8750000,  0.000000000,  0.000000000
117.1250000,  0.000000000,  0.000000000
117.3750000,  0.000000000,  0.000000000
117.6250000,  0.000000000,  0.000000000
117.8750000,  0.000000000,  0.000000000
118.1250000,  0.000000000,  0.000000000
118.3750000,  0.000000000,  0.000000000
118.6250000,  0.000000000,  0.000000000
118.8750000,  0.000000000,  0.000000000
119.1250000,  0.000000000,  0.000000000
119.3750000,  0.000000000,  0.000000000
119.6250000,  0.000000000,  0.000000000
119.8750000,  0.000000000,  0.000000000
