# Dihedral Angle (Degree),  Occurrence
1.000000000,  0.2036385968
3.000000000,  0.2531243362
5.000000000,  0.2463275629
7.000000000,  0.2714433156
9.000000000,  0.2952416369
11.00000000,  0.3546724828
13.00000000,  0.4002721570
15.00000000,  0.5052413601
17.00000000,  0.7132625422
19.00000000,  1.048292869
21.00000000,  1.529296433
23.00000000,  2.103740700
25.00000000,  2.869624623
27.00000000,  4.380759831
29.00000000,  6.386841155
31.00000000,  9.087963563
33.00000000,  13.22715035
35.00000000,  19.23503816
37.00000000,  27.61784061
39.00000000,  39.38220918
41.00000000,  55.74050854
43.00000000,  76.36544616
45.00000000,  104.4191307
47.00000000,  139.4301255
49.00000000,  181.0229172
51.00000000,  231.2684782
53.00000000,  286.1759833
55.00000000,  346.9237162
57.00000000,  408.2704111
59.00000000,  469.4522041
61.00000000,  523.3125809
63.00000000,  564.7970052
65.00000000,  590.8641980
67.00000000,  600.0427481
69.00000000,  591.7424184
71.00000000,  567.4673758
73.00000000,  526.0556071
75.00000000,  475.2869306
77.00000000,  416.6399537
79.00000000,  356.8063844
81.00000000,  296.6362259
83.00000000,  240.6195129
85.00000000,  190.5751714
87.00000000,  147.9335095
89.00000000,  113.4635652
91.00000000,  85.11698867
93.00000000,  62.82036533
95.00000000,  46.29587915
97.00000000,  33.78356481
99.00000000,  24.62427243
101.0000000,  17.64758423
103.0000000,  12.94770051
105.0000000,  9.636342858
107.0000000,  7.012591659
109.0000000,  5.523964441
111.0000000,  4.044824139
113.0000000,  3.140521046
115.0000000,  2.524717297
117.0000000,  2.103692823
119.0000000,  1.772770232
121.0000000,  1.566164311
123.0000000,  1.355443175
125.0000000,  1.125030791
127.0000000,  1.206443028
129.0000000,  1.032983734
131.0000000,  1.063612605
133.0000000,  1.192373419
135.0000000,  1.185834766
137.0000000,  1.334393290
139.0000000,  1.346374978
141.0000000,  1.590952478
143.0000000,  1.803239052
145.0000000,  1.887305067
147.0000000,  2.180513889
149.0000000,  2.670381704
151.0000000,  3.070104114
153.0000000,  3.705752967
155.0000000,  4.422856268
157.0000000,  5.013224560
159.0000000,  5.597228474
161.0000000,  6.497669069
163.0000000,  7.340544180
165.0000000,  8.108575301
167.0000000,  8.974710921
169.0000000,  9.708187953
171.0000000,  10.72991857
173.0000000,  11.16326823
175.0000000,  11.76424963
177.0000000,  11.88393047
179.0000000,  12.04827861
181.0000000,  12.09800020
183.0000000,  12.36246994
185.0000000,  11.80469791
187.0000000,  11.18744069
189.0000000,  10.70556599
191.0000000,  9.912062230
193.0000000,  8.911805871
195.0000000,  8.213733273
197.0000000,  7.089109881
199.0000000,  6.375952906
201.0000000,  5.834707704
203.0000000,  4.919112905
205.0000000,  4.225760441
207.0000000,  3.623463962
209.0000000,  3.112614030
211.0000000,  2.603265323
213.0000000,  2.375329129
215.0000000,  2.164041329
217.0000000,  1.673811960
219.0000000,  1.542183327
221.0000000,  1.565490033
223.0000000,  1.419442580
225.0000000,  1.209171736
227.0000000,  1.285411336
229.0000000,  1.246518506
231.0000000,  1.259212686
233.0000000,  1.236958045
235.0000000,  1.300071711
237.0000000,  1.435919481
239.0000000,  1.566700298
241.0000000,  1.780206848
243.0000000,  2.142736495
245.0000000,  2.701192226
247.0000000,  3.240095693
249.0000000,  4.048169236
251.0000000,  5.302719829
253.0000000,  7.343416660
255.0000000,  9.839133570
257.0000000,  13.34704999
259.0000000,  17.83616098
261.0000000,  24.67325889
263.0000000,  33.41167210
265.0000000,  46.13774795
267.0000000,  63.08692575
269.0000000,  84.46607003
271.0000000,  112.5145276
273.0000000,  147.3572859
275.0000000,  189.1596468
277.0000000,  237.3641778
279.0000000,  291.1357565
281.0000000,  349.2603362
283.0000000,  409.4820969
285.0000000,  466.5656381
287.0000000,  514.4075725
289.0000000,  555.3571267
291.0000000,  577.8259271
293.0000000,  584.8377945
295.0000000,  579.2705910
297.0000000,  550.3836442
299.0000000,  509.7134324
301.0000000,  457.6608050
303.0000000,  397.3923093
305.0000000,  337.9232126
307.0000000,  280.6679692
309.0000000,  224.1454320
311.0000000,  176.6339317
313.0000000,  135.1276680
315.0000000,  101.4885062
317.0000000,  75.65983953
319.0000000,  54.59071053
321.0000000,  38.27425691
323.0000000,  27.04797414
325.0000000,  18.94477231
327.0000000,  13.09694190
329.0000000,  8.991740358
331.0000000,  6.208342999
333.0000000,  4.205118931
335.0000000,  2.977597930
337.0000000,  2.035878421
339.0000000,  1.366327314
341.0000000,  1.115871189
343.0000000,  0.7182657504
345.0000000,  0.5323490306
347.0000000,  0.4744768366
349.0000000,  0.3596589265
351.0000000,  0.2773918455
353.0000000,  0.2260979763
355.0000000,  0.2542208266
357.0000000,  0.1929102881
359.0000000,  0.1678713204
