# Distance [pm];  g(r)
130.1250000;  0.000000000
130.3750000;  0.000000000
130.6250000;  0.000000000
130.8750000;  0.000000000
131.1250000;  0.000000000
131.3750000;  0.000000000
131.6250000;  0.000000000
131.8750000;  0.000000000
132.1250000;  0.000000000
132.3750000;  0.000000000
132.6250000;  0.000000000
132.8750000;  0.000000000
133.1250000;  0.000000000
133.3750000;  0.000000000
133.6250000;  0.000000000
133.8750000;  0.000000000
134.1250000;  0.000000000
134.3750000;  0.000000000
134.6250000;  0.000000000
134.8750000;  0.000000000
135.1250000;  0.000000000
135.3750000;  0.000000000
135.6250000;  0.000000000
135.8750000;  0.000000000
136.1250000;  0.000000000
136.3750000;  0.000000000
136.6250000;  0.000000000
136.8750000;  0.000000000
137.1250000;  0.000000000
137.3750000;  0.000000000
137.6250000;  0.000000000
137.8750000;  0.000000000
138.1250000;  0.000000000
138.3750000;  0.000000000
138.6250000;  0.000000000
138.8750000;  0.000000000
139.1250000;  0.000000000
139.3750000;  0.000000000
139.6250000;  0.000000000
139.8750000;  0.003025226768
140.1250000;  0.004010228175
140.3750000;  0.006254221543
140.6250000;  0.007886599962
140.8750000;  0.01081289468
141.1250000;  0.01472414044
141.3750000;  0.01089838386
141.6250000;  0.02066728987
141.8750000;  0.03678274582
142.1250000;  0.04623999753
142.3750000;  0.06280015165
142.6250000;  0.07421904298
142.8750000;  0.1284003033
143.1250000;  0.1603611079
143.3750000;  0.2152844328
143.6250000;  0.3020747004
143.8750000;  0.3928858044
144.1250000;  0.5320783779
144.3750000;  0.6596774048
144.6250000;  0.8859227642
144.8750000;  1.215498373
145.1250000;  1.530048037
145.3750000;  1.767163090
145.6250000;  2.269217800
145.8750000;  2.904451048
146.1250000;  3.654016001
146.3750000;  4.459677035
146.6250000;  5.518496991
146.8750000;  6.688985983
147.1250000;  8.305778046
147.3750000;  9.903185780
147.6250000;  11.91863800
147.8750000;  13.86243050
148.1250000;  16.34869419
148.3750000;  19.36724726
148.6250000;  22.70022745
148.8750000;  26.54510606
149.1250000;  30.22881492
149.3750000;  34.65277995
149.6250000;  38.81430015
149.8750000;  44.53752692
150.1250000;  49.75961664
150.3750000;  55.31512300
150.6250000;  60.86985602
150.8750000;  67.61275727
151.1250000;  73.64649777
151.3750000;  79.79018069
151.6250000;  86.00997998
151.8750000;  91.46566449
152.1250000;  97.49777336
152.3750000;  103.1604241
152.6250000;  109.0063220
152.8750000;  113.6544312
153.1250000;  118.9652484
153.3750000;  121.8525440
153.6250000;  124.1283418
153.8750000;  126.6471558
154.1250000;  127.8443572
154.3750000;  128.2489149
154.6250000;  127.6863065
154.8750000;  127.0728280
155.1250000;  125.1901161
155.3750000;  122.8579248
155.6250000;  118.8060772
155.8750000;  114.5930936
156.1250000;  110.4808016
156.3750000;  105.4273384
156.6250000;  99.60192791
156.8750000;  93.64370708
157.1250000;  87.29803177
157.3750000;  81.61321290
157.6250000;  75.20606146
157.8750000;  69.24555152
158.1250000;  62.60430971
158.3750000;  57.23676782
158.6250000;  51.07912312
158.8750000;  45.56362164
159.1250000;  40.83020702
159.3750000;  35.85205275
159.6250000;  31.28035889
159.8750000;  27.14914327
160.1250000;  23.40389989
160.3750000;  20.17723707
160.6250000;  17.56960920
160.8750000;  14.75505314
161.1250000;  12.33542255
161.3750000;  10.38145107
161.6250000;  8.581900435
161.8750000;  7.040276565
162.1250000;  5.924568926
162.3750000;  4.741881317
162.6250000;  3.962231614
162.8750000;  3.108342580
163.1250000;  2.503568073
163.3750000;  2.034563282
163.6250000;  1.574689801
163.8750000;  1.206742829
164.1250000;  0.9808328691
164.3750000;  0.7976649772
164.6250000;  0.5642829647
164.8750000;  0.4674868709
165.1250000;  0.3634357042
165.3750000;  0.2392431171
165.6250000;  0.1888110062
165.8750000;  0.1622485626
166.1250000;  0.1041963281
166.3750000;  0.07897181173
166.6250000;  0.04367541669
166.8750000;  0.03600750677
167.1250000;  0.02837134471
167.3750000;  0.02316334641
167.6250000;  0.01683886777
167.8750000;  0.01568722818
168.1250000;  0.01047677552
168.3750000;  0.005767744196
168.6250000;  0.004916985287
168.8750000;  0.001974274807
169.1250000;  0.002869998911
169.3750000;  0.0005968882505
169.6250000;  0.000000000
169.8750000;  0.000000000
170.1250000;  0.000000000
170.3750000;  0.000000000
170.6250000;  0.000000000
170.8750000;  0.000000000
171.1250000;  0.000000000
171.3750000;  0.000000000
171.6250000;  0.000000000
171.8750000;  0.000000000
172.1250000;  0.000000000
172.3750000;  0.000000000
172.6250000;  0.000000000
172.8750000;  0.000000000
173.1250000;  0.000000000
173.3750000;  0.000000000
173.6250000;  0.000000000
173.8750000;  0.000000000
174.1250000;  0.000000000
174.3750000;  0.000000000
174.6250000;  0.000000000
174.8750000;  0.000000000
175.1250000;  0.000000000
175.3750000;  0.000000000
175.6250000;  0.000000000
175.8750000;  0.000000000
176.1250000;  0.000000000
176.3750000;  0.000000000
176.6250000;  0.000000000
176.8750000;  0.000000000
177.1250000;  0.000000000
177.3750000;  0.000000000
177.6250000;  0.000000000
177.8750000;  0.000000000
178.1250000;  0.000000000
178.3750000;  0.000000000
178.6250000;  0.000000000
178.8750000;  0.000000000
179.1250000;  0.000000000
179.3750000;  0.000000000
179.6250000;  0.000000000
179.8750000;  0.000000000
