# Distance [pm],  g(r),  g(r)
120.1250000,  0.000000000,  0.000000000
120.3750000,  0.000000000,  0.000000000
120.6250000,  0.000000000,  0.000000000
120.8750000,  0.000000000,  0.000000000
121.1250000,  0.000000000,  0.000000000
121.3750000,  0.000000000,  0.000000000
121.6250000,  0.000000000,  0.000000000
121.8750000,  0.000000000,  0.000000000
122.1250000,  0.000000000,  0.000000000
122.3750000,  0.000000000,  0.000000000
122.6250000,  0.000000000,  0.000000000
122.8750000,  0.000000000,  0.000000000
123.1250000,  0.000000000,  0.000000000
123.3750000,  0.000000000,  0.000000000
123.6250000,  0.000000000,  0.000000000
123.8750000,  0.000000000,  0.000000000
124.1250000,  0.000000000,  0.000000000
124.3750000,  0.000000000,  0.000000000
124.6250000,  0.000000000,  0.000000000
124.8750000,  0.000000000,  0.000000000
125.1250000,  0.000000000,  0.000000000
125.3750000,  0.000000000,  0.000000000
125.6250000,  0.000000000,  0.000000000
125.8750000,  0.000000000,  0.000000000
126.1250000,  0.000000000,  0.000000000
126.3750000,  0.000000000,  0.000000000
126.6250000,  0.000000000,  0.000000000
126.8750000,  0.000000000,  0.000000000
127.1250000,  0.000000000,  0.000000000
127.3750000,  0.000000000,  0.000000000
127.6250000,  0.000000000,  4.427283952E-05
127.8750000,  0.000000000,  0.003989017943
128.1250000,  0.000000000,  0.000000000
128.3750000,  0.003623258411,  0.003006736122
128.6250000,  0.003861069772,  0.004075816267
128.8750000,  0.004182740043,  0.002304101124
129.1250000,  0.001836891197,  0.007582717337
129.3750000,  0.003883886988,  0.01166168627
129.6250000,  0.01704798130,  0.01064635202
129.8750000,  0.02815878556,  0.01394786501
130.1250000,  0.03297543557,  0.02061254426
130.3750000,  0.03569705591,  0.03604011036
130.6250000,  0.04211973835,  0.03798080561
130.8750000,  0.05166251165,  0.05473617570
131.1250000,  0.03746420463,  0.08298657323
131.3750000,  0.07432297667,  0.1106257978
131.6250000,  0.1325055375,  0.1749309069
131.8750000,  0.2185900793,  0.1593105605
132.1250000,  0.2855445100,  0.2384131507
132.3750000,  0.3421851591,  0.3202305517
132.6250000,  0.4614489235,  0.4085905462
132.8750000,  0.5448762395,  0.5854180208
133.1250000,  0.7695656242,  0.8135142161
133.3750000,  0.9363494005,  0.9815481340
133.6250000,  1.201725544,  1.148759197
133.8750000,  1.606964215,  1.636882080
