# Distance [pm],  g(r),  g(r)
80.12500000,  0.000000000,  0.000000000
80.37500000,  0.000000000,  0.000000000
80.62500000,  0.000000000,  0.000000000
80.87500000,  0.000000000,  0.000000000
81.12500000,  0.000000000,  0.000000000
81.37500000,  0.000000000,  0.000000000
81.62500000,  0.000000000,  0.000000000
81.87500000,  0.000000000,  0.000000000
82.12500000,  0.000000000,  0.000000000
82.37500000,  0.000000000,  0.000000000
82.62500000,  0.000000000,  0.000000000
82.87500000,  0.000000000,  0.000000000
83.12500000,  0.000000000,  0.000000000
83.37500000,  0.000000000,  0.000000000
83.62500000,  0.000000000,  0.000000000
83.87500000,  0.000000000,  0.001095835224
84.12500000,  0.000000000,  0.0008240111886
84.37500000,  0.000000000,  0.000000000
84.62500000,  0.000000000,  0.000000000
84.87500000,  0.000000000,  0.000000000
85.12500000,  0.000000000,  0.0004311869428
85.37500000,  0.001748953444,  0.003850973635
85.62500000,  0.003032823727,  0.004556763721
85.87500000,  0.004164769646,  0.004292768180
86.12500000,  0.002760165569,  0.003451552589
86.37500000,  0.005922589013,  0.002915554312
86.62500000,  0.01054586796,  0.003633131115
86.87500000,  0.01252978516,  0.01771709023
87.12500000,  0.01858042319,  0.02865004690
87.37500000,  0.03418283246,  0.02864192215
87.62500000,  0.04499969034,  0.02860480858
87.87500000,  0.05839606187,  0.06089057911
88.12500000,  0.07890998500,  0.07277760073
88.37500000,  0.09359880126,  0.08670015253
88.62500000,  0.1509677201,  0.1151884038
88.87500000,  0.2003085398,  0.1946900432
89.12500000,  0.2516107080,  0.2669595914
89.37500000,  0.3517092068,  0.3833770202
89.62500000,  0.4674554293,  0.5075887193
89.87500000,  0.6923023506,  0.6463529102
90.12500000,  0.8600865563,  0.8755807286
90.37500000,  1.141628529,  1.110443414
90.62500000,  1.438494356,  1.496585409
90.87500000,  1.816906993,  1.826253243
91.12500000,  2.438354377,  2.415307626
91.37500000,  3.079936271,  3.047546704
91.62500000,  3.858611201,  3.699039358
91.87500000,  4.778095970,  4.949353424
92.12500000,  5.948627519,  6.009249306
92.37500000,  7.491972521,  7.255982268
92.62500000,  9.135226494,  9.079945532
92.87500000,  11.15595233,  11.12798503
93.12500000,  13.37481045,  13.26012835
93.37500000,  16.07385123,  15.81679424
93.62500000,  18.90293278,  19.08379871
93.87500000,  22.42824997,  22.40877354
94.12500000,  26.60474938,  26.34546882
94.37500000,  30.93367809,  30.86820339
94.62500000,  35.83799383,  35.70841872
94.87500000,  40.53045882,  40.75143378
95.12500000,  46.36106774,  46.68027282
95.37500000,  52.74019135,  52.66476982
95.62500000,  58.91618031,  59.09792692
95.87500000,  65.60051495,  66.05139711
96.12500000,  73.18318486,  73.52733619
96.37500000,  79.73984622,  79.84874663
96.62500000,  87.54831788,  86.97888764
96.87500000,  94.66807865,  94.01684397
97.12500000,  101.1882223,  100.8279940
97.37500000,  108.1763061,  107.2252791
97.62500000,  114.2774005,  114.1191317
97.87500000,  119.9910810,  119.6998686
98.12500000,  125.0510784,  124.0526776
98.37500000,  129.6358866,  127.4895006
98.62500000,  132.2180981,  131.5598682
98.87500000,  134.8841918,  134.6043512
99.12500000,  136.2974066,  136.5449268
99.37500000,  136.4844332,  137.2419883
99.62500000,  136.0684275,  137.6233800
99.87500000,  134.6060583,  135.3585564
100.1250000,  132.2752960,  132.2824251
100.3750000,  129.0955945,  129.3645638
100.6250000,  125.3353106,  125.5760367
100.8750000,  120.3646799,  120.0885318
101.1250000,  115.0069728,  114.8534356
101.3750000,  108.8314005,  109.1775705
101.6250000,  101.7107444,  101.7756005
101.8750000,  94.90296335,  94.73199727
102.1250000,  88.26191247,  88.38634179
102.3750000,  81.07701727,  81.56685172
102.6250000,  74.26928725,  74.46701493
102.8750000,  67.28007084,  67.32635110
103.1250000,  60.30211365,  60.25842414
103.3750000,  54.02805705,  53.77854204
103.6250000,  47.96362805,  47.82062179
103.8750000,  41.51902627,  41.95964300
104.1250000,  37.03736642,  37.06921444
104.3750000,  32.00858197,  32.04338716
104.6250000,  27.52264339,  27.96516874
104.8750000,  23.41250955,  23.74557789
105.1250000,  19.80425312,  19.91314154
105.3750000,  16.91905880,  16.79826627
105.6250000,  14.18558309,  14.02598688
105.8750000,  11.69967396,  11.81153257
106.1250000,  9.574114178,  9.954811609
106.3750000,  7.748612590,  7.928195381
106.6250000,  6.386699876,  6.455959796
106.8750000,  5.043032860,  5.216477169
107.1250000,  4.119081250,  4.330417734
107.3750000,  3.280824591,  3.315969064
107.6250000,  2.585838597,  2.620512831
107.8750000,  2.039027850,  2.081748674
108.1250000,  1.569730301,  1.551747904
108.3750000,  1.181881713,  1.226969874
108.6250000,  0.9491819805,  0.9445419971
108.8750000,  0.7092185196,  0.7036807532
109.1250000,  0.5052158797,  0.5587338204
109.3750000,  0.4092416862,  0.3849390172
109.6250000,  0.2969267004,  0.3299251874
109.8750000,  0.2008399856,  0.2267729406
110.1250000,  0.1658801353,  0.1428447741
110.3750000,  0.1367616893,  0.1255965660
110.6250000,  0.1001060070,  0.08394760238
110.8750000,  0.06596982335,  0.07338760799
111.1250000,  0.05185196039,  0.05219407621
111.3750000,  0.03933615295,  0.03301185899
111.6250000,  0.02906379698,  0.01264424262
111.8750000,  0.01531334268,  0.01353760532
112.1250000,  0.006407776760,  0.007176523600
112.3750000,  0.008741175886,  0.01035418338
112.6250000,  0.001773132357,  0.005163737746
112.8750000,  0.004356110664,  0.002154261008
113.1250000,  0.003229003912,  0.003308099801
113.3750000,  0.0009697745266,  0.0008950028093
113.6250000,  0.0009500718857,  0.001047162751
113.8750000,  0.001622008620,  0.0002848657097
114.1250000,  0.002427242149,  0.001634980703
114.3750000,  0.001710288467,  0.000000000
114.6250000,  0.000000000,  0.000000000
114.8750000,  0.000000000,  0.000000000
115.1250000,  0.000000000,  0.000000000
115.3750000,  0.000000000,  0.000000000
115.6250000,  0.000000000,  0.000000000
115.8750000,  0.000000000,  0.000000000
116.1250000,  0.000000000,  0.000000000
116.3750000,  0.000000000,  0.000000000
116.6250000,  0.000000000,  0.000000000
116.8750000,  0.000000000,  0.000000000
117.1250000,  0.000000000,  0.000000000
117.3750000,  0.000000000,  0.000000000
117.6250000,  0.000000000,  0.000000000
117.8750000,  0.000000000,  0.000000000
118.1250000,  0.000000000,  0.000000000
118.3750000,  0.000000000,  0.000000000
118.6250000,  0.000000000,  0.000000000
118.8750000,  0.000000000,  0.000000000
119.1250000,  0.000000000,  0.000000000
119.3750000,  0.000000000,  0.000000000
119.6250000,  0.000000000,  0.000000000
119.8750000,  0.000000000,  0.000000000
