# Distance [pm],  g1(r),  g2(r)
120.1250000,  0.000000000,  0.000000000
120.3750000,  0.000000000,  0.000000000
120.6250000,  0.000000000,  0.000000000
120.8750000,  0.000000000,  0.000000000
121.1250000,  0.000000000,  0.000000000
121.3750000,  0.000000000,  0.000000000
121.6250000,  0.000000000,  0.000000000
121.8750000,  0.000000000,  0.000000000
122.1250000,  0.000000000,  0.000000000
122.3750000,  0.000000000,  0.000000000
122.6250000,  0.000000000,  0.000000000
122.8750000,  0.000000000,  0.000000000
123.1250000,  0.000000000,  0.000000000
123.3750000,  0.000000000,  0.000000000
123.6250000,  0.000000000,  0.000000000
123.8750000,  0.000000000,  0.000000000
124.1250000,  0.000000000,  0.000000000
124.3750000,  0.000000000,  0.000000000
124.6250000,  0.000000000,  0.000000000
124.8750000,  0.000000000,  0.000000000
125.1250000,  0.000000000,  0.000000000
125.3750000,  0.000000000,  0.000000000
125.6250000,  0.000000000,  0.000000000
125.8750000,  0.000000000,  0.000000000
126.1250000,  0.000000000,  0.000000000
126.3750000,  0.000000000,  0.0005233502533
126.6250000,  0.000000000,  0.001315583092
126.8750000,  0.000000000,  0.000000000
127.1250000,  0.000000000,  0.000000000
127.3750000,  0.000000000,  0.0001594802266
127.6250000,  0.000000000,  0.002607268801
127.8750000,  0.000000000,  0.0009111176622
128.1250000,  0.000000000,  0.0004871575784
128.3750000,  0.002665268741,  0.003009508300
128.6250000,  0.003753944245,  0.002842080315
128.8750000,  0.0009365203941,  0.005585488381
129.1250000,  0.004680849273,  0.001781357161
129.3750000,  0.01066255502,  0.006310184107
129.6250000,  0.01082044315,  0.008886656994
129.8750000,  0.01019937013,  0.01344401769
130.1250000,  0.02028124983,  0.01568230219
130.3750000,  0.02724524612,  0.02490885566
130.6250000,  0.04296182519,  0.02845897622
130.8750000,  0.05690394652,  0.03813987841
131.1250000,  0.08141286311,  0.05551781910
131.3750000,  0.09588551166,  0.1060861574
131.6250000,  0.1549004853,  0.1297416937
131.8750000,  0.1643992678,  0.1880968607
132.1250000,  0.2331194143,  0.2644033290
132.3750000,  0.3445113317,  0.3418114236
132.6250000,  0.4483138067,  0.4409533771
132.8750000,  0.5450724793,  0.5281027266
133.1250000,  0.7416640677,  0.6948895039
133.3750000,  0.9563773644,  0.9875258137
133.6250000,  1.198506996,  1.115213037
133.8750000,  1.605275706,  1.535185456
