# Distance [pm],  g(r)
130.1250000,  0.000000000
130.3750000,  0.000000000
130.6250000,  0.000000000
130.8750000,  0.000000000
131.1250000,  0.000000000
131.3750000,  0.000000000
131.6250000,  0.000000000
131.8750000,  0.000000000
132.1250000,  0.000000000
132.3750000,  0.000000000
132.6250000,  0.000000000
132.8750000,  0.000000000
133.1250000,  0.000000000
133.3750000,  0.000000000
133.6250000,  0.000000000
133.8750000,  0.000000000
134.1250000,  0.000000000
134.3750000,  0.000000000
134.6250000,  0.000000000
134.8750000,  0.000000000
135.1250000,  0.000000000
135.3750000,  0.000000000
135.6250000,  0.000000000
135.8750000,  0.000000000
136.1250000,  0.000000000
136.3750000,  0.000000000
136.6250000,  0.000000000
136.8750000,  0.000000000
137.1250000,  0.000000000
137.3750000,  0.000000000
137.6250000,  0.000000000
137.8750000,  0.000000000
138.1250000,  0.000000000
138.3750000,  0.000000000
138.6250000,  5.980613756E-05
138.8750000,  0.001617425864
139.1250000,  0.001202537617
139.3750000,  0.000000000
139.6250000,  0.000000000
139.8750000,  0.001634950250
140.1250000,  0.005492048911
140.3750000,  0.003521114662
140.6250000,  0.008477751150
140.8750000,  0.01230483042
141.1250000,  0.01879251878
141.3750000,  0.01768309001
141.6250000,  0.02306155531
141.8750000,  0.02886164516
142.1250000,  0.04086723765
142.3750000,  0.07524280686
142.6250000,  0.1052717185
142.8750000,  0.1339761516
143.1250000,  0.1699880655
143.3750000,  0.2131677405
143.6250000,  0.2885671403
143.8750000,  0.3889940876
144.1250000,  0.5263313103
144.3750000,  0.6717604266
144.6250000,  0.8657793488
144.8750000,  1.135217958
145.1250000,  1.424695147
145.3750000,  1.903485380
145.6250000,  2.316415252
145.8750000,  2.889657860
146.1250000,  3.622397183
146.3750000,  4.498647448
146.6250000,  5.570995568
146.8750000,  6.758847220
147.1250000,  8.127537473
147.3750000,  9.882035963
147.6250000,  11.71009157
147.8750000,  13.85474726
148.1250000,  16.60458784
148.3750000,  19.51012298
148.6250000,  22.60213149
148.8750000,  26.18641501
149.1250000,  30.02132155
149.3750000,  34.63473218
149.6250000,  39.17144571
149.8750000,  44.02261094
150.1250000,  49.43101671
150.3750000,  55.30035601
150.6250000,  60.99100519
150.8750000,  67.19623166
151.1250000,  73.56245173
151.3750000,  79.36646976
151.6250000,  85.53121231
151.8750000,  92.06410901
152.1250000,  97.71079818
152.3750000,  103.4275948
152.6250000,  108.9709727
152.8750000,  113.8097279
153.1250000,  118.3463504
153.3750000,  121.7308156
153.6250000,  124.3464279
153.8750000,  126.2093312
154.1250000,  127.5129422
154.3750000,  128.9646912
154.6250000,  128.4081854
154.8750000,  126.9310456
155.1250000,  124.9745695
155.3750000,  122.2790831
155.6250000,  119.0599108
155.8750000,  115.1889185
156.1250000,  110.3781085
156.3750000,  105.3314871
156.6250000,  99.04198644
156.8750000,  93.63859373
157.1250000,  87.80022994
157.3750000,  81.38501427
157.6250000,  74.96884788
157.8750000,  69.22610848
158.1250000,  63.24149489
158.3750000,  57.35397138
158.6250000,  51.41283691
158.8750000,  45.50839207
159.1250000,  40.42799685
159.3750000,  35.84549494
159.6250000,  31.55129044
159.8750000,  27.37782497
160.1250000,  23.52535161
160.3750000,  20.44005857
160.6250000,  17.37089815
160.8750000,  14.85851966
161.1250000,  12.47831941
161.3750000,  10.42907681
161.6250000,  8.743707683
161.8750000,  7.163722797
162.1250000,  5.913345617
162.3750000,  4.752304995
162.6250000,  3.890131528
162.8750000,  3.105703683
163.1250000,  2.489937503
163.3750000,  2.061811358
163.6250000,  1.569431829
163.8750000,  1.223867628
164.1250000,  0.9476278394
164.3750000,  0.7822833600
164.6250000,  0.6185497491
164.8750000,  0.4439260534
165.1250000,  0.3429864225
165.3750000,  0.2644175780
165.6250000,  0.1979529600
165.8750000,  0.1521598891
166.1250000,  0.1176399125
166.3750000,  0.07512878228
166.6250000,  0.05986758175
166.8750000,  0.03787719245
167.1250000,  0.02619905802
167.3750000,  0.01627567183
167.6250000,  0.01419654229
167.8750000,  0.01039005671
168.1250000,  0.007860565128
168.3750000,  0.006088321263
168.6250000,  0.002010586846
168.8750000,  0.002358028201
169.1250000,  0.002122481359
169.3750000,  0.0008482523135
169.6250000,  0.0003537491957
169.8750000,  0.000000000
170.1250000,  0.000000000
170.3750000,  0.000000000
170.6250000,  0.000000000
170.8750000,  0.000000000
171.1250000,  0.000000000
171.3750000,  0.000000000
171.6250000,  0.000000000
171.8750000,  0.000000000
172.1250000,  0.000000000
172.3750000,  0.000000000
172.6250000,  0.000000000
172.8750000,  0.000000000
173.1250000,  0.000000000
173.3750000,  0.000000000
173.6250000,  0.000000000
173.8750000,  0.000000000
174.1250000,  0.000000000
174.3750000,  0.000000000
174.6250000,  0.000000000
174.8750000,  0.000000000
175.1250000,  0.000000000
175.3750000,  0.000000000
175.6250000,  0.000000000
175.8750000,  0.000000000
176.1250000,  0.000000000
176.3750000,  0.000000000
176.6250000,  0.000000000
176.8750000,  0.000000000
177.1250000,  0.000000000
177.3750000,  0.000000000
177.6250000,  0.000000000
177.8750000,  0.000000000
178.1250000,  0.000000000
178.3750000,  0.000000000
178.6250000,  0.000000000
178.8750000,  0.000000000
179.1250000,  0.000000000
179.3750000,  0.000000000
179.6250000,  0.000000000
179.8750000,  0.000000000
