# Distance [pm],  g1(r),  g2(r)
80.12500000,  0.000000000,  0.000000000
80.37500000,  0.000000000,  0.000000000
80.62500000,  0.000000000,  0.000000000
80.87500000,  0.000000000,  0.000000000
81.12500000,  0.000000000,  0.000000000
81.37500000,  0.000000000,  0.000000000
81.62500000,  0.000000000,  0.000000000
81.87500000,  0.000000000,  0.000000000
82.12500000,  0.000000000,  0.000000000
82.37500000,  0.000000000,  0.000000000
82.62500000,  0.000000000,  0.000000000
82.87500000,  0.000000000,  0.000000000
83.12500000,  0.000000000,  0.000000000
83.37500000,  0.000000000,  0.000000000
83.62500000,  0.000000000,  0.000000000
83.87500000,  0.000000000,  0.000000000
84.12500000,  0.000000000,  0.000000000
84.37500000,  0.001581000180,  0.000000000
84.62500000,  0.0009443843571,  0.000000000
84.87500000,  0.0003543850811,  0.0001807698391
85.12500000,  0.0009530022472,  0.0007876204769
85.37500000,  6.920958948E-06,  0.0009514560963
85.62500000,  0.0009013175783,  0.0005684025717
85.87500000,  0.003019846223,  0.003643031680
86.12500000,  0.004308656683,  0.004991885453
86.37500000,  0.006671384777,  0.003045243211
86.62500000,  0.009401257435,  0.005105896835
86.87500000,  0.008961150686,  0.01417581994
87.12500000,  0.01253206064,  0.01353180909
87.37500000,  0.02107736514,  0.01950229110
87.62500000,  0.03092432989,  0.03406804539
87.87500000,  0.04942241590,  0.04478433486
88.12500000,  0.07288643353,  0.05725035316
88.37500000,  0.09743869419,  0.09695294839
88.62500000,  0.1293492901,  0.1191191743
88.87500000,  0.1867684472,  0.1703100810
89.12500000,  0.2577877015,  0.2378588637
89.37500000,  0.3689416822,  0.3329951008
89.62500000,  0.4674347697,  0.4949659335
89.87500000,  0.5872760984,  0.6235964401
90.12500000,  0.7821011033,  0.8169955233
90.37500000,  1.101495353,  1.043657901
90.62500000,  1.401561188,  1.389761434
90.87500000,  1.766433077,  1.734515604
91.12500000,  2.304444215,  2.295909573
91.37500000,  2.917445184,  2.931908604
91.62500000,  3.720543388,  3.727531135
91.87500000,  4.634511521,  4.687724039
92.12500000,  5.897522161,  5.791846451
92.37500000,  7.336289349,  7.163401127
92.62500000,  8.979666149,  8.835302253
92.87500000,  10.92726310,  10.87777535
93.12500000,  13.28712846,  12.99918322
93.37500000,  15.75317787,  15.67433450
93.62500000,  18.59357309,  18.80334583
93.87500000,  22.08388097,  22.28180123
94.12500000,  26.04675068,  26.18415695
94.37500000,  30.46800894,  30.54379461
94.62500000,  35.28097743,  35.46362849
94.87500000,  40.53860605,  40.34883891
95.12500000,  45.99944232,  46.30475532
95.37500000,  52.38903327,  52.22185547
95.62500000,  58.97508108,  58.36716983
95.87500000,  65.98624687,  65.30247110
96.12500000,  72.28357577,  72.28112565
96.37500000,  79.74766309,  79.55604160
96.62500000,  86.66431772,  86.76748849
96.87500000,  94.14083289,  93.90228228
97.12500000,  101.0673084,  101.0320945
97.37500000,  107.3864451,  107.8044986
97.62500000,  113.8112511,  113.6756648
97.87500000,  119.6802047,  119.5090937
98.12500000,  124.5593419,  124.2480023
98.37500000,  129.5308803,  129.1622673
98.62500000,  132.7092991,  132.6997106
98.87500000,  135.6570027,  135.1445427
99.12500000,  137.0549766,  136.8682929
99.37500000,  137.4114671,  137.6686536
99.62500000,  137.2746543,  137.2426851
99.87500000,  136.1071716,  136.0215398
100.1250000,  133.4041445,  133.7571897
100.3750000,  130.2315762,  130.5899646
100.6250000,  126.2066913,  125.8925501
100.8750000,  120.7199999,  121.1973572
101.1250000,  115.2607115,  115.5427987
101.3750000,  109.4087518,  109.4156108
101.6250000,  102.6890666,  102.9650844
101.8750000,  95.75957425,  95.89681386
102.1250000,  88.68951650,  88.79195269
102.3750000,  81.35194273,  81.50355387
102.6250000,  74.15381650,  74.44834437
102.8750000,  67.19004586,  67.21905568
103.1250000,  60.54210651,  60.26397511
103.3750000,  53.79501597,  53.98140453
103.6250000,  47.87057137,  47.69201513
103.8750000,  42.08473161,  42.25162714
104.1250000,  36.58496662,  36.53563906
104.3750000,  31.77504224,  31.94270430
104.6250000,  27.06288691,  27.44791476
104.8750000,  23.20808846,  23.30118429
105.1250000,  19.60298060,  19.66290495
105.3750000,  16.65169952,  16.69850320
105.6250000,  13.89773589,  13.96140381
105.8750000,  11.51543888,  11.47647188
106.1250000,  9.368009746,  9.457273857
106.3750000,  7.569654359,  7.704058861
106.6250000,  6.200366947,  6.171037259
106.8750000,  5.087873940,  4.990872402
107.1250000,  4.000587809,  3.937609348
107.3750000,  3.133853428,  3.195844793
107.6250000,  2.477888930,  2.472429101
107.8750000,  1.925168734,  1.890249412
108.1250000,  1.455322522,  1.480352022
108.3750000,  1.163035570,  1.181167012
108.6250000,  0.8937965120,  0.8889258212
108.8750000,  0.6750307413,  0.6675256059
109.1250000,  0.4772075310,  0.5093069368
109.3750000,  0.3707817246,  0.3738768211
109.6250000,  0.2773221024,  0.2721708562
109.8750000,  0.2019489890,  0.1872333734
110.1250000,  0.1452490587,  0.1588449649
110.3750000,  0.09236344663,  0.1024754438
110.6250000,  0.07924841991,  0.07100786624
110.8750000,  0.04223339670,  0.05684978717
111.1250000,  0.03577269197,  0.04538592006
111.3750000,  0.03136011298,  0.02913201940
111.6250000,  0.01796154247,  0.02476698216
111.8750000,  0.01575365805,  0.01456519358
112.1250000,  0.008853385254,  0.008604260775
112.3750000,  0.005808844410,  0.006163432416
112.6250000,  0.003872832819,  0.004577604046
112.8750000,  0.003607409826,  0.002795559411
113.1250000,  0.003062272793,  0.003563675600
113.3750000,  0.002270600418,  0.0003159077898
113.6250000,  0.0001529288047,  0.0004398753618
113.8750000,  0.000000000,  0.0005200478444
114.1250000,  0.000000000,  0.000000000
114.3750000,  0.000000000,  0.000000000
114.6250000,  0.000000000,  0.000000000
114.8750000,  0.000000000,  0.000000000
115.1250000,  0.000000000,  0.000000000
115.3750000,  0.000000000,  0.000000000
115.6250000,  4.608242821E-05,  0.000000000
115.8750000,  0.0009138407779,  0.000000000
116.1250000,  0.000000000,  0.000000000
116.3750000,  0.000000000,  0.000000000
116.6250000,  0.000000000,  0.000000000
116.8750000,  0.000000000,  0.000000000
117.1250000,  0.000000000,  0.000000000
117.3750000,  0.000000000,  0.000000000
117.6250000,  0.000000000,  0.000000000
117.8750000,  0.000000000,  0.000000000
118.1250000,  0.000000000,  0.000000000
118.3750000,  0.000000000,  0.000000000
118.6250000,  0.000000000,  0.000000000
118.8750000,  0.000000000,  0.000000000
119.1250000,  0.000000000,  0.000000000
119.3750000,  0.000000000,  0.000000000
119.6250000,  0.000000000,  0.000000000
119.8750000,  0.000000000,  0.000000000
