# Dihedral Angle (Degree),  Occurrence1,  Occurrence2
1.000000000,  75.37426688,  75.98610997
3.000000000,  75.56417240,  75.51803090
5.000000000,  75.62904094,  76.09345174
7.000000000,  75.54153633,  75.14500735
9.000000000,  75.87645673,  76.10079846
11.00000000,  76.80759920,  76.48916235
13.00000000,  76.59456244,  77.37084249
15.00000000,  77.32424279,  77.54313753
17.00000000,  78.40012028,  77.79087408
19.00000000,  78.58185783,  79.44371712
21.00000000,  79.59307970,  81.44632608
23.00000000,  81.67712158,  83.52164373
25.00000000,  83.56807601,  84.66131647
27.00000000,  84.42711219,  86.67584098
29.00000000,  86.23563943,  89.34754705
31.00000000,  88.54694725,  91.94481830
33.00000000,  90.16735959,  96.48352031
35.00000000,  93.38814231,  99.37198457
37.00000000,  95.94267860,  101.7601204
39.00000000,  98.01168008,  106.2793893
41.00000000,  101.6715008,  109.1889260
43.00000000,  106.1127803,  111.9069406
45.00000000,  109.4563270,  115.4068031
47.00000000,  112.0108543,  118.9343183
49.00000000,  115.2471868,  122.4292325
51.00000000,  117.9388792,  123.9812254
53.00000000,  121.1465328,  127.1980775
55.00000000,  122.5185260,  128.7547402
57.00000000,  123.5394105,  130.2768418
59.00000000,  125.9574692,  130.7761427
61.00000000,  126.0878908,  130.8080605
63.00000000,  124.7686470,  129.0388776
65.00000000,  123.3478386,  128.5722453
67.00000000,  121.9883481,  126.0662252
69.00000000,  119.6666357,  121.8409163
71.00000000,  116.6320266,  117.3626906
73.00000000,  111.7198403,  113.0916259
75.00000000,  107.1900902,  108.4393599
77.00000000,  102.6176442,  103.8220180
79.00000000,  97.96504268,  98.29958432
81.00000000,  93.83394485,  93.80157160
83.00000000,  90.57998000,  89.01679742
85.00000000,  86.86570163,  84.59532002
87.00000000,  85.26686848,  81.77264552
89.00000000,  82.40592853,  80.04183026
91.00000000,  81.06737303,  79.71418984
93.00000000,  79.90969579,  78.64644475
95.00000000,  80.75212482,  79.72783948
97.00000000,  83.10388320,  81.84303702
