# Dihedral Angle (Degree),  Occurrence1,  Occurrence2
1.000000000,  77.75451274,  71.34884313
3.000000000,  77.34181231,  70.75244223
5.000000000,  77.43731913,  71.03195238
7.000000000,  78.78744201,  71.86344898
9.000000000,  78.19806940,  72.50225242
11.00000000,  79.35702818,  73.32316615
13.00000000,  78.63584606,  74.07618704
15.00000000,  77.77438908,  74.87078465
17.00000000,  79.15910736,  74.99324742
19.00000000,  80.28153859,  76.81284709
21.00000000,  81.48795601,  78.28555149
23.00000000,  83.29442769,  80.50257814
25.00000000,  84.11771166,  81.99294932
27.00000000,  86.69390455,  84.48969212
29.00000000,  87.86495658,  86.66026002
31.00000000,  89.29650868,  89.48855046
33.00000000,  91.04161922,  92.36784196
35.00000000,  95.22989373,  95.93139040
37.00000000,  98.32997156,  100.0375861
39.00000000,  100.2130736,  103.1604691
41.00000000,  104.0282954,  105.6169249
43.00000000,  107.1635021,  108.8542528
45.00000000,  110.5067866,  113.5282163
47.00000000,  113.2440407,  116.9980026
49.00000000,  117.1581133,  120.1540031
51.00000000,  118.8897253,  122.8058081
53.00000000,  120.4864501,  125.0285265
55.00000000,  122.9560755,  126.3664782
57.00000000,  124.6071247,  128.4529483
59.00000000,  124.5749250,  128.8300660
61.00000000,  124.3297422,  128.5805094
63.00000000,  123.7524422,  128.4682515
65.00000000,  123.2046898,  126.0850989
67.00000000,  121.5029807,  125.2041932
69.00000000,  118.0215240,  121.5890727
71.00000000,  114.8270309,  117.3970054
73.00000000,  110.2181135,  113.0824140
75.00000000,  106.5172694,  108.2145484
77.00000000,  102.4940069,  103.8971650
79.00000000,  97.89976358,  98.94275879
81.00000000,  93.38317744,  93.71127611
83.00000000,  88.32363229,  89.38142544
85.00000000,  85.43187476,  85.93797063
87.00000000,  83.45949987,  82.74060264
89.00000000,  80.74010415,  80.54474387
91.00000000,  79.12274397,  78.97468137
93.00000000,  78.75608089,  78.69579348
95.00000000,  80.57787519,  78.75728963
97.00000000,  82.79837979,  80.50324975
99.00000000,  85.23455021,  83.61567925
101.0000000,  89.16126966,  87.37366178
103.0000000,  93.67715707,  92.35107142
105.0000000,  99.13344911,  98.16469557
107.0000000,  104.8569226,  104.1000504
109.0000000,  111.3295002,  109.5711381
111.0000000,  115.8822810,  116.7410216
113.0000000,  121.3276153,  121.6887812
115.0000000,  127.4023033,  125.3479149
117.0000000,  129.1470606,  129.1406892
119.0000000,  131.4433375,  132.5138219
121.0000000,  132.3354930,  132.8835459
123.0000000,  131.7727123,  132.4789395
125.0000000,  130.1606388,  130.7144824
127.0000000,  127.3523001,  129.1878189
129.0000000,  124.2323784,  125.8461156
131.0000000,  120.8941112,  122.4565929
133.0000000,  116.4943562,  118.2743405
135.0000000,  111.8423205,  114.0313610
137.0000000,  105.2141953,  108.8072868
139.0000000,  101.0082923,  103.4231810
141.0000000,  97.00405227,  99.24379138
143.0000000,  94.22869103,  96.74255406
145.0000000,  91.54763128,  94.26640195
147.0000000,  89.08270644,  91.41227857
149.0000000,  88.11537297,  90.10741576
151.0000000,  87.93097662,  89.26822528
153.0000000,  88.29133480,  88.28870737
155.0000000,  88.83968386,  90.30577143
157.0000000,  90.25169732,  92.13619583
159.0000000,  93.64399170,  93.69670279
161.0000000,  97.29546782,  95.31553657
163.0000000,  99.67991990,  98.70293192
165.0000000,  102.8485031,  101.8342414
167.0000000,  106.4682081,  103.9348207
169.0000000,  110.2161626,  106.2873584
171.0000000,  113.9778873,  109.3134402
173.0000000,  115.6195329,  111.9718972
175.0000000,  117.7254354,  114.0910574
177.0000000,  121.1057209,  116.3473922
179.0000000,  120.6253971,  116.2540409
181.0000000,  121.1361293,  116.0294342
183.0000000,  119.8907093,  115.1152661
185.0000000,  118.4440987,  113.5556963
187.0000000,  115.9989395,  111.7703158
189.0000000,  113.2266262,  109.0875308
191.0000000,  109.6926726,  105.5137295
193.0000000,  106.3795479,  102.3701002
195.0000000,  101.8145219,  99.39010469
197.0000000,  97.69111079,  96.00354280
199.0000000,  94.57250301,  93.49575666
201.0000000,  92.33716149,  91.13585734
203.0000000,  90.11337396,  88.84703829
205.0000000,  87.36268498,  87.93683112
207.0000000,  85.35610790,  87.25712226
209.0000000,  84.20154296,  86.85268097
211.0000000,  84.22442948,  87.85273038
213.0000000,  85.26759533,  87.63681035
215.0000000,  87.21591842,  90.39336277
217.0000000,  89.41191865,  94.16450797
219.0000000,  91.73629687,  97.41396615
221.0000000,  96.06285964,  101.7377474
223.0000000,  100.1640166,  105.4714853
225.0000000,  104.1537495,  110.5098899
227.0000000,  108.5823106,  115.6175698
229.0000000,  113.3087952,  120.3019501
231.0000000,  118.0166475,  122.7729012
233.0000000,  122.5233931,  126.7975899
235.0000000,  124.7684647,  128.4980324
237.0000000,  126.8673938,  130.6473219
239.0000000,  128.4932189,  130.6213550
241.0000000,  127.5545361,  131.1729316
243.0000000,  126.4900321,  127.6188080
245.0000000,  122.6034897,  123.6912868
247.0000000,  118.0950594,  118.6178266
249.0000000,  114.0624104,  112.8549717
251.0000000,  107.1590833,  107.3450090
253.0000000,  101.1542632,  101.1617870
255.0000000,  96.05932306,  94.73405733
257.0000000,  90.15172167,  89.57332858
259.0000000,  84.13789262,  84.46481009
261.0000000,  81.17798580,  80.05361354
263.0000000,  77.57186639,  78.12370061
265.0000000,  75.93534711,  76.71997156
267.0000000,  74.91870740,  75.60171748
269.0000000,  74.75304782,  76.35045218
271.0000000,  76.73660693,  77.54165920
273.0000000,  78.48999030,  79.33958529
275.0000000,  80.03188308,  82.44958488
277.0000000,  82.81955903,  84.93043737
279.0000000,  86.40508083,  87.95000604
281.0000000,  91.16012719,  92.60890954
283.0000000,  95.37859700,  97.50832788
285.0000000,  98.46650568,  102.2520897
287.0000000,  102.6433177,  106.3646641
289.0000000,  106.8956088,  110.6574456
291.0000000,  110.9918728,  114.0217576
293.0000000,  113.7419915,  116.7395810
295.0000000,  115.7660552,  119.2041303
297.0000000,  117.1992352,  120.4792142
299.0000000,  117.5340651,  120.9568827
301.0000000,  118.3519982,  120.7876228
303.0000000,  117.7120562,  121.1699781
305.0000000,  116.9591038,  119.5727149
307.0000000,  115.4958876,  116.4900397
309.0000000,  112.8492441,  114.1403048
311.0000000,  110.1777815,  112.5710867
313.0000000,  108.8202606,  109.9696530
315.0000000,  106.4653946,  106.8739532
317.0000000,  103.7531155,  103.4539839
319.0000000,  100.3750196,  100.1158803
321.0000000,  98.30063961,  97.61417887
323.0000000,  95.03502202,  93.56214998
325.0000000,  92.09276063,  91.66357828
327.0000000,  89.68123333,  89.11071527
329.0000000,  87.95498856,  85.11343585
331.0000000,  85.85456789,  82.70722128
333.0000000,  84.81204548,  80.63715822
335.0000000,  83.04001816,  78.54645184
337.0000000,  81.42617597,  77.23327365
339.0000000,  80.26549945,  75.83279288
341.0000000,  79.91476999,  74.81331731
343.0000000,  78.70197672,  74.14010964
345.0000000,  78.04864122,  72.45374098
347.0000000,  77.24481676,  71.32439884
349.0000000,  77.67518497,  71.01782344
351.0000000,  77.74012184,  70.73628538
353.0000000,  77.75729803,  70.48665816
355.0000000,  78.07065611,  70.06940473
357.0000000,  77.30448763,  71.03015412
359.0000000,  77.34555620,  70.80689024
