# Dihedral Angle (Degree),  Occurrence
1.000000000,  0.1812459151
3.000000000,  0.2162762760
5.000000000,  0.2640144193
7.000000000,  0.3288755480
9.000000000,  0.3000361987
11.00000000,  0.3357307126
13.00000000,  0.4888783081
15.00000000,  0.5072468504
17.00000000,  0.7753844287
19.00000000,  1.197995631
21.00000000,  1.510064368
23.00000000,  2.026558894
25.00000000,  3.077395257
27.00000000,  4.489560974
29.00000000,  6.668004942
31.00000000,  9.235661637
33.00000000,  13.76708348
35.00000000,  19.69772092
37.00000000,  28.86174105
39.00000000,  40.25239929
41.00000000,  57.03790296
43.00000000,  79.79516735
45.00000000,  108.2791988
47.00000000,  143.1967329
49.00000000,  188.0390763
51.00000000,  239.9082427
53.00000000,  299.0970034
55.00000000,  360.3901069
57.00000000,  425.6326925
59.00000000,  491.1158493
61.00000000,  545.7927143
63.00000000,  588.5716574
65.00000000,  617.2404925
67.00000000,  628.8429021
69.00000000,  622.0802429
71.00000000,  594.3625188
73.00000000,  551.4413453
75.00000000,  499.7365433
77.00000000,  439.0831698
79.00000000,  375.2900431
81.00000000,  310.7297886
83.00000000,  252.6804032
85.00000000,  201.8436221
87.00000000,  156.1740345
89.00000000,  118.4753142
91.00000000,  89.32162422
93.00000000,  65.94723746
95.00000000,  48.93305628
97.00000000,  35.58212321
99.00000000,  25.83922038
101.0000000,  18.73064935
103.0000000,  13.61825955
105.0000000,  10.09237426
107.0000000,  7.780096359
109.0000000,  5.785457881
111.0000000,  4.299582008
113.0000000,  3.631730496
115.0000000,  2.703986705
117.0000000,  2.302686089
119.0000000,  1.819096238
121.0000000,  1.648584931
123.0000000,  1.456248608
125.0000000,  1.342465933
127.0000000,  1.278004917
129.0000000,  1.176064257
131.0000000,  1.239804711
133.0000000,  1.314815047
135.0000000,  1.309318077
137.0000000,  1.371827526
139.0000000,  1.496750115
141.0000000,  1.748502811
143.0000000,  1.933667343
145.0000000,  2.261002593
147.0000000,  2.603540852
149.0000000,  2.792502054
151.0000000,  3.275083403
153.0000000,  3.676401549
155.0000000,  4.165845331
157.0000000,  4.919797287
159.0000000,  5.428480909
161.0000000,  6.215899171
163.0000000,  6.914178424
165.0000000,  8.052535694
167.0000000,  8.924818040
169.0000000,  9.385240483
171.0000000,  9.999999296
173.0000000,  11.01107815
175.0000000,  11.07197973
177.0000000,  11.62739530
179.0000000,  11.86307421
181.0000000,  12.01222822
183.0000000,  11.72546532
185.0000000,  10.93966992
187.0000000,  10.57704910
189.0000000,  10.23023296
191.0000000,  9.407254582
193.0000000,  8.552596871
195.0000000,  7.578902704
197.0000000,  6.598333121
199.0000000,  5.842977676
201.0000000,  5.153584687
203.0000000,  4.569148051
205.0000000,  3.923435029
207.0000000,  3.399574853
209.0000000,  3.009941306
211.0000000,  2.520470744
213.0000000,  2.230986609
215.0000000,  1.884788139
217.0000000,  1.616439993
219.0000000,  1.409039008
221.0000000,  1.248050199
223.0000000,  1.047789135
225.0000000,  0.9617457285
227.0000000,  0.9712654835
229.0000000,  0.9948560495
231.0000000,  1.096879250
233.0000000,  1.081275523
235.0000000,  1.205183190
237.0000000,  1.304579739
239.0000000,  1.394948224
241.0000000,  1.733677887
243.0000000,  2.005829401
245.0000000,  2.337097507
247.0000000,  2.975621439
249.0000000,  3.944614200
251.0000000,  5.204801877
253.0000000,  6.403807160
255.0000000,  9.137081677
257.0000000,  12.29803601
259.0000000,  16.65250129
261.0000000,  23.16827205
263.0000000,  31.56126817
265.0000000,  43.46111621
267.0000000,  59.83410900
269.0000000,  80.14511903
271.0000000,  105.6941518
273.0000000,  137.9238989
275.0000000,  177.2861891
277.0000000,  223.2772434
279.0000000,  275.8494173
281.0000000,  333.1712259
283.0000000,  390.2086286
285.0000000,  444.2871202
287.0000000,  491.1896728
289.0000000,  525.7303003
291.0000000,  550.9592001
293.0000000,  556.3786537
295.0000000,  548.0971582
297.0000000,  523.3135045
299.0000000,  483.8096973
301.0000000,  437.0284330
303.0000000,  384.4811747
305.0000000,  325.7096910
307.0000000,  270.3568263
309.0000000,  218.5920153
311.0000000,  171.5857297
313.0000000,  131.3553337
315.0000000,  98.86783560
317.0000000,  72.62953466
319.0000000,  52.93307582
321.0000000,  37.73965904
323.0000000,  27.10927224
325.0000000,  18.86328388
327.0000000,  12.75833061
329.0000000,  9.240354341
331.0000000,  6.342277842
333.0000000,  4.313919749
335.0000000,  3.000895923
337.0000000,  2.058847574
339.0000000,  1.383589947
341.0000000,  0.9732872692
343.0000000,  0.7451433500
345.0000000,  0.5598162200
347.0000000,  0.3735606254
349.0000000,  0.3653489842
351.0000000,  0.2974020072
353.0000000,  0.2579525642
355.0000000,  0.2493482267
357.0000000,  0.2199625720
359.0000000,  0.1696630839
