# Dihedral Angle (Degree),  Occurrence
1.000000000,  0.1434205068
3.000000000,  0.1643453741
5.000000000,  0.2205224279
7.000000000,  0.2439428799
9.000000000,  0.2666624659
11.00000000,  0.3217951708
13.00000000,  0.4884284108
15.00000000,  0.5351922142
17.00000000,  0.6811008352
19.00000000,  1.095765116
21.00000000,  1.495670319
23.00000000,  2.288337946
25.00000000,  2.974728478
27.00000000,  4.386892965
29.00000000,  6.398120946
31.00000000,  9.518707029
33.00000000,  13.29016372
35.00000000,  19.63004296
37.00000000,  28.66186849
39.00000000,  40.90463477
41.00000000,  57.08156560
43.00000000,  78.52796209
45.00000000,  106.7454036
47.00000000,  142.2634086
49.00000000,  184.6491125
51.00000000,  235.5557816
53.00000000,  292.3698171
55.00000000,  354.6259006
57.00000000,  417.4819481
59.00000000,  477.4434902
61.00000000,  530.3296998
63.00000000,  572.9604712
65.00000000,  603.0581346
67.00000000,  613.8695265
69.00000000,  605.1649225
71.00000000,  580.8248925
73.00000000,  541.0594486
75.00000000,  488.1385871
77.00000000,  428.8609387
79.00000000,  366.5219454
81.00000000,  306.9170589
83.00000000,  250.4756035
85.00000000,  198.1191858
87.00000000,  153.5176189
89.00000000,  116.8381449
91.00000000,  88.33289752
93.00000000,  66.19417703
95.00000000,  48.95918247
97.00000000,  35.87202854
99.00000000,  25.58594219
101.0000000,  18.88367403
103.0000000,  13.85143681
105.0000000,  10.05006238
107.0000000,  7.489379422
109.0000000,  5.612673298
111.0000000,  4.320559764
113.0000000,  3.442783945
115.0000000,  2.698212979
117.0000000,  2.370718702
119.0000000,  1.928136384
121.0000000,  1.776049690
123.0000000,  1.624508465
125.0000000,  1.393615628
127.0000000,  1.333788195
129.0000000,  1.265603468
131.0000000,  1.245757256
133.0000000,  1.322739652
135.0000000,  1.194716939
137.0000000,  1.379311507
139.0000000,  1.587586308
141.0000000,  1.706887368
143.0000000,  1.940596892
145.0000000,  2.281026545
147.0000000,  2.669211311
149.0000000,  2.921032082
151.0000000,  3.338074488
153.0000000,  3.804946060
155.0000000,  4.274895296
157.0000000,  4.964654374
159.0000000,  5.892914354
161.0000000,  6.611739953
163.0000000,  7.543409565
165.0000000,  8.412473637
167.0000000,  9.273498481
169.0000000,  10.01762066
171.0000000,  10.78498313
173.0000000,  11.32244990
175.0000000,  11.87776509
177.0000000,  12.14214493
179.0000000,  12.35977574
181.0000000,  12.30990079
183.0000000,  12.21293295
185.0000000,  11.82330983
187.0000000,  11.31693024
189.0000000,  10.57760006
191.0000000,  9.630400819
193.0000000,  9.100586015
195.0000000,  8.108442920
197.0000000,  7.413787902
199.0000000,  6.363557672
201.0000000,  5.585142636
203.0000000,  4.995825587
205.0000000,  4.385443306
207.0000000,  3.957861012
209.0000000,  3.335899837
211.0000000,  2.789056762
213.0000000,  2.494611803
215.0000000,  2.143366037
217.0000000,  1.863402501
219.0000000,  1.610405495
221.0000000,  1.495448746
223.0000000,  1.270374043
225.0000000,  1.149926337
227.0000000,  1.219535366
229.0000000,  1.186635614
231.0000000,  1.205926642
233.0000000,  1.210654797
235.0000000,  1.285745211
237.0000000,  1.322844794
239.0000000,  1.525502986
241.0000000,  1.804562636
243.0000000,  2.176387121
245.0000000,  2.654112113
247.0000000,  3.352886006
249.0000000,  4.124951061
251.0000000,  5.375641435
253.0000000,  6.943861387
255.0000000,  9.479178613
257.0000000,  12.76439781
259.0000000,  17.72540305
261.0000000,  23.80168431
263.0000000,  32.51734984
265.0000000,  44.61050592
267.0000000,  61.03386642
269.0000000,  80.75361901
271.0000000,  107.8656527
273.0000000,  141.5939800
275.0000000,  182.5357557
277.0000000,  229.0416086
279.0000000,  282.5997805
281.0000000,  339.5642574
283.0000000,  398.7294690
285.0000000,  451.9174910
287.0000000,  497.1844539
289.0000000,  535.9578897
291.0000000,  563.4567011
293.0000000,  572.2162349
295.0000000,  561.3480782
297.0000000,  535.2816440
299.0000000,  497.1187585
301.0000000,  447.1192974
303.0000000,  391.2937378
305.0000000,  333.4089593
307.0000000,  274.3928656
309.0000000,  221.2718372
311.0000000,  174.1920849
313.0000000,  133.8320299
315.0000000,  99.63494956
317.0000000,  73.59875808
319.0000000,  54.47005771
321.0000000,  38.10470295
323.0000000,  26.50304034
325.0000000,  18.09648975
327.0000000,  12.57022584
329.0000000,  8.894237814
331.0000000,  6.201710710
333.0000000,  4.355632195
335.0000000,  2.842803651
337.0000000,  1.974938837
339.0000000,  1.304428290
341.0000000,  1.047766158
343.0000000,  0.7004485976
345.0000000,  0.6375119284
347.0000000,  0.5115970771
349.0000000,  0.3633577418
351.0000000,  0.2924205405
353.0000000,  0.2861176141
355.0000000,  0.2784255839
357.0000000,  0.2157711276
359.0000000,  0.2160207738
