# Distance [pm],  g1(r),  g2(r)
120.1250000,  0.000000000,  0.000000000
120.3750000,  0.000000000,  0.000000000
120.6250000,  0.000000000,  0.000000000
120.8750000,  0.000000000,  0.000000000
121.1250000,  0.000000000,  0.000000000
121.3750000,  0.000000000,  0.000000000
121.6250000,  0.000000000,  0.000000000
121.8750000,  0.000000000,  0.000000000
122.1250000,  0.000000000,  0.000000000
122.3750000,  0.000000000,  0.000000000
122.6250000,  0.000000000,  0.000000000
122.8750000,  0.000000000,  0.000000000
123.1250000,  0.000000000,  0.000000000
123.3750000,  0.000000000,  0.000000000
123.6250000,  0.000000000,  0.000000000
123.8750000,  0.000000000,  0.000000000
124.1250000,  0.000000000,  0.000000000
124.3750000,  0.000000000,  0.000000000
124.6250000,  0.000000000,  0.000000000
124.8750000,  0.000000000,  0.000000000
125.1250000,  0.000000000,  0.000000000
125.3750000,  0.000000000,  0.000000000
125.6250000,  0.000000000,  0.000000000
125.8750000,  0.000000000,  0.000000000
126.1250000,  0.000000000,  0.000000000
126.3750000,  0.000000000,  0.000000000
126.6250000,  0.000000000,  0.000000000
126.8750000,  0.000000000,  0.000000000
127.1250000,  0.000000000,  0.000000000
127.3750000,  0.000000000,  0.000000000
127.6250000,  0.000000000,  0.000000000
127.8750000,  0.000000000,  0.001218220059
128.1250000,  0.000000000,  0.0006207132860
128.3750000,  0.0005485099767,  0.003488370212
128.6250000,  0.001995635336,  0.005648168208
128.8750000,  0.001549969789,  0.006224628488
129.1250000,  0.004222524946,  0.001189233199
129.3750000,  0.009092113200,  0.002570881899
129.6250000,  0.006508859365,  0.008704434473
129.8750000,  0.008061273983,  0.01119654608
130.1250000,  0.01726518337,  0.01879997497
130.3750000,  0.03603119513,  0.02870564988
130.6250000,  0.04146630650,  0.04323631309
130.8750000,  0.05903664898,  0.05657300751
131.1250000,  0.06526008171,  0.06260263847
131.3750000,  0.09462068058,  0.09358907581
131.6250000,  0.1161297508,  0.1498954812
131.8750000,  0.1630645477,  0.1678602823
132.1250000,  0.2132461678,  0.2346448489
132.3750000,  0.3009668293,  0.3374072664
132.6250000,  0.3985531542,  0.4172945933
132.8750000,  0.5787007554,  0.5495665134
133.1250000,  0.7445478003,  0.6957820701
133.3750000,  1.043259461,  0.9543176455
133.6250000,  1.225763145,  1.154906618
133.8750000,  1.522435401,  1.561147647
