# Dihedral Angle (Degree),  Occurrence1,  Occurrence2
1.000000000,  76.65868933,  76.68006132
3.000000000,  75.68399408,  77.39444245
5.000000000,  76.16612448,  77.08510900
7.000000000,  76.24760575,  77.43162817
9.000000000,  76.88590582,  77.89531325
11.00000000,  76.11088355,  78.02099868
13.00000000,  76.01342718,  78.09191382
15.00000000,  76.85111619,  78.62137851
17.00000000,  77.99028152,  79.07952847
19.00000000,  79.28370964,  80.20341534
21.00000000,  80.28083934,  81.59681047
23.00000000,  81.04564199,  81.81847902
25.00000000,  83.22574715,  83.37293945
27.00000000,  84.48558992,  84.54904860
29.00000000,  85.65191838,  85.81089240
31.00000000,  87.98939961,  88.12089742
33.00000000,  90.06147193,  90.85678543
35.00000000,  93.00546393,  93.89576598
37.00000000,  95.67842818,  96.23019937
39.00000000,  98.66351991,  98.88228417
41.00000000,  101.1861489,  101.1909263
43.00000000,  103.8517377,  103.5819599
45.00000000,  106.5644563,  106.7702500
47.00000000,  110.0439251,  110.3452298
49.00000000,  112.5163505,  112.0667317
51.00000000,  115.6340766,  113.9851188
53.00000000,  116.2261331,  115.3087231
55.00000000,  118.7628052,  117.9214033
57.00000000,  119.4101309,  120.2931471
59.00000000,  120.8668875,  119.9209875
61.00000000,  120.7896718,  118.8661841
63.00000000,  119.6952911,  118.9323640
65.00000000,  117.9501633,  117.5603531
67.00000000,  116.5909975,  115.0635747
69.00000000,  114.5608227,  112.2924428
71.00000000,  110.7756775,  108.8898777
73.00000000,  106.6297334,  104.9949855
75.00000000,  103.0384847,  100.9624951
77.00000000,  97.34130962,  96.17887567
79.00000000,  93.53220452,  91.58802546
81.00000000,  90.18127060,  88.72161869
83.00000000,  86.89098467,  84.66323228
85.00000000,  82.43065856,  81.02857970
87.00000000,  80.13873362,  78.61126877
89.00000000,  77.96795695,  77.40699123
91.00000000,  77.48225530,  76.13041208
93.00000000,  77.96621627,  76.54321205
95.00000000,  78.04070599,  77.10278017
97.00000000,  80.91154176,  79.39811853
99.00000000,  83.56770466,  82.89952637
101.0000000,  87.71940755,  87.48537944
103.0000000,  93.33757656,  91.89505195
105.0000000,  98.81084635,  98.31695383
107.0000000,  105.1000132,  104.3946279
109.0000000,  111.7157384,  110.5526250
111.0000000,  117.7352151,  115.8704785
113.0000000,  122.3045981,  120.7165497
115.0000000,  127.8595769,  125.8286756
117.0000000,  131.0962603,  129.2795197
119.0000000,  133.8899924,  131.4705188
121.0000000,  134.1013081,  132.1950827
123.0000000,  132.8945118,  132.0821487
125.0000000,  130.6194982,  130.7331415
127.0000000,  127.7290261,  127.6552504
129.0000000,  124.3819350,  124.3380892
131.0000000,  120.5579681,  118.9755469
133.0000000,  115.2739071,  114.4281035
135.0000000,  110.8507954,  109.1926170
137.0000000,  106.3148132,  104.2046166
139.0000000,  101.5810960,  99.69225497
141.0000000,  96.51270942,  96.39102313
143.0000000,  92.72365052,  92.28232926
145.0000000,  90.39112908,  89.26317702
147.0000000,  88.04720915,  86.77832040
149.0000000,  85.91338007,  85.12064367
151.0000000,  85.35687823,  83.77478089
153.0000000,  85.07223570,  83.25929182
155.0000000,  84.79523768,  84.26217022
157.0000000,  86.31496609,  85.94036919
159.0000000,  88.40467831,  87.53763801
161.0000000,  90.61486452,  90.88698900
163.0000000,  94.52087323,  93.19790171
165.0000000,  97.99243703,  97.02058236
167.0000000,  100.3414424,  100.4148228
169.0000000,  103.8257946,  103.3214515
171.0000000,  106.3962015,  106.0140496
173.0000000,  109.5299286,  108.4841576
175.0000000,  112.1865838,  111.6732313
177.0000000,  112.3341874,  111.2239941
179.0000000,  114.0681867,  112.0135055
181.0000000,  114.0863801,  112.3246908
183.0000000,  112.6887076,  111.6883081
185.0000000,  111.1028724,  109.5552637
187.0000000,  109.6508195,  107.0905226
189.0000000,  107.6102675,  105.3257618
191.0000000,  104.5170689,  103.6530277
193.0000000,  101.2956992,  99.79451489
195.0000000,  98.23497563,  97.42769888
197.0000000,  94.74266191,  94.65483101
199.0000000,  91.59035371,  91.37275960
201.0000000,  89.49454915,  88.89686140
203.0000000,  86.94683636,  86.78462884
205.0000000,  85.31315291,  86.49634092
207.0000000,  84.57646380,  86.40103928
209.0000000,  85.33197433,  87.20202580
211.0000000,  85.71143890,  87.29417182
213.0000000,  87.53518055,  89.47325338
215.0000000,  89.29205364,  93.09944577
217.0000000,  94.30486977,  95.29435911
219.0000000,  98.35634824,  98.82123626
221.0000000,  103.1824219,  103.6302806
223.0000000,  107.5457377,  109.2919000
225.0000000,  113.4063433,  113.8793047
227.0000000,  118.9332924,  118.3123271
229.0000000,  123.7556837,  122.6552126
231.0000000,  128.2313775,  127.0648837
233.0000000,  132.8635031,  131.3892368
235.0000000,  135.8685074,  135.0055508
237.0000000,  137.7542454,  136.4376274
239.0000000,  139.5641797,  137.0744246
241.0000000,  138.1960764,  137.0771418
243.0000000,  135.7292927,  134.8584876
245.0000000,  132.1625759,  130.2097449
247.0000000,  126.5786999,  126.9207515
249.0000000,  121.3613953,  121.4783985
251.0000000,  115.0081222,  114.5551482
253.0000000,  108.6992414,  108.3368346
255.0000000,  102.0089754,  102.3509457
257.0000000,  96.19841746,  96.68828329
259.0000000,  90.82801891,  90.59882155
261.0000000,  86.72809520,  86.13170061
263.0000000,  83.62132985,  83.17048927
265.0000000,  79.73236394,  80.73887379
267.0000000,  78.32064877,  80.15221834
269.0000000,  76.89152014,  79.78578979
271.0000000,  78.03456468,  80.49808533
273.0000000,  79.46339769,  82.12705086
275.0000000,  82.85812941,  84.66280301
277.0000000,  85.38139908,  88.18557230
279.0000000,  88.57764089,  91.52545444
281.0000000,  92.78523255,  97.17226354
283.0000000,  96.11296674,  100.6528727
285.0000000,  101.0759199,  105.2062110
287.0000000,  105.5956483,  107.9834372
289.0000000,  108.9655091,  111.2639778
291.0000000,  113.0941211,  115.6914626
293.0000000,  115.7166981,  117.7280656
295.0000000,  118.6264200,  120.8639819
297.0000000,  120.2497172,  121.7141922
299.0000000,  121.4375920,  122.9696058
301.0000000,  122.0288043,  123.5264671
303.0000000,  122.1516502,  121.1516022
305.0000000,  120.2413950,  121.0688800
307.0000000,  118.1031083,  120.0563746
309.0000000,  116.6858065,  116.5848242
311.0000000,  113.5925890,  114.5092884
313.0000000,  110.1529399,  111.9916454
315.0000000,  108.5039212,  108.5886383
317.0000000,  105.9218659,  105.8965566
319.0000000,  102.3403164,  103.8045011
321.0000000,  98.17159083,  99.22316959
323.0000000,  96.10386400,  96.56931193
325.0000000,  94.50058440,  94.25150422
327.0000000,  91.99978204,  92.78052606
329.0000000,  88.89009080,  89.41911843
331.0000000,  86.71082707,  88.19681182
333.0000000,  84.03805594,  86.19511905
335.0000000,  83.37959925,  84.63612284
337.0000000,  82.01767687,  82.21801368
339.0000000,  80.77148323,  80.76080320
341.0000000,  79.07543934,  79.65346265
343.0000000,  78.60573508,  79.06053323
345.0000000,  78.10285826,  78.56477714
347.0000000,  76.63466695,  77.93197080
349.0000000,  76.76695052,  77.48199531
351.0000000,  76.95935717,  76.24475085
353.0000000,  76.20490449,  76.43497448
355.0000000,  75.96552964,  76.90750780
357.0000000,  76.46583198,  77.36783133
359.0000000,  76.64362705,  77.20781416
