# Distance [pm],  g1(r),  g2(r)
120.1250000,  0.000000000,  0.000000000
120.3750000,  0.000000000,  0.000000000
120.6250000,  0.000000000,  0.000000000
120.8750000,  0.000000000,  0.000000000
121.1250000,  0.000000000,  0.000000000
121.3750000,  0.000000000,  0.000000000
121.6250000,  0.000000000,  0.000000000
121.8750000,  0.000000000,  0.000000000
122.1250000,  0.000000000,  0.000000000
122.3750000,  0.000000000,  0.000000000
122.6250000,  0.000000000,  0.000000000
122.8750000,  0.000000000,  0.000000000
123.1250000,  0.000000000,  0.000000000
123.3750000,  0.000000000,  0.000000000
123.6250000,  0.000000000,  0.000000000
123.8750000,  0.000000000,  0.000000000
124.1250000,  0.000000000,  0.000000000
124.3750000,  0.000000000,  0.000000000
124.6250000,  0.000000000,  0.000000000
124.8750000,  0.000000000,  0.000000000
125.1250000,  0.000000000,  0.000000000
125.3750000,  0.000000000,  0.000000000
125.6250000,  0.000000000,  0.000000000
125.8750000,  0.000000000,  0.000000000
126.1250000,  0.000000000,  0.000000000
126.3750000,  0.000000000,  0.000000000
126.6250000,  0.000000000,  0.000000000
126.8750000,  0.000000000,  0.000000000
127.1250000,  0.000000000,  0.000000000
127.3750000,  0.001685128388,  0.000000000
127.6250000,  0.0002194811479,  0.000000000
127.8750000,  0.000000000,  0.001233105474
128.1250000,  0.000000000,  0.0007204094264
128.3750000,  0.000000000,  0.001855704172
128.6250000,  0.001064179406,  0.0007111036071
128.8750000,  0.001972648227,  0.001428996961
129.1250000,  0.006584673441,  0.006111993968
129.3750000,  0.008401780747,  0.004495985964
129.6250000,  0.007549872293,  0.009422819897
129.8750000,  0.01210928657,  0.01183603552
130.1250000,  0.01223641800,  0.01742153024
130.3750000,  0.01929353666,  0.03426532429
130.6250000,  0.02502147978,  0.04288160704
130.8750000,  0.04444296364,  0.04258864785
131.1250000,  0.06796481043,  0.06327308244
131.3750000,  0.08382909031,  0.1131095796
131.6250000,  0.1286206878,  0.1355928634
131.8750000,  0.1672771003,  0.1479558693
132.1250000,  0.2094492679,  0.2107535660
132.3750000,  0.3098888844,  0.3245947704
132.6250000,  0.4505972455,  0.4151473820
132.8750000,  0.6006259845,  0.5501202800
133.1250000,  0.6645196707,  0.7047388960
133.3750000,  0.9096729447,  0.9526782129
133.6250000,  1.214545025,  1.249969986
133.8750000,  1.525487417,  1.517183918
