# Distance [pm],  g(r)
130.1250000,  0.000000000
130.3750000,  0.000000000
130.6250000,  0.000000000
130.8750000,  0.000000000
131.1250000,  0.000000000
131.3750000,  0.000000000
131.6250000,  0.000000000
131.8750000,  0.000000000
132.1250000,  0.000000000
132.3750000,  0.000000000
132.6250000,  0.000000000
132.8750000,  0.000000000
133.1250000,  0.000000000
133.3750000,  0.000000000
133.6250000,  0.000000000
133.8750000,  0.000000000
134.1250000,  0.000000000
134.3750000,  0.000000000
134.6250000,  0.000000000
134.8750000,  0.000000000
135.1250000,  0.000000000
135.3750000,  0.000000000
135.6250000,  0.000000000
135.8750000,  0.000000000
136.1250000,  0.000000000
136.3750000,  0.000000000
136.6250000,  0.000000000
136.8750000,  0.000000000
137.1250000,  0.000000000
137.3750000,  0.000000000
137.6250000,  0.000000000
137.8750000,  0.0008229376954
138.1250000,  0.0001369855108
138.3750000,  0.000000000
138.6250000,  0.0001786800262
138.8750000,  0.001294274126
139.1250000,  0.0004468922600
139.3750000,  0.000000000
139.6250000,  0.0007202153063
139.8750000,  0.002058649230
140.1250000,  0.003265938705
140.3750000,  0.002786613204
140.6250000,  0.002650128952
140.8750000,  0.01016298344
141.1250000,  0.01174443258
141.3750000,  0.02009989953
141.6250000,  0.03150761959
141.8750000,  0.03310408494
142.1250000,  0.04836988684
142.3750000,  0.06851116440
142.6250000,  0.09439017841
142.8750000,  0.1198739115
143.1250000,  0.1715978183
143.3750000,  0.2351961760
143.6250000,  0.3018140053
143.8750000,  0.4135362951
144.1250000,  0.4803441028
144.3750000,  0.6715728019
144.6250000,  0.8841613349
144.8750000,  1.073312322
145.1250000,  1.420154643
145.3750000,  1.835591991
145.6250000,  2.369235974
145.8750000,  2.929890366
146.1250000,  3.621353392
146.3750000,  4.496965535
146.6250000,  5.505540974
146.8750000,  6.754811347
147.1250000,  8.060016964
147.3750000,  9.747862196
147.6250000,  11.66438499
147.8750000,  13.90247229
148.1250000,  16.36393362
148.3750000,  19.21801394
148.6250000,  22.54363837
148.8750000,  26.15309847
149.1250000,  29.88999932
149.3750000,  34.51083351
149.6250000,  39.15973203
149.8750000,  44.12763057
150.1250000,  49.48758419
150.3750000,  55.06080179
150.6250000,  61.13350395
150.8750000,  67.06245751
151.1250000,  73.36160677
151.3750000,  79.79176397
151.6250000,  85.80092570
151.8750000,  91.78494077
152.1250000,  97.79768762
152.3750000,  103.5693738
152.6250000,  108.9620084
152.8750000,  114.0402782
153.1250000,  118.2184855
153.3750000,  121.7459070
153.6250000,  124.9751343
153.8750000,  126.5444821
154.1250000,  127.9576674
154.3750000,  128.7521737
154.6250000,  128.4944707
154.8750000,  127.0716642
155.1250000,  124.6570441
155.3750000,  122.1293632
155.6250000,  119.0462803
155.8750000,  115.0395766
156.1250000,  110.6100076
156.3750000,  105.5868186
156.6250000,  99.69229915
156.8750000,  93.57778504
157.1250000,  87.20287219
157.3750000,  81.07840440
157.6250000,  74.90296378
157.8750000,  69.07074343
158.1250000,  62.89900821
158.3750000,  57.14091281
158.6250000,  51.32778805
158.8750000,  45.94171392
159.1250000,  40.73821299
159.3750000,  35.94028166
159.6250000,  31.55093572
159.8750000,  27.57907855
160.1250000,  23.57442504
160.3750000,  20.34728792
160.6250000,  17.44880985
160.8750000,  14.65943061
161.1250000,  12.49526588
161.3750000,  10.35731439
161.6250000,  8.633149445
161.8750000,  7.158672078
162.1250000,  5.814013587
162.3750000,  4.770554190
162.6250000,  3.878116505
162.8750000,  3.133203115
163.1250000,  2.522694602
163.3750000,  2.034719919
163.6250000,  1.665431476
163.8750000,  1.268976638
164.1250000,  0.9497614945
164.3750000,  0.7203033624
164.6250000,  0.5591909237
164.8750000,  0.4150875884
165.1250000,  0.3212789201
165.3750000,  0.2513526011
165.6250000,  0.1945557807
165.8750000,  0.1458116875
166.1250000,  0.1057825076
166.3750000,  0.07698019933
166.6250000,  0.06464197704
166.8750000,  0.03891932274
167.1250000,  0.03383019471
167.3750000,  0.02545754529
167.6250000,  0.01836054964
167.8750000,  0.009530451463
168.1250000,  0.01066408002
168.3750000,  0.002614151274
168.6250000,  0.002629590261
168.8750000,  0.002764113987
169.1250000,  0.001709048385
169.3750000,  0.0008985115796
169.6250000,  0.001021334833
169.8750000,  0.000000000
170.1250000,  0.000000000
170.3750000,  0.000000000
170.6250000,  0.000000000
170.8750000,  0.000000000
171.1250000,  0.000000000
171.3750000,  0.000000000
171.6250000,  0.0005569824024
171.8750000,  0.0004029408038
172.1250000,  0.000000000
172.3750000,  0.000000000
172.6250000,  0.000000000
172.8750000,  0.000000000
173.1250000,  0.000000000
173.3750000,  0.000000000
173.6250000,  0.000000000
173.8750000,  0.000000000
174.1250000,  0.000000000
174.3750000,  0.000000000
174.6250000,  0.000000000
174.8750000,  0.000000000
175.1250000,  0.000000000
175.3750000,  0.000000000
175.6250000,  0.000000000
175.8750000,  0.000000000
176.1250000,  0.000000000
176.3750000,  0.000000000
176.6250000,  0.000000000
176.8750000,  0.000000000
177.1250000,  0.000000000
177.3750000,  0.000000000
177.6250000,  0.000000000
177.8750000,  0.000000000
178.1250000,  0.000000000
178.3750000,  0.000000000
178.6250000,  0.000000000
178.8750000,  0.000000000
179.1250000,  0.000000000
179.3750000,  0.000000000
179.6250000,  0.000000000
179.8750000,  0.000000000
