# Angle (degree),  Occurrence
70.25000000,  0.000000000
70.75000000,  0.000000000
71.25000000,  0.000000000
71.75000000,  0.000000000
72.25000000,  0.000000000
72.75000000,  0.000000000
73.25000000,  0.000000000
73.75000000,  0.000000000
74.25000000,  0.000000000
74.75000000,  0.000000000
75.25000000,  0.000000000
75.75000000,  0.000000000
76.25000000,  0.000000000
76.75000000,  0.000000000
77.25000000,  0.000000000
77.75000000,  0.000000000
78.25000000,  0.000000000
78.75000000,  0.000000000
79.25000000,  0.000000000
79.75000000,  0.000000000
80.25000000,  0.000000000
80.75000000,  0.000000000
81.25000000,  0.000000000
81.75000000,  0.000000000
82.25000000,  0.002186162092
82.75000000,  0.002690193237
83.25000000,  0.008804123737
83.75000000,  0.01012923563
84.25000000,  0.01785861139
84.75000000,  0.01608816395
85.25000000,  0.05251456078
85.75000000,  0.04694494613
86.25000000,  0.08485222029
86.75000000,  0.1311795870
87.25000000,  0.1773720273
87.75000000,  0.2478819539
88.25000000,  0.3194578652
88.75000000,  0.4935561880
89.25000000,  0.6377164196
89.75000000,  0.9493929901
90.25000000,  1.193202518
90.75000000,  1.778810118
91.25000000,  2.341977961
91.75000000,  3.402194191
92.25000000,  4.711442750
92.75000000,  6.171544185
93.25000000,  8.009421843
93.75000000,  10.40644396
94.25000000,  13.33163649
94.75000000,  17.14299083
95.25000000,  22.08179020
95.75000000,  27.66732744
96.25000000,  34.67536943
96.75000000,  43.22878562
97.25000000,  52.99720532
97.75000000,  64.59693331
98.25000000,  77.35074742
98.75000000,  92.05328849
99.25000000,  108.7553160
99.75000000,  128.9160346
100.2500000,  148.2437789
100.7500000,  170.7763773
101.2500000,  194.2728143
101.7500000,  218.9488758
102.2500000,  245.5736011
102.7500000,  272.8273004
103.2500000,  298.7543770
103.7500000,  324.7001283
104.2500000,  348.4623173
104.7500000,  374.3182161
105.2500000,  397.5567571
105.7500000,  416.0552801
106.2500000,  430.8168161
106.7500000,  443.2991845
107.2500000,  453.1573786
107.7500000,  458.5438910
108.2500000,  459.7981789
108.7500000,  456.7461686
109.2500000,  448.8160698
109.7500000,  437.2403074
110.2500000,  420.9078101
110.7500000,  403.0353191
111.2500000,  383.6038808
111.7500000,  358.4884242
112.2500000,  334.4620774
112.7500000,  308.3994716
113.2500000,  282.3931158
113.7500000,  253.8825710
114.2500000,  228.5752771
114.7500000,  202.8520585
115.2500000,  178.1333730
115.7500000,  155.9095752
116.2500000,  134.4532948
116.7500000,  114.8263580
117.2500000,  97.39190859
117.7500000,  82.04858386
118.2500000,  68.37407068
118.7500000,  55.83728530
119.2500000,  45.86597021
119.7500000,  37.38285710
120.2500000,  29.71883915
120.7500000,  23.71371997
121.2500000,  18.44091247
121.7500000,  14.43515625
122.2500000,  11.24940919
122.7500000,  8.529808752
123.2500000,  6.321472233
123.7500000,  4.864819639
124.2500000,  3.693314080
124.7500000,  2.675716955
125.2500000,  1.920244636
125.7500000,  1.388055552
126.2500000,  1.020851605
126.7500000,  0.7350599343
127.2500000,  0.5412257883
127.7500000,  0.3832272185
128.2500000,  0.2334382768
128.7500000,  0.1537261936
129.2500000,  0.1349143872
129.7500000,  0.1038990593
