# Distance [pm],  g(r),  Integral
80.16666667,  0.000000000,  0.000000000
80.50000000,  0.000000000,  0.000000000
80.83333333,  0.000000000,  0.000000000
81.16666667,  0.000000000,  0.000000000
81.50000000,  0.000000000,  0.000000000
81.83333333,  0.000000000,  0.000000000
82.16666667,  0.000000000,  0.000000000
82.50000000,  0.000000000,  0.000000000
82.83333333,  0.000000000,  0.000000000
83.16666667,  0.000000000,  0.000000000
83.50000000,  0.000000000,  0.000000000
83.83333333,  0.000000000,  0.000000000
84.16666667,  0.000000000,  0.000000000
84.50000000,  0.000000000,  0.000000000
84.83333333,  0.000000000,  0.000000000
85.16666667,  0.000000000,  0.000000000
85.50000000,  0.000000000,  0.000000000
85.83333333,  0.000000000,  0.000000000
86.16666667,  0.000000000,  0.000000000
86.50000000,  0.000000000,  0.000000000
86.83333333,  0.000000000,  0.000000000
87.16666667,  0.000000000,  0.000000000
87.50000000,  0.000000000,  0.000000000
87.83333333,  0.000000000,  0.000000000
88.16666667,  0.000000000,  0.000000000
88.50000000,  0.000000000,  0.000000000
88.83333333,  0.000000000,  0.000000000
89.16666667,  0.000000000,  0.000000000
89.50000000,  0.000000000,  0.000000000
89.83333333,  0.0002873570674,  0.2873570674
90.16666667,  0.0003312420299,  0.6185990974
90.50000000,  0.001374922988,  1.993522086
90.83333333,  0.002405540218,  4.399062303
91.16666667,  0.004515107611,  8.914169915
91.50000000,  0.006254189461,  15.16835938
91.83333333,  0.01411201954,  29.28037891
92.16666667,  0.01982020749,  49.10058640
92.50000000,  0.04027129905,  89.37188545
92.83333333,  0.06820191674,  157.5738022
93.16666667,  0.1117456679,  269.3194701
93.50000000,  0.1811318820,  450.4513521
93.83333333,  0.3128109157,  763.2622678
94.16666667,  0.5193528166,  1282.615084
94.50000000,  0.8026741614,  2085.289246
94.83333333,  1.240637583,  3325.926828
95.16666667,  1.912399545,  5238.326374
95.50000000,  2.861759979,  8100.086352
95.83333333,  4.156718325,  12256.80468
96.16666667,  6.025577695,  18282.38237
96.50000000,  8.547935106,  26830.31748
96.83333333,  11.72849065,  38558.80812
97.16666667,  16.07421188,  54633.02000
97.50000000,  21.32826309,  75961.28309
97.83333333,  28.00148073,  103962.7638
98.16666667,  35.97978778,  139942.5516
98.50000000,  45.43758409,  185380.1357
98.83333333,  56.31492969,  241695.0654
99.16666667,  68.17662985,  309871.6952
99.50000000,  81.14442918,  391016.1244
99.83333333,  94.70523894,  485721.3634
100.1666667,  108.6547886,  594376.1519
100.5000000,  122.2148330,  716590.9849
100.8333333,  134.6343110,  851225.2960
101.1666667,  145.6800472,  996905.3432
101.5000000,  154.7426172,  1151647.960
101.8333333,  160.9593697,  1312607.330
102.1666667,  164.6086995,  1477216.030
102.5000000,  165.1924802,  1642408.510
102.8333333,  162.4195266,  1804828.036
103.1666667,  156.6065281,  1961434.564
103.5000000,  148.1869384,  2109621.503
103.8333333,  137.9117283,  2247533.231
104.1666667,  125.7757038,  2373308.935
104.5000000,  112.4202581,  2485729.193
104.8333333,  98.51719550,  2584246.388
105.1666667,  85.06352549,  2669309.914
105.5000000,  71.75617430,  2741066.088
105.8333333,  59.09678715,  2800162.875
106.1666667,  48.09362291,  2848256.498
106.5000000,  38.50026060,  2886756.759
106.8333333,  30.22496509,  2916981.724
107.1666667,  23.15565208,  2940137.376
107.5000000,  17.42741090,  2957564.787
107.8333333,  12.81983738,  2970384.624
108.1666667,  9.257962455,  2979642.587
108.5000000,  6.636047014,  2986278.634
108.8333333,  4.582582932,  2990861.217
109.1666667,  3.131198265,  2993992.415
109.5000000,  2.197358771,  2996189.774
109.8333333,  1.426209473,  2997615.983
110.1666667,  0.9207929069,  2998536.776
110.5000000,  0.5841007930,  2999120.877
110.8333333,  0.3524327600,  2999473.310
111.1666667,  0.2192916182,  2999692.601
111.5000000,  0.1374225672,  2999830.024
111.8333333,  0.07707725093,  2999907.101
112.1666667,  0.04301840167,  2999950.120
112.5000000,  0.02034486401,  2999970.464
112.8333333,  0.01420336688,  2999984.668
113.1666667,  0.009121901429,  2999993.790
113.5000000,  0.003174853986,  2999996.965
113.8333333,  0.001420340457,  2999998.385
114.1666667,  0.001093889383,  2999999.479
114.5000000,  0.0002155333972,  2999999.694
114.8333333,  0.0003056920466,  3000000.000
115.1666667,  0.000000000,  3000000.000
115.5000000,  0.000000000,  3000000.000
115.8333333,  0.000000000,  3000000.000
116.1666667,  0.000000000,  3000000.000
116.5000000,  0.000000000,  3000000.000
116.8333333,  0.000000000,  3000000.000
117.1666667,  0.000000000,  3000000.000
117.5000000,  0.000000000,  3000000.000
117.8333333,  0.000000000,  3000000.000
118.1666667,  0.000000000,  3000000.000
118.5000000,  0.000000000,  3000000.000
118.8333333,  0.000000000,  3000000.000
119.1666667,  0.000000000,  3000000.000
119.5000000,  0.000000000,  3000000.000
119.8333333,  0.000000000,  3000000.000
