dt,Temp,rmse[Temp],PotEng,rmse[PotEng],Press,rmse[Press],MolPress,rmse[MolPress]
0.5,298.26500978811032,0.11024830801651153,-21889.841892397311,5.0302016017696562,427.30284557287882,8.0126261824609415,459.10675968686826,6.0715284494725221
01,295.95967987771621,3.3598719739473752E-002,-21949.363166901552,6.9126493439529471,463.57785472834297,17.574935553741643,466.47279025765084,17.941318480084988
03,294.30766321571048,3.3652005077607017E-002,-21962.363026361003,6.3238029353999430,474.95134612063760,19.470735371079630,447.81209597779355,20.202666813817043
06,294.37940224710030,3.4438458951263892E-002,-21972.686681170118,7.5895379582812437,481.20797335290797,16.807572558049639,464.53691556208582,16.142249877204208
09,294.41608599665886,3.3623700947305865E-002,-21980.987391656763,8.5237851758316161,462.92626179600740,18.803820986294784,443.45058307441690,22.051531324570469
15,295.95277215021213,3.3829981240122882E-002,-21978.432765966212,8.8844072048341012,481.20626998116541,17.134182942819837,481.12764476927993,16.342083316288377
30,303.49269433594725,3.6289398092748872E-002,-21942.801232146139,9.3783812735189684,492.73911195445430,18.379671801134403,448.32544297667488,17.790782306455963
45,314.28909674106166,3.9499432298740769E-002,-21935.432838810553,9.3047779464623197,417.96677837122365,18.382272330370018,450.56146135727408,19.305140947716858
90,403.01861370702210,0.18729268347783498,-21892.893724518315,10.543990613016133,420.03080681604183,16.484825050706068,461.90754920559141,17.288217729097017

