# Distance [pm],  g(r),  Integral
80.16666667,  0.000000000,  0.000000000
80.50000000,  0.000000000,  0.000000000
80.83333333,  0.000000000,  0.000000000
81.16666667,  0.000000000,  0.000000000
81.50000000,  0.000000000,  0.000000000
81.83333333,  0.000000000,  0.000000000
82.16666667,  0.000000000,  0.000000000
82.50000000,  0.000000000,  0.000000000
82.83333333,  0.000000000,  0.000000000
83.16666667,  0.000000000,  0.000000000
83.50000000,  0.000000000,  0.000000000
83.83333333,  0.000000000,  0.000000000
84.16666667,  0.000000000,  0.000000000
84.50000000,  0.000000000,  0.000000000
84.83333333,  0.000000000,  0.000000000
85.16666667,  0.000000000,  0.000000000
85.50000000,  0.000000000,  0.000000000
85.83333333,  0.000000000,  0.000000000
86.16666667,  0.000000000,  0.000000000
86.50000000,  0.000000000,  0.000000000
86.83333333,  0.000000000,  0.000000000
87.16666667,  0.000000000,  0.000000000
87.50000000,  0.000000000,  0.000000000
87.83333333,  0.000000000,  0.000000000
88.16666667,  0.000000000,  0.000000000
88.50000000,  0.000000000,  0.000000000
88.83333333,  0.000000000,  0.000000000
89.16666667,  0.000000000,  0.000000000
89.50000000,  0.000000000,  0.000000000
89.83333333,  0.000000000,  0.000000000
90.16666667,  0.0002777294066,  0.2777294066
90.50000000,  0.0004253393479,  0.7030687545
90.83333333,  0.0005851742426,  1.288242997
91.16666667,  0.0008753049857,  2.163547983
91.50000000,  0.002990223482,  5.153771465
91.83333333,  0.004023731699,  9.177503163
92.16666667,  0.008327067163,  17.50457033
92.50000000,  0.01055549675,  28.06006708
92.83333333,  0.01882862859,  46.88869567
93.16666667,  0.03961376762,  86.50246329
93.50000000,  0.06939327962,  155.8957429
93.83333333,  0.1206645755,  276.5603184
94.16666667,  0.2090033628,  485.5636812
94.50000000,  0.3351236917,  820.6873729
94.83333333,  0.5089487246,  1329.636098
95.16666667,  0.8224225774,  2152.058675
95.50000000,  1.233303225,  3385.361900
95.83333333,  1.901590438,  5286.952338
96.16666667,  2.853665385,  8140.617723
96.50000000,  4.215343630,  12355.96135
96.83333333,  6.034450345,  18390.41170
97.16666667,  8.467954432,  26858.36613
97.50000000,  11.54890869,  38407.27482
97.83333333,  15.71702358,  54124.29840
98.16666667,  20.85933299,  74983.63139
98.50000000,  27.20988204,  102193.5134
98.83333333,  35.14702105,  137340.5345
99.16666667,  44.11978090,  181460.3154
99.50000000,  54.39417596,  235854.4913
99.83333333,  65.90509276,  301759.5841
100.1666667,  78.46061792,  380220.2020
100.5000000,  91.67271466,  471892.9167
100.8333333,  105.3483362,  577241.2529
101.1666667,  118.5001167,  695741.3696
101.5000000,  130.8002592,  826541.6288
101.8333333,  141.8980373,  968439.6662
102.1666667,  151.5079803,  1119947.647
102.5000000,  157.7778598,  1277725.506
102.8333333,  161.9841874,  1439709.694
103.1666667,  163.3870840,  1603096.778
103.5000000,  161.3952185,  1764491.996
103.8333333,  156.8681656,  1921360.162
104.1666667,  148.9845700,  2070344.732
104.5000000,  139.4827937,  2209827.525
104.8333333,  127.9750551,  2337802.581
105.1666667,  115.0153027,  2452817.883
105.5000000,  101.8163634,  2554634.247
105.8333333,  88.37060456,  2643004.851
106.1666667,  75.24708628,  2718251.938
106.5000000,  63.01150089,  2781263.438
106.8333333,  51.54266500,  2832806.103
107.1666667,  41.37377429,  2874179.878
107.5000000,  32.69565261,  2906875.530
107.8333333,  25.40476886,  2932280.299
108.1666667,  19.31866023,  2951598.959
108.5000000,  14.33621064,  2965935.170
108.8333333,  10.48539470,  2976420.565
109.1666667,  7.578107251,  2983998.672
109.5000000,  5.334787990,  2989333.460
109.8333333,  3.644850098,  2992978.310
110.1666667,  2.467589789,  2995445.900
110.5000000,  1.690194133,  2997136.094
110.8333333,  1.098946468,  2998235.040
111.1666667,  0.6829299232,  2998917.970
111.5000000,  0.4267460318,  2999344.716
111.8333333,  0.2594423543,  2999604.159
112.1666667,  0.1584839713,  2999762.643
112.5000000,  0.09227341239,  2999854.916
112.8333333,  0.05715915993,  2999912.075
113.1666667,  0.04019512025,  2999952.270
113.5000000,  0.02189480659,  2999974.165
113.8333333,  0.01266965922,  2999986.835
114.1666667,  0.006495924748,  2999993.331
114.5000000,  0.002986995379,  2999996.318
114.8333333,  0.001426022439,  2999997.744
115.1666667,  0.0008968434791,  2999998.641
115.5000000,  0.0006999999071,  2999999.341
115.8333333,  0.0006155636003,  2999999.956
116.1666667,  4.376511972E-05,  3000000.000
116.5000000,  0.000000000,  3000000.000
116.8333333,  0.000000000,  3000000.000
117.1666667,  0.000000000,  3000000.000
117.5000000,  0.000000000,  3000000.000
117.8333333,  0.000000000,  3000000.000
118.1666667,  0.000000000,  3000000.000
118.5000000,  0.000000000,  3000000.000
118.8333333,  0.000000000,  3000000.000
119.1666667,  0.000000000,  3000000.000
119.5000000,  0.000000000,  3000000.000
119.8333333,  0.000000000,  3000000.000
