dt,Temp,rmse[Temp],PotEng,rmse[PotEng],Press,rmse[Press],MolPress,rmse[MolPress]
0.5,296.04619724609785,3.3822265513669937E-002,-21938.147654998815,6.8484064308528563,472.75787538067999,16.743595700833396,459.80189004354537,18.971306062565930
01,148.78032137146434,8.8829110794109538E-003,-21937.386872076317,8.4594847245835201,464.45215166795231,15.122199176528772,460.77454472972187,18.205849430979693
03,148.55578580822277,8.6979932344402530E-003,-21960.450021471192,8.2856205636970728,434.33274054945599,17.671185087365359,418.74167763947122,16.797924179012927
06,148.54798935916099,8.6573797830019079E-003,-21951.353314329957,8.1613071668803645,469.35925590232677,16.829698105121373,455.55920741118865,16.237364133618581
09,148.55480189900155,8.7462608467649833E-003,-21966.111394727253,10.532553022167660,457.13342499019478,18.372873007694388,451.00573137568779,17.429498557680969
15,148.68023796185389,8.8630593427207523E-003,-21954.525810468022,8.5267912697215849,431.23354181475150,17.514712619225762,433.29280278611179,17.828013741556614
30,149.90558995314063,9.1343593800657808E-003,-21943.771099955826,7.3013992210627672,518.79170845109547,17.872322973315740,525.69109415936077,18.046386545421452
45,151.62124083968081,9.2149612682962470E-003,-21903.635107707632,8.0019388439176158,442.84475448507595,18.495189876659392,466.72197854868665,18.642926424728021
90,160.17419490859479,2.1269679509297486E-002,-21857.952639424140,8.3994776770207036,396.73947814984740,18.998369266322655,429.91801399585495,18.237173288068764

