# Angle (degree),  Occurrence
70.25000000,  0.000000000
70.75000000,  0.000000000
71.25000000,  0.000000000
71.75000000,  0.000000000
72.25000000,  0.000000000
72.75000000,  0.000000000
73.25000000,  0.000000000
73.75000000,  0.000000000
74.25000000,  0.000000000
74.75000000,  0.000000000
75.25000000,  0.000000000
75.75000000,  0.000000000
76.25000000,  0.000000000
76.75000000,  0.000000000
77.25000000,  0.000000000
77.75000000,  0.000000000
78.25000000,  0.000000000
78.75000000,  0.000000000
79.25000000,  0.000000000
79.75000000,  0.000000000
80.25000000,  0.0009644637570
80.75000000,  0.004087348637
81.25000000,  0.003607293244
81.75000000,  0.002590097250
82.25000000,  0.003304073276
82.75000000,  0.002320528168
83.25000000,  0.007438112301
83.75000000,  0.01799191856
84.25000000,  0.01336873850
84.75000000,  0.01991257584
85.25000000,  0.04132540457
85.75000000,  0.05922628192
86.25000000,  0.1128529725
86.75000000,  0.1425358519
87.25000000,  0.2343909622
87.75000000,  0.3439163199
88.25000000,  0.4397643678
88.75000000,  0.6671345493
89.25000000,  0.9646274219
89.75000000,  1.271064984
90.25000000,  1.858444586
90.75000000,  2.546116860
91.25000000,  3.451200847
91.75000000,  4.454970140
92.25000000,  6.079404826
92.75000000,  7.899751708
93.25000000,  10.32709216
93.75000000,  13.35376467
94.25000000,  17.46175235
94.75000000,  21.71578003
95.25000000,  27.33290998
95.75000000,  34.10227158
96.25000000,  42.20649071
96.75000000,  51.58134620
97.25000000,  62.90721573
97.75000000,  75.50751093
98.25000000,  90.48828416
98.75000000,  106.8832345
99.25000000,  125.8930512
99.75000000,  144.9045170
100.2500000,  167.3505828
100.7500000,  190.2712597
101.2500000,  215.9148452
101.7500000,  240.9595189
102.2500000,  267.4976360
102.7500000,  292.0648997
103.2500000,  319.8387620
103.7500000,  344.7496284
104.2500000,  369.0533059
104.7500000,  391.6598641
105.2500000,  410.4284289
105.7500000,  426.6008900
106.2500000,  440.5734911
106.7500000,  449.9912906
107.2500000,  456.1403092
107.7500000,  457.7807063
108.2500000,  457.3364073
108.7500000,  448.2696793
109.2500000,  436.1255830
109.7500000,  423.0222434
110.2500000,  405.5663082
110.7500000,  386.1132068
111.2500000,  363.4714433
111.7500000,  338.3113567
112.2500000,  312.5324851
112.7500000,  285.9498101
113.2500000,  259.5671628
113.7500000,  233.2472083
114.2500000,  208.1353138
114.7500000,  184.0210260
115.2500000,  160.7349015
115.7500000,  139.1120826
116.2500000,  119.4664512
116.7500000,  101.2193279
117.2500000,  85.02650419
117.7500000,  71.35845942
118.2500000,  59.01856167
118.7500000,  48.18597595
119.2500000,  39.09805651
119.7500000,  31.20970970
120.2500000,  25.14124877
120.7500000,  19.35129677
121.2500000,  15.42034832
121.7500000,  12.05135103
122.2500000,  9.274796248
122.7500000,  6.955877276
123.2500000,  5.294183724
123.7500000,  3.897344549
124.2500000,  2.945500040
124.7500000,  2.213301373
125.2500000,  1.558189131
125.7500000,  1.143019979
126.2500000,  0.7871389260
126.7500000,  0.5455313418
127.2500000,  0.3896107644
127.7500000,  0.3033708401
128.2500000,  0.1861274448
128.7500000,  0.1371811091
129.2500000,  0.07264301041
129.7500000,  0.04972161003
