# Angle (degree),  Occurrence
70.25000000,  0.000000000
70.75000000,  0.000000000
71.25000000,  0.000000000
71.75000000,  0.000000000
72.25000000,  0.000000000
72.75000000,  0.000000000
73.25000000,  0.000000000
73.75000000,  0.000000000
74.25000000,  0.000000000
74.75000000,  0.000000000
75.25000000,  0.000000000
75.75000000,  0.000000000
76.25000000,  0.000000000
76.75000000,  0.000000000
77.25000000,  0.000000000
77.75000000,  0.000000000
78.25000000,  0.000000000
78.75000000,  0.000000000
79.25000000,  0.000000000
79.75000000,  0.000000000
80.25000000,  0.000000000
80.75000000,  0.000000000
81.25000000,  0.0002571554512
81.75000000,  0.002555138680
82.25000000,  0.000000000
82.75000000,  0.004034115924
83.25000000,  0.003653579373
83.75000000,  0.01333183567
84.25000000,  0.02452143602
84.75000000,  0.03793485210
85.25000000,  0.04416927230
85.75000000,  0.05231370365
86.25000000,  0.09607421072
86.75000000,  0.1744954515
87.25000000,  0.2217674619
87.75000000,  0.2903217856
88.25000000,  0.3989114828
88.75000000,  0.6153663949
89.25000000,  0.9768259149
89.75000000,  1.346989335
90.25000000,  1.908979596
90.75000000,  2.494209581
91.25000000,  3.427368136
91.75000000,  4.571586257
92.25000000,  6.079512244
92.75000000,  7.906796204
93.25000000,  10.54543896
93.75000000,  13.42987490
94.25000000,  17.15448483
94.75000000,  21.73759911
95.25000000,  27.57771809
95.75000000,  33.82724135
96.25000000,  42.23384097
96.75000000,  51.77476532
97.25000000,  63.62710402
97.75000000,  75.76674447
98.25000000,  90.41751128
98.75000000,  106.9243147
99.25000000,  125.5737330
99.75000000,  146.0603317
100.2500000,  167.5414354
100.7500000,  189.9739505
101.2500000,  215.2362742
101.7500000,  241.1126115
102.2500000,  266.3568118
102.7500000,  293.3351143
103.2500000,  319.4636897
103.7500000,  344.0767169
104.2500000,  367.8676995
104.7500000,  391.6588509
105.2500000,  411.2443557
105.7500000,  427.4180135
106.2500000,  441.1859657
106.7500000,  450.6850746
107.2500000,  456.1935871
107.7500000,  459.3396279
108.2500000,  456.1805609
108.7500000,  446.8105018
109.2500000,  438.0675965
109.7500000,  423.5236132
110.2500000,  407.3124525
110.7500000,  385.1845785
111.2500000,  363.7395656
111.7500000,  336.6917958
112.2500000,  312.9072421
112.7500000,  285.6514464
113.2500000,  259.9044125
113.7500000,  233.0778181
114.2500000,  207.2483966
114.7500000,  182.7696702
115.2500000,  160.1239796
115.7500000,  138.4913770
116.2500000,  119.0627621
116.7500000,  101.0186626
117.2500000,  85.13902127
117.7500000,  71.67931758
118.2500000,  58.98459258
118.7500000,  48.04227340
119.2500000,  38.93602603
119.7500000,  31.47678050
120.2500000,  25.04355967
120.7500000,  19.94742221
121.2500000,  15.40380024
121.7500000,  11.90884636
122.2500000,  9.421919108
122.7500000,  7.033450337
123.2500000,  5.138197858
123.7500000,  3.954026024
124.2500000,  2.919776472
124.7500000,  2.027404382
125.2500000,  1.508132029
125.7500000,  1.134982602
126.2500000,  0.8163729601
126.7500000,  0.5874197842
127.2500000,  0.3933110467
127.7500000,  0.2357758517
128.2500000,  0.1731670951
128.7500000,  0.1140450641
129.2500000,  0.1160953161
129.7500000,  0.06539507051
