# Angle (degree),  Occurrence
70.25000000,  0.000000000
70.75000000,  0.000000000
71.25000000,  0.000000000
71.75000000,  0.000000000
72.25000000,  0.000000000
72.75000000,  0.000000000
73.25000000,  0.000000000
73.75000000,  0.000000000
74.25000000,  0.000000000
74.75000000,  0.000000000
75.25000000,  0.000000000
75.75000000,  0.000000000
76.25000000,  0.000000000
76.75000000,  0.000000000
77.25000000,  0.000000000
77.75000000,  0.000000000
78.25000000,  0.000000000
78.75000000,  0.000000000
79.25000000,  0.000000000
79.75000000,  0.000000000
80.25000000,  0.000000000
80.75000000,  0.004645353297
81.25000000,  0.003054235502
81.75000000,  0.001976409683
82.25000000,  0.005699264242
82.75000000,  0.005829480034
83.25000000,  0.005733926307
83.75000000,  0.007989045236
84.25000000,  0.02011579946
84.75000000,  0.03612162015
85.25000000,  0.04773881059
85.75000000,  0.05556196091
86.25000000,  0.08948031514
86.75000000,  0.1158520080
87.25000000,  0.1989131775
87.75000000,  0.2784242732
88.25000000,  0.4476234180
88.75000000,  0.6139283058
89.25000000,  0.8447334524
89.75000000,  1.119147975
90.25000000,  1.574153950
90.75000000,  2.261611618
91.25000000,  3.130762620
91.75000000,  4.152061112
92.25000000,  5.463031372
92.75000000,  7.229675888
93.25000000,  9.482354220
93.75000000,  12.24493926
94.25000000,  15.31246566
94.75000000,  19.99371272
95.25000000,  25.16191842
95.75000000,  31.53119170
96.25000000,  38.60849246
96.75000000,  47.73859118
97.25000000,  58.15444199
97.75000000,  71.15749175
98.25000000,  84.71984889
98.75000000,  100.7135350
99.25000000,  117.2566414
99.75000000,  137.2307329
100.2500000,  158.7058006
100.7500000,  181.9781721
101.2500000,  206.3898078
101.7500000,  231.4039045
102.2500000,  256.1269497
102.7500000,  284.0636567
103.2500000,  309.8431374
103.7500000,  335.7268614
104.2500000,  360.8827499
104.7500000,  383.2100397
105.2500000,  403.6926323
105.7500000,  421.0396811
106.2500000,  436.5635028
106.7500000,  448.3009653
107.2500000,  456.3693811
107.7500000,  457.4119995
108.2500000,  456.7196064
108.7500000,  450.2049055
109.2500000,  441.7530525
109.7500000,  430.0414245
110.2500000,  413.1622519
110.7500000,  393.3651590
111.2500000,  371.9873613
111.7500000,  348.4843979
112.2500000,  322.0511958
112.7500000,  295.6999246
113.2500000,  268.6805425
113.7500000,  243.0055616
114.2500000,  216.6032666
114.7500000,  191.8837680
115.2500000,  168.4356418
115.7500000,  146.2621116
116.2500000,  127.0063446
116.7500000,  107.5976545
117.2500000,  90.85012458
117.7500000,  76.73380662
118.2500000,  63.19885582
118.7500000,  52.00373424
119.2500000,  42.45667292
119.7500000,  33.84691912
120.2500000,  27.17947762
120.7500000,  21.84750938
121.2500000,  16.94896436
121.7500000,  13.27750316
122.2500000,  10.40409330
122.7500000,  7.988094331
123.2500000,  5.865382764
123.7500000,  4.378887928
124.2500000,  3.173846014
124.7500000,  2.330321478
125.2500000,  1.804506906
125.7500000,  1.258915355
126.2500000,  0.8468520642
126.7500000,  0.6467976172
127.2500000,  0.4357850583
127.7500000,  0.3111811708
128.2500000,  0.2445365722
128.7500000,  0.1265262358
129.2500000,  0.09049124186
129.7500000,  0.07657891059
