dt,Temp,rmse[Temp],PotEng,rmse[PotEng],Press,rmse[Press],MolPress,rmse[MolPress]
0.5,296.04619724609785,3.3822265513669937E-002,-21938.147654998815,6.8484064308528563,472.75787538067999,16.743595700833396,459.80189004354537,18.971306062565930
01,148.90528946221110,8.7409848017012820E-003,-21942.126123490456,8.9396404764153488,921.06291152395715,20.403518001986356,465.12107794424253,22.124163444799702
03,150.35010104298181,8.6631542351589541E-003,-21754.962103641625,7.8399715997233503,5635.4486804617145,18.752076777283744,509.67034268736865,18.342840811073188
06,150.39185865610011,8.6897289719532061E-003,-21748.101742462488,9.7110946641986828,5625.2994626108839,19.859310453611947,521.82478881657801,20.363838573090884
09,150.48721529743509,8.6477557258122593E-003,-21756.988547621062,6.2635661617496918,5585.4528300483225,17.893034120143305,524.75024659239546,18.456472723385286
15,151.01953668136164,8.7834433511310168E-003,-21725.657613241598,8.0037657970254017,5611.3840340280276,17.539411078535608,503.24262221272045,16.558225571555447
30,152.58195605907841,8.7233759750025928E-003,-21664.029003359818,10.358179487758225,5603.7748863211082,20.326508109745173,520.21362125918893,18.448900724873084
45,154.08540609533895,8.9908213475583375E-003,-21635.115236299553,11.095282289374611,5581.9076985988522,19.800967869891757,581.64662811364678,18.765096104852621
90,163.09765247270141,1.1564715992726080E-002,-21498.204917172770,8.0841693971618991,5409.7457900540303,16.767773680992406,521.39915550988269,15.106481712461406

