# Distance [pm],  g(r),  Integral
80.16666667,  0.000000000,  0.000000000
80.50000000,  0.000000000,  0.000000000
80.83333333,  0.000000000,  0.000000000
81.16666667,  0.000000000,  0.000000000
81.50000000,  0.000000000,  0.000000000
81.83333333,  0.000000000,  0.000000000
82.16666667,  0.000000000,  0.000000000
82.50000000,  0.000000000,  0.000000000
82.83333333,  0.000000000,  0.000000000
83.16666667,  0.000000000,  0.000000000
83.50000000,  0.000000000,  0.000000000
83.83333333,  0.000000000,  0.000000000
84.16666667,  0.000000000,  0.000000000
84.50000000,  0.000000000,  0.000000000
84.83333333,  0.000000000,  0.000000000
85.16666667,  0.000000000,  0.000000000
85.50000000,  0.000000000,  0.000000000
85.83333333,  0.000000000,  0.000000000
86.16666667,  0.000000000,  0.000000000
86.50000000,  0.000000000,  0.000000000
86.83333333,  0.000000000,  0.000000000
87.16666667,  0.000000000,  0.000000000
87.50000000,  0.000000000,  0.000000000
87.83333333,  0.000000000,  0.000000000
88.16666667,  0.000000000,  0.000000000
88.50000000,  0.000000000,  0.000000000
88.83333333,  0.000000000,  0.000000000
89.16666667,  0.000000000,  0.000000000
89.50000000,  0.000000000,  0.000000000
89.83333333,  0.000000000,  0.000000000
90.16666667,  8.332311111E-06,  0.008332311111
90.50000000,  0.0006993259541,  0.7076582652
90.83333333,  0.0008477308293,  1.555389094
91.16666667,  0.002203837112,  3.759226206
91.50000000,  0.004790213352,  8.549439558
91.83333333,  0.008435560702,  16.98500026
92.16666667,  0.01364482736,  30.62982762
92.50000000,  0.02258376471,  53.21359233
92.83333333,  0.03443678122,  87.65037355
93.16666667,  0.05328371555,  140.9340891
93.50000000,  0.09717112900,  238.1052181
93.83333333,  0.1738004567,  411.9056748
94.16666667,  0.2623423456,  674.2480205
94.50000000,  0.4308497068,  1105.097727
94.83333333,  0.6668677454,  1771.965473
95.16666667,  1.003425001,  2775.390474
95.50000000,  1.511744410,  4287.134884
95.83333333,  2.284858049,  6571.992933
96.16666667,  3.317593277,  9889.586210
96.50000000,  4.786226930,  14675.81314
96.83333333,  6.889924538,  21565.73768
97.16666667,  9.406192570,  30971.93025
97.50000000,  12.83830101,  43810.23125
97.83333333,  17.13643425,  60946.66551
98.16666667,  22.48575650,  83432.42201
98.50000000,  29.13186987,  112564.2919
98.83333333,  36.91751646,  149481.8083
99.16666667,  46.17357679,  195655.3851
99.50000000,  56.43027571,  252085.6608
99.83333333,  67.68342144,  319769.0823
100.1666667,  79.94566614,  399714.7484
100.5000000,  92.49498260,  492209.7310
100.8333333,  105.2201693,  597429.9003
101.1666667,  117.9484284,  715378.3288
101.5000000,  129.4904513,  844868.7801
101.8333333,  139.7264327,  984595.2128
102.1666667,  148.1558779,  1132751.091
102.5000000,  154.5702229,  1287321.314
102.8333333,  158.0578229,  1445379.137
103.1666667,  158.7694158,  1604148.552
103.5000000,  157.2931710,  1761441.723
103.8333333,  152.6038414,  1914045.565
104.1666667,  145.1607113,  2059206.276
104.5000000,  136.1943557,  2195400.632
104.8333333,  125.6635660,  2321064.198
105.1666667,  113.8814160,  2434945.614
105.5000000,  101.2000414,  2536145.655
105.8333333,  88.18999805,  2624335.653
106.1666667,  75.67394543,  2700009.599
106.5000000,  64.00246400,  2764012.063
106.8333333,  52.88972040,  2816901.783
107.1666667,  43.08079823,  2859982.581
107.5000000,  34.49718489,  2894479.766
107.8333333,  27.22092299,  2921700.689
108.1666667,  21.11688572,  2942817.575
108.5000000,  16.08873938,  2958906.314
108.8333333,  12.01440511,  2970920.719
109.1666667,  8.822953972,  2979743.673
109.5000000,  6.356583515,  2986100.257
109.8333333,  4.505352797,  2990605.610
110.1666667,  3.160158726,  2993765.768
110.5000000,  2.172606981,  2995938.375
110.8333333,  1.450279805,  2997388.655
111.1666667,  0.9519521227,  2998340.607
111.5000000,  0.6413492784,  2998981.956
111.8333333,  0.3985623539,  2999380.519
112.1666667,  0.2428111345,  2999623.330
112.5000000,  0.1562439546,  2999779.574
112.8333333,  0.08835894660,  2999867.933
113.1666667,  0.05533261149,  2999923.265
113.5000000,  0.03220615145,  2999955.472
113.8333333,  0.02162493123,  2999977.097
114.1666667,  0.01063035361,  2999987.727
114.5000000,  0.006269041732,  2999993.996
114.8333333,  0.002412009706,  2999996.408
115.1666667,  0.001801080301,  2999998.209
115.5000000,  0.001368295177,  2999999.577
115.8333333,  7.115351573E-05,  2999999.648
116.1666667,  0.000000000,  2999999.648
116.5000000,  0.0001752750415,  2999999.824
116.8333333,  0.0001762593358,  3000000.000
117.1666667,  0.000000000,  3000000.000
117.5000000,  0.000000000,  3000000.000
117.8333333,  0.000000000,  3000000.000
118.1666667,  0.000000000,  3000000.000
118.5000000,  0.000000000,  3000000.000
118.8333333,  0.000000000,  3000000.000
119.1666667,  0.000000000,  3000000.000
119.5000000,  0.000000000,  3000000.000
119.8333333,  0.000000000,  3000000.000
